d18O (),year (AD),d18O ()
2.277,1970,2.028
2.928,1969,1.289
-0.886,1968,1.104
-0.271,1967,-2.122
1.715,1966,0.418
3.63,1965,0.398
2.682,1964,0.594
3.092,1963,-0.51
0.618,1962,-0.489
2.096,1961,0.944
4.183,1960,0.651
1.336,1959,2.653
-0.662,1958,-0.527
-2.041,1957,-2.4
0.643,1956,-3.199
-0.506,1955,-1.533
0.846,1954,0.111
3.421,1953,2.348
-1.57,1952,1.479
0.568,1951,0.146
-0.539,1950,2.443
-1.425,1949,-3.02
2.647,1948,-1.298
5.455,1947,2.261
5.387,1946,1.49
-1.803,1945,2.626
-0.959,1944,-1.222
-0.361,1943,-1.91
3.396,1942,-0.009
0.766,1941,3.66
5.541,1940,1.84
0.967,1939,4.004
1.24,1938,-2.526
-1.732,1937,-1.355
0.788,1936,1.092
2.675,1935,2.716
3.906,1934,3.656
0.482,1933,1.441
2.819,1932,5.772
-0.246,1931,2.854
-0.388,1930,1.654
3.827,1929,3.603
-0.473,1928,2.095
-2.741,1927,2.658
1.875,1926,-2.241
-1.588,1925,0.312
-2.249,1924,-5.176
1.42,1923,0.815
-2.176,1922,-3.3
-2.401,1921,-4.279
-1.264,1920,-0.782
-3.102,1919,1.407
-2.353,1918,0.626
5.574,1917,0.298
3.482,1916,5.395
-3.439,1915,-0.959
-1.457,1914,-0.171
-1.973,1913,-0.693
1.85,1912,0.332
-0.271,1911,-0.649
-2.106,1910,0.777
2.325,1909,0.957
-0.434,1908,4.541
-5.378,1907,-2.433
-5.028,1906,-1.39
-2.887,1905,-2.018
-0.371,1904,-0.623
-1.585,1903,-2.127
-0.635,1902,2.658
0.973,1901,0.768
-4.145,1900,-2.58
-0.39,1899,-0.643
-2.485,1898,2.106
-0.128,1897,-1.321
1.045,1896,-0.415
2.3,1895,4.018
-1.262,1894,5.292
1.184,1893,2.705
0.381,1892,-0.64
-1.183,1891,0.279
-3.772,1890,-0.191
-0.478,1889,4.261
2.693,1888,1.884
-0.261,1887,-1.721
-0.943,1886,-0.137
-1.642,1885,-0.41
-1.481,1884,-0.791
-2.253,1883,-1.412
-2.797,1882,-2.86
1.666,1881,0.327
-0.357,1880,2.566
3.038,1879,-2.705
-1.08,1878,-1.068
-0.371,1877,-0.386
2.939,1876,1.759
1.464,1875,-1.249
-2.949,1874,-2.271
0.304,1873,-1.807
1.812,1872,2.68
2.183,1871,4.486
-1.419,1870,2.167
-2.365,1869,-1.706
0.309,1868,-2.926
-0.436,1867,-0.813
-1.077,1866,-3.271
0.784,1865,-3.31
-5.969,1864,-0.518
-4.336,1863,-3.749
-0.671,1862,-2.146
-0.276,1861,-1.863
-1.009,1860,-1.659
-0.052,1859,-0.025
-0.767,1858,-0.038
-1.937,1857,1.205
3.449,1856,-0.559
0.382,1855,-0.224
-0.554,1854,0.093
3.191,1853,-0.327
3.038,1852,2.253
1.697,1851,0.203
0.373,1850,0.21
-0.661,1849,-0.973
-1.731,1848,-2.376
3.71,1847,1.836
-1.284,1846,-0.704
-0.707,1845,2.671
-2.076,1844,-0.67
1.904,1843,-1.081
-1.201,1842,1.216
1.669,1841,2.199
-0.667,1840,-0.418
-1.963,1839,-3.337
1.857,1838,2.182
-4.312,1837,1.201
-1.907,1836,-6.235
-5.998,1835,-4.628
-2.981,1834,-1.633
-3.312,1833,1.033
1.682,1832,-1.147
2.133,1831,1.957
1.735,1830,-2.036
1.853,1829,-0.881
3.879,1828,2.316
-0.163,1827,1.255
-3.479,1826,-0.43
-3.674,1825,2.766
-0.355,1824,-2.673
-1.412,1823,-2.649
-2.737,1822,2.444
1.035,1821,-1.657
0.279,1820,1.939
-2.094,1819,0.454
-4.283,1818,-3.907
-2.961,1817,-1.94
2.425,1816,2.17
-1.368,1815,1.732
-3.21,1814,0.352
-1.428,1813,-2.094
0.787,1812,-0.179
-2.11,1811,0.829
0.511,1810,0.297
3.094,1809,1.375
2.477,1808,1.391
1.422,1807,0.222
2.704,1806,-0.312
2.444,1805,4.926
2.302,1804,-0.414
-3.577,1803,-1.233
-1.559,1802,-5.276
1.545,1801,0.842
2.735,1800,0.78
-0.35,1799,-1.158
-0.617,1798,-2.312
0.845,1797,-0.029
-1.259,1796,-1.023
2.387,1795,-0.53
-2.353,1794,1.923
-1.25,1793,-2.873
2.026,1792,0.444
-4.439,1791,4.011
-0.229,1790,-0.176
2.956,1789,-0.401
0.429,1788,-0.712
4.13,1787,-0.251
2.607,1786,3.551
2.423,1785,0.661
2.135,1784,-2.312
-2.774,1783,-0.595
0.4,1782,-2.414
-2.116,1781,0.149
1.763,1780,-3.551
-0.938,1779,-1.769
-2.265,1778,-4.841
