dD (permil),year (AD),depth (cm),dD (),stdev C24 (permil),stdev C26 (permil),stdev C28 (permil),average C26 C28 (permil),stdev weighted average (permil),dD ()
-180,1982,2,-175,2,4,6,-178,7,-164
-187,1953,5,-175,1,2,2,-181,3,-177
-192,1878,13,-191,3,1,1,-192,1,-168
-190,1747,21,-184,6,4,5,-187,6,-171
-194,1701,29,-192,2,3,5,-193,5,-185
-189,1671,37,-187,3,6,3,-188,6,-172
-185,1631,45,-189,0,2,2,-187,3,-175
-186,1595,53,-184,4,2,4,-185,4,-169
-190,1541,61,-186,2,6,4,-188,7,-179
-187,1507,70,-185,7,4,3,-186,5,-167
-191,1472,77,-189,1,2,2,-190,3,-175
-187,1440,85,-180,4,5,4,-184,7,-171
-188,1395,93,-186,1,1,3,-187,4,-181
-188,1395,93,-185,4,6,2,-187,6,-170
-189,1351,101,-184,5,2,3,-187,3,-168
-183,1311,109,-183,2,2,3,-183,4,-177
-186,1311,109,-184,0,3,2,-185,4,-175
-186,1291,117,-178,3,4,1,-182,4,-171
NA,1291,117,-183,3,2,NA,-183,2,-173
-181,1251,125,-184,0,3,6,-182,7,-180
-184,1251,125,-185,NA,3,3,-184,4,NA
NA,1221,133,-191,0,1,NA,-191,1,-179
-185,1190,141,-177,2,2,1,-181,2,-170
-181,1179,145,-180,3,1,5,-180,5,-168
-182,1156,149,-180,1,1,4,-181,4,-178
-184,1123,157,-179,7,2,4,-182,4,-173
-188,1077,165,-190,1,1,0,-189,1,-182
-190,1036,173,-181,2,0,2,-185,2,-173
-187,977,181,-185,0,1,0,-186,1,-177
-180,947,189,-181,3,2,3,-181,4,-169
-193,934,197,-195,NA,NA,NA,-194,NA,-187
-181,921,205,-180,3,2,4,-181,4,-164
-181,883,213,-179,1,2,4,-180,4,-175
-178,836,222,-177,1,1,3,-177,3,-166
-184,784,229,-183,3,2,1,-183,2,-181
-182,737,237,-179,4,5,1,-180,5,-171
NA,699,245,-182,NA,NA,NA,-182,NA,-180
-182,671,253,-176,2,2,1,-179,2,-165
-186,654,261,-188,1,5,5,-187,7,-182
-183,636,263,-181,1,2,1,-182,2,-172
-186,607,271,-186,0,0,1,-186,1,-174
-182,609,268,-173,2,3,1,-177,3,-166
-185,586,277,-182,4,6,2,-183,6,-170
-189,551,285,-192,4,0,1,-191,1,-178
-187,521,293,-188,2,0,3,-188,3,-172
-187,486,301,-189,1,4,1,-188,4,-183
-181,450,309,-181,3,5,1,-181,5,-170
-184,432,317,-190,1,1,3,-187,3,-177
-186,392,325,NA,3,NA,0,-186,0,-162
-189,362,333,-191,1,6,4,-190,7,-180
-189,328,349,-191,0,2,1,-190,2,-183
-189,275,357,-187,1,1,4,-188,4,-167
-185,244,367,-186,3,1,0,-185,1,-179
-192,228,373,-187,0,1,1,-190,2,-171
-190,221,376,-193,0,0,0,-191,1,-180
-189,216,381,-192,2,1,1,-191,2,-180
-194,193,389,-192,3,4,4,-193,5,-175
-191,186,391,-189,2,0,2,-190,2,-171
-192,170,397,-188,2,6,2,-190,6,-180
-191,149,399,-193,0,2,1,-192,2,-179
-188,121,405,-182,2,2,3,-185,4,-172
-190,116,409,-182,3,3,1,-186,3,-173
-187,98,417,-190,0,2,1,-189,2,-183
-191,52,425,-184,3,3,7,-188,7,-164
-187,12,433,-185,4,3,5,-186,6,-182
-188,-13,441,-177,3,4,2,-182,4,-167
-189,-59,449,-187,0,1,1,-188,2,-179
-188,-83,457,-174,2,3,6,-181,6,-166
-186,-134,465,-180,2,5,3,-183,6,-181
-189,-187,473,-183,0,1,1,-186,2,-176
-188,-262,489,-177,2,1,1,-182,2,-173
-193,-274,493,-187,2,1,6,-190,6,-183
-189,-284,497,-178,NA,5,4,-183,6,NA
-187,-296,505,-181,3,1,5,-184,5,-169
-181,-329,510,-179,5,4,4,-180,6,-168
-191,-351,513,-186,2,2,NA,-189,2,-178
-190,-382,518,-191,5,3,2,-191,3,-174
-181,-395,521,-180,1,3,2,-181,4,-171
-183,-412,525,NA,NA,NA,5,-183,5,NA
-182,-445,529,-181,2,1,3,-181,3,-173
-186,-468,533,-184,4,1,0,-185,1,-173
-191,-485,541,-195,3,1,1,-193,2,-180
-193,-499,545,-196,2,3,4,-195,5,-187
NA,-523,549,-188,1,0,NA,-188,0,-167
-191,-586,557,-191,2,2,3,-191,4,-181
-185,-632,565,-179,3,1,3,-182,3,-171
-188,-656,573,-183,1,2,2,-185,3,-177
-180,-733,581,-172,2,1,3,-176,3,-170
-185,-771,589,-180,2,4,3,-182,5,-175
-182,-821,597,-176,1,2,2,-179,3,-173
-185,-834,599,-181,7,6,4,-183,8,-176
-182,-859,605,-178,0,2,3,-180,4,-176
-185,-869,607,NA,NA,NA,2,-185,2,NA
-180,-901,613,-173,1,2,2,-177,3,-171
-181,-905,615,-178,1,0,1,-180,1,-167
-187,-928,621,-188,2,3,0,-188,3,-182
-188,-933,623,-189,1,1,0,-189,1,-177
-183,-956,629,-182,1,3,2,-183,4,-169
-180,-966,631,-173,1,4,2,-176,4,-164
-183,-995,637,-184,0,3,2,-183,4,-178
-189,-1005,639,-188,4,4,3,-188,5,-177
-186,-1009,640,-178,4,2,3,-182,4,-169
-182,-1029,645,-177,2,0,3,-179,3,-166
-188,-1082,653,-191,2,3,3,-189,4,-183
-173,-1245,668,NA,NA,NA,2,-173,2,NA
-180,-1275,671,-181,0,0,0,-180,1,-172
-176,-1344,679,-172,2,3,0,-174,3,-165
-179,-1426,687,-181,NA,5,2,-180,5,NA
-179,-1509,695,NA,3,NA,3,-179,3,-155
-170,-1542,703,-171,2,0,1,-170,1,-171
-171,-1596,709,NA,NA,NA,3,-171,3,NA
-176,-1674,719,-167,2,5,3,-171,6,-172
-175,-1725,727,-171,2,2,1,-173,2,-165
-174,-1777,735,-171,2,3,3,-172,4,-167
-186,-1824,743,-184,3,1,2,-185,2,-169
-179,-1865,751,-181,2,2,2,-180,3,-172
-186,-1893,759,-182,3,6,1,-184,6,-167
-174,-1907,763,NA,NA,NA,1,-174,1,NA
-173,-1929,767,-174,0,5,4,-174,7,-173
-182,-1977,771,-180,3,3,1,-181,3,-169
-177,-2058,779,NA,NA,NA,2,-177,2,NA
-180,-2080,787,-178,2,3,2,-179,4,-165
-179,-2103,795,-178,2,2,2,-179,3,-167
-174,-2148,804,-170,2,3,3,-172,4,-160
-186,-2199,819,-182,3,3,0,-184,3,-170
