temperature (degC),year (AD),depth (cm),d18O (permil),Mg_Ca (mmol/mol),d18O (permil)
28.68,1905,0,0.03,5.02,-3.11
29.77,1898,1,0.33,5.54,-3.04
29.32,1891,2,0.27,5.32,-3
28.9,1884,3,NA,5.12,NA
28.74,1877,4,0.2,5.05,-2.95
NA,1870,5,NA,NA,NA
NA,1863,6,NA,NA,-3.02
28.77,1856,7,0.2,5.06,-2.96
28.59,1850,8,0.06,4.98,-3.06
NA,1843,9,NA,NA,NA
28.3,1836,10,0.15,4.85,-2.91
28.39,1829,11,0.18,4.89,-2.9
28.7,1822,13,NA,5.03,NA
28.23,1815,15,0.06,4.82,-2.99
28.23,1794,18,0.1,4.82,-2.95
29.04,1787,19,0.36,5.19,-2.86
29.59,1780,20,0.17,5.45,-3.16
29.2,1774,21,0.27,5.26,-2.98
28.53,1767,22,0.21,4.95,-2.9
28.66,1760,23,0.11,5.01,-3.03
28.92,1753,24,0.25,5.13,-2.94
28.95,1746,25,0.09,5.14,-3.11
27.75,1739,26,-0.19,4.62,-3.14
27.68,1732,27,-0.19,4.59,-3.12
28,1725,28,-0.06,4.72,-3.06
28.03,1718,29,0.14,4.74,-2.87
28.22,1711,30,0.12,4.82,-2.93
28.02,1705,31,-0.2,4.73,-3.2
28.29,1698,32,0.09,4.85,-2.97
27.62,1691,33,-0.26,4.57,-3.18
28.66,1684,34,-0.05,5.01,-3.19
28.13,1677,35,-0.04,4.78,-3.07
28.48,1670,36,0.21,4.93,-2.89
28.72,1663,37,0.13,5.04,-3.02
27.94,1657,38,-0.02,4.7,-3.01
28.2,1650,39,-0.1,4.81,-3.14
28.36,1643,40,0.02,4.88,-3.05
28.41,1637,41,0.26,4.9,-2.82
28.94,1630,42,0.37,5.14,-2.83
29.02,1623,43,0.12,5.18,-3.09
28.7,1617,44,0.34,5.03,-2.81
28.15,1610,45,0.04,4.79,-2.99
29.26,1603,46,0.17,5.29,-3.09
28.61,1597,47,0.11,4.99,-3.02
28.75,1590,48,0.18,5.05,-2.98
28.97,1583,49,-0.06,5.15,-3.26
28.28,1577,50,0.12,4.84,-2.94
29.18,1570,51,0.13,5.25,-3.12
28.4,1563,52,NA,4.9,NA
28.58,1557,53,0.25,4.98,-2.87
28.78,1550,54,0.25,5.07,-2.91
28.23,1543,55,0.12,4.82,-2.93
28.24,1537,56,-0.03,4.83,-3.08
28.9,1530,57,0.25,5.12,-2.94
29.08,1523,58,-0.01,5.21,-3.23
29.4,1517,59,0.19,5.36,-3.1
29.45,1510,60,0.16,5.38,-3.14
28.84,1503,61,0.27,5.1,-2.9
29.05,1497,62,-0.01,5.19,-3.23
28.37,1490,63,0.24,4.88,-2.84
28.4,1483,64,-0.04,4.9,-3.12
28.7,1477,65,0.47,5.03,-2.68
28.7,1470,66,-0.02,5.03,-3.17
NA,1463.333333,67,NA,NA,-3.08
29.54,1457,68,0.38,5.42,-2.94
29.25,1450,69,0.33,5.29,-2.93
NA,1443.333333,70,NA,NA,-2.71
NA,1436.666667,71,NA,NA,-2.79
28.25,1430,72,0.07,4.83,-2.98
NA,1422.121212,73,NA,NA,-2.88
29.47,1414,74,0.4,5.39,-2.91
29.13,1406,75,0.23,5.23,-3
28.96,1398,76,0.28,5.15,-2.92
28.99,1391,77,0.3,5.16,-2.91
28.67,1383,78,0.06,5.02,-3.08
29.8,1375,79,0.48,5.55,-2.89
28.56,1367,80,0.08,4.96,-3.04
28.51,1359,81,0.19,4.95,-2.92
29.61,1351,82,0.4,5.46,-2.93
28.97,1343,83,0.47,5.15,-2.73
28.76,1335,84,0.45,5.06,-2.71
29.44,1328,85,0.42,5.38,-2.88
28.98,1320,86,0.36,5.16,-2.84
28.79,1312,87,0.3,5.07,-2.86
29.25,1304,88,0.44,5.28,-2.82
29.06,1296,89,0.31,5.19,-2.91
28.83,1288,90,0.36,5.09,-2.81
28.8,1280,91,0.35,5.08,-2.82
29.21,1272,92,0.28,5.27,-2.97
28.96,1265,93,NA,5.15,NA
NA,1257.121212,94,NA,NA,-2.86
30.21,1249,95,0.45,5.76,-3.01
29.46,1241,96,0.33,5.39,-2.97
29.69,1233,97,0.52,5.5,-2.83
29.68,1225,98,0.49,5.49,-2.86
29.73,1217,99,0.61,5.52,-2.75
NA,1209.121212,100,NA,NA,-2.86
28.51,1202,101,0.34,4.95,-2.77
29.89,1194,102,0.59,5.6,-2.8
29.25,1186,103,NA,5.29,NA
29.56,1178,104,0.56,5.44,-2.76
29.46,1170,105,0.4,5.38,-2.9
29.14,1162,106,0.06,5.23,-3.18
NA,1154.121212,107,NA,NA,-2.97
29.17,1146,108,0.06,5.25,-3.18
29.83,1138,109,NA,5.57,NA
29.89,1131,110,0.24,5.6,-3.15
29.12,1123,111,0.55,5.22,-2.68
28.93,1115,112,-0.08,5.13,-3.27
29.89,1107,113,0.48,5.6,-2.91
28.28,1099,114,0.22,4.84,-2.84
29.63,1091,115,0.35,5.47,-2.99
NA,1083.121212,116,NA,NA,NA
30.59,1075,117,0.44,5.96,-3.1
28.57,1068,118,0.14,4.97,-2.98
28.81,1060,119,0.17,5.08,-3
29.75,1052,120,0.62,5.53,-2.74
30.13,1044,121,0.52,5.72,-2.92
28.96,1036,122,0.22,5.15,-2.98
29.71,1028,123,0.48,5.51,-2.88
29.56,1020,124,0.18,5.44,-3.14
28.24,1012,125,0.05,4.82,-3
28.67,1005,126,0.19,5.02,-2.95
