d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
NA,1950,NA,-1285773703,-6285740376,NA,-609,191461799,NA
NA,1938205997,NA,-1325600744,-7279652596,NA,-674,5126126041,NA
-7190409245,1926411993,NA,-1365427786,-687783432,NA,-637,8114792042,NA
NA,191461799,NA,-1405254827,-6096801758,NA,-691,-9107553301,NA
NA,1902823986,NA,-1445081869,-715484333,NA,-657,-1405254827,NA
NA,1891029983,NA,-1484908911,-6816579819,NA,NA,-2191834521,NA
-7386305534,1879235979,NA,-1524735952,-652082634,NA,-564,-3477019863,NA
NA,1867441976,NA,-1564562994,-7413187981,NA,-566,-4227488453,NA
-686807221,1855647972,NA,-1604390036,-7812870502,NA,-553,-500116241,NA
NA,1843853969,NA,-1644217077,-7284444809,NA,-449,-6678355665,NA
-674275937,1832059965,NA,-1684044119,-6983068466,NA,-494,-7868293125,NA
NA,1820265962,NA,-1723871161,-7021183014,NA,-531,-842052239,NA
-6623061965,1808471958,NA,-1763698202,-6704771519,NA,NA,-842052239,NA
NA,1796677955,NA,-180314162,-6644311428,NA,-559,-9873904855,NA
-7266840615,1784883952,NA,-1847563669,-7032197952,NA,-537,-1007452151,NA
NA,1773089948,NA,-1886764091,-6843139648,NA,-629,-1065777679,NA
-6740441969,1761295945,NA,-192577001,-6780193806,NA,NA,-1140512223,NA
NA,1749501941,NA,-1971553887,-6591481686,NA,-604,-1140512223,NA
-705922308,1737707938,NA,-2008554242,-6928017139,NA,NA,NA,NA
NA,1725913934,NA,-2044078188,-6780910969,NA,NA,NA,NA
-6657153065,1714119931,NA,-208524355,-7002017975,NA,NA,NA,NA
NA,1702325927,NA,-2116730377,-680319643,NA,NA,NA,NA
-7082603117,1690531924,NA,-2155407431,-6784199715,NA,NA,NA,NA
NA,1685125062,NA,-2187752058,-6993120193,NA,NA,NA,NA
-6913584832,1678245322,NA,-2219873219,-6571280479,NA,NA,NA,NA
