d18O (permil),year (AD),depth (cm),d13C (permil)
-6.28,1913,0.5,-6.28
-6.24,1848,1.5,-6.24
-6.15,1783,2.5,-6.15
-5.96,1718,3.5,-5.96
-6.14,1653,4.5,-6.14
-6.06,1588,5.5,-6.06
-6.12,1523,6.5,-6.12
-6.04,1458,7.5,-6.04
-5.89,1393,8.5,-5.89
-6.02,1328,9.5,-6.02
-5.87,1262,10.5,-5.87
-5.95,1115,11.5,-5.95
-6.04,1070,12.5,-6.04
-6.17,1026,13.5,-6.17
-6.09,981,14.5,-6.09
-6.06,936,15.5,-6.06
-6.09,892,16.5,-6.09
-6.15,847,17.5,-6.15
-6.08,803,18.5,-6.08
-6.07,758,19.5,-6.07
-6.04,712,20.5,-6.04
-6.14,666,21.5,-6.14
-6.01,619,22.5,-6.01
-5.87,572,23.5,-5.87
-5.99,526,24.5,-5.99
-5.92,479,25.5,-5.92
-5.88,432,26.5,-5.88
-5.95,386,27.5,-5.95
-6.14,339,28.5,-6.14
-6.11,292,29.5,-6.11
-6.15,246,30.5,-6.15
-6.11,199,31.5,-6.11
-5.88,152,32.5,-5.88
-6.12,106,33.5,-6.12
-6.13,59,34.5,-6.13
-6.17,12,35.5,-6.17
-5.87,-35,36.5,-5.87
-6.04,-82,37.5,-6.04
-6.26,-129,38.5,-6.26
-6.14,-175,39.5,-6.14
-6.26,-222,40.5,-6.26
-6.23,-256,41.5,-6.23
-6.1,-291,42.5,-6.1
-6.11,-325,43.5,-6.11
-6.33,-359,44.5,-6.33
-6.15,-394,45.5,-6.15
-6.11,-428,46.5,-6.11
-6.14,-463,47.5,-6.14
-6.22,-497,48.5,-6.22
-6.27,-531,49.5,-6.27
-6.11,-566,50.5,-6.11
-6.16,-600,51.5,-6.16
-5.96,-634,52.5,-5.96
-5.98,-669,53.5,-5.98
-6.09,-703,54.5,-6.09
-6.08,-738,55.5,-6.08
-6.2,-772,56.5,-6.2
-6.13,-806,57.5,-6.13
-6.17,-841,58.5,-6.17
-6.26,-875,59.5,-6.26
-6.2,-903,60.5,-6.2
-6.19,-923,61.5,-6.19
-6.11,-944,62.5,-6.11
-6.33,-964,63.5,-6.33
-6.11,-985,64.5,-6.11
-6.57,-1005,65.5,-6.57
-6.08,-1026,66.5,-6.08
-6.15,-1046,67.5,-6.15
-6.24,-1067,68.5,-6.24
-6.02,-1087,69.5,-6.02
-6.21,-1108,70.5,-6.21
-6.23,-1128,71.5,-6.23
-6.06,-1149,72.5,-6.06
-5.97,-1169,73.5,-5.97
-6.02,-1190,74.5,-6.02
-5.83,-1210,75.5,-5.83
-6.13,-1231,76.5,-6.13
-6.28,-1251,77.5,-6.28
-6.67,-1272,78.5,-6.67
-6.09,-1292,79.5,-6.09
-6.12,-1316,80.5,-6.12
-6.05,-1340,81.5,-6.05
-5.96,-1363,82.5,-5.96
-6.07,-1387,83.5,-6.07
-5.99,-1411,84.5,-5.99
-6.25,-1435,85.5,-6.25
-6.11,-1458,86.5,-6.11
-6.06,-1482,87.5,-6.06
-6.05,-1506,88.5,-6.05
-6.14,-1530,89.5,-6.14
-6.03,-1553,90.5,-6.03
-5.93,-1577,91.5,-5.93
-6.03,-1601,92.5,-6.03
-6.03,-1625,93.5,-6.03
-6.14,-1648,94.5,-6.14
-6.19,-1672,95.5,-6.19
-6.14,-1696,96.5,-6.14
-6.15,-1720,97.5,-6.15
-6.14,-1743,98.5,-6.14
-5.99,-1767,99.5,-5.99
-6.23,-1791,100.5,-6.23
-6.31,-1814,101.5,-6.31
-6.17,-1838,102.5,-6.17
-6.31,-1862,103.5,-6.31
-6.5,-1886,104.5,-6.5
-6.77,-1909,105.5,-6.77
-5.95,-1932,106.5,-5.95
-6.24,-1954,107.5,-6.24
-6.02,-1977,108.5,-6.02
-5.98,-2000,109.5,-5.98
-5.95,-2023,110.5,-5.95
-6.03,-2045,111.5,-6.03
-6.19,-2068,112.5,-6.19
-6.16,-2091,113.5,-6.16
-5.88,-2114,114.5,-5.88
-6.11,-2136,115.5,-6.11
-5.94,-2159,116.5,-5.94
-5.92,-2182,117.5,-5.92
-5.99,-2205,118.5,-5.99
-5.91,-2227,119.5,-5.91
-5.97,-2250,120.5,-5.97
-5.61,-2275,121.5,-5.61
