d18O (permil),year (AD),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil),d18O (permil)
NA,1550,21.94,NA,NA,NA,NA,NA,NA
NA,1551,23.29,NA,NA,NA,NA,NA,NA
NA,1552,22.53,NA,NA,NA,NA,NA,NA
NA,1553,22.66,NA,NA,NA,NA,NA,NA
NA,1554,23.41,NA,NA,NA,NA,NA,NA
NA,1555,24.29,NA,NA,NA,NA,NA,NA
NA,1556,23.92,NA,NA,NA,NA,NA,NA
NA,1557,22.77,NA,NA,NA,NA,NA,NA
NA,1558,23.66,NA,NA,NA,NA,NA,NA
NA,1559,23.98,NA,NA,NA,NA,NA,NA
NA,1560,22.69,NA,NA,NA,NA,NA,NA
NA,1561,23.54,NA,NA,NA,NA,NA,NA
NA,1562,23.36,NA,NA,NA,NA,NA,NA
NA,1563,22.79,NA,NA,NA,NA,NA,NA
NA,1564,23.25,NA,NA,NA,NA,NA,NA
NA,1565,25.81,NA,NA,NA,NA,NA,NA
NA,1566,25.39,NA,NA,NA,NA,NA,NA
NA,1567,23.75,NA,NA,NA,NA,NA,NA
NA,1568,23.13,NA,NA,NA,NA,NA,NA
NA,1569,23.17,NA,NA,NA,NA,NA,NA
NA,1570,23.79,NA,NA,NA,NA,NA,NA
NA,1571,23.66,NA,NA,NA,NA,NA,NA
NA,1572,21.48,NA,NA,NA,NA,NA,NA
NA,1573,21.85,NA,NA,NA,NA,NA,NA
NA,1574,23.33,NA,NA,NA,NA,NA,NA
NA,1575,23.88,NA,NA,NA,NA,NA,NA
NA,1576,24.22,NA,NA,NA,NA,NA,NA
NA,1577,23.59,NA,NA,NA,NA,NA,NA
NA,1578,24.74,NA,NA,NA,NA,NA,NA
NA,1579,25.76,NA,NA,NA,NA,NA,NA
NA,1580,23.67,NA,24.06,NA,NA,NA,NA
NA,1581,22.88,NA,23.28,NA,NA,NA,NA
NA,1582,24.46,NA,24.16,NA,NA,NA,NA
NA,1583,24.36,NA,25.85,NA,NA,NA,NA
NA,1584,23.54,NA,23.32,NA,NA,NA,NA
NA,1585,24.38,NA,26.05,NA,NA,NA,NA
NA,1586,24.46,NA,23.82,NA,NA,NA,NA
NA,1587,24.2,NA,22.72,NA,NA,NA,NA
NA,1588,25.83,23.02,25.68,NA,NA,NA,0.5795963
NA,1589,22.97,21.63,23.54,NA,NA,NA,-2.019347
NA,1590,23.02,23.22,24.35,NA,NA,NA,-1.085409
NA,1591,24.16,24.29,25.45,NA,NA,NA,0.2390986
NA,1592,22.14,23.44,23.64,NA,NA,NA,-1.682236
NA,1593,24.15,23.94,24.36,NA,NA,NA,-0.359628
NA,1594,23.67,22.4,NA,NA,NA,NA,-1.31206
NA,1595,23.41,23.8,NA,NA,NA,NA,-0.732831
NA,1596,23.58,23.74,24.55,NA,NA,NA,-0.585126
NA,1597,23.98,23.37,24.62,NA,NA,NA,-0.518876
NA,1598,23.23,22.29,24.04,NA,NA,NA,-1.46251
NA,1599,23.7,22.95,24.45,NA,NA,NA,-0.854387
NA,1600,23.11,23.39,24.02,NA,NA,NA,-1.132629
NA,1601,22.25,22.21,23.27,NA,NA,NA,-2.230236
NA,1602,23.03,23.63,23.42,NA,NA,NA,-1.339107
NA,1603,24.63,24.16,24.94,NA,NA,NA,0.1679318
NA,1604,24.13,22.11,24.85,NA,NA,NA,-0.799569
NA,1605,22.7,22.23,24.2,NA,NA,NA,-1.633867
NA,1606,24.09,23.91,24.04,NA,NA,NA,-0.534911
NA,1607,24.46,23.83,NA,NA,NA,NA,-0.064955
NA,1608,24.76,23.12,25.88,NA,NA,NA,0.2594985
NA,1609,23.03,22.86,23.79,NA,NA,NA,-1.451055
NA,1610,NA,23.7,24.66,NA,NA,NA,-0.176885
NA,1611,NA,23.37,24.2,NA,NA,NA,-0.644018
