d18O (permil),Mg_Ca (mmol/mol),year (AD),temperature (degC),Mg_Ca_sd (mmol/mol),d18OUncertainty (permil),depth (cm),d18O (permil)
1.404306996,4.88,1950,25.61495078,0.02,0.39,1,-1.46
0.9629921403,4.33,1857,24.46516542,0.13,NA,2.5,-1.64
1.406821611,4.71,1795,25.27401509,0.09,0.03,3.5,-1.38
1.48727183,4.82,1733,25.49599605,NA,0.02,4.5,-1.35
0.761574102,4.21,1670,24.19492605,NA,0.22,5.5,-1.78
1.231931063,4.23,1608,24.24049668,0.01,0.13,6.5,-1.32
1.166487486,4.54,1546,24.92054494,0.03,0.08,7.5,-1.54
1.226377156,4.2,1484,24.17205949,0.17,NA,8.5,-1.31
0.8722866327,4.49,1422,24.81406118,0.16,0.21,9.5,-1.81
1.038033238,4.34,1353,24.48734625,0.06,NA,10.5,-1.57
1.231668708,4.53,1336,24.89934232,0.43,0.23,11.5,-1.47
1.09299214,4.33,1319,24.46516542,NA,NA,12.5,-1.51
1.177148291,4.5,1302,24.83545248,0,0.07,13.5,-1.51
1.205657036,4.58,1285,25.00489096,0.14,0.06,14.5,-1.52
1.09609328,4.56,1269,24.96281043,0.1,0,15.5,-1.62
0.8080380295,4.4,1252,24.61936733,0.09,NA,16.5,-1.83
0.8764874856,4.54,1235,24.92054494,0.31,0.25,17.5,-1.83
1.111456427,4.72,1218,25.29440828,0.2,0.2,18.5,-1.68
1.044099711,4.64,1201,25.13003873,0.01,0.11,19.5,-1.71
0.942887337,4.43,1184,24.68470428,NA,NA,20.5,-1.71
1.053062733,4.35,1167,24.50947602,0.22,0.28,21.5,-1.56
1.01299214,4.33,1151,24.46516542,0.01,0.09,22.5,-1.59
0.9819991584,4.51,1134,24.8567963,NA,0.22,23.5,-1.71
1.146487486,4.54,1117,24.92054494,0.14,0.2,24.5,-1.56
0.8428749246,4.31,1100,24.42064967,0.08,0.21,25.5,-1.75
0.9929921403,4.33,1083,24.46516542,0.13,0.11,26.5,-1.61
0.9143505785,4.12,1066,23.98714255,0.21,0.02,27.5,-1.58
0.892887337,4.43,1049,24.68470428,0.07,NA,28.5,-1.76
1.018185269,4.8,1032,25.45601519,0.23,0.09,29.5,-1.81
NA,NA,1016,NA,NA,NA,30.5,-1.54
0.8727106519,4.29,999,24.37592687,0.17,0.05,31.5,-1.71
0.9229921403,4.33,982,24.46516542,0.18,0.36,32.5,-1.68
0.9574141342,4.48,965,24.79262219,0,0.13,33.5,-1.72
1.357798698,4.3,948,24.39831427,NA,0.13,34.5,-1.23
1.107375047,4.26,931,24.30845021,NA,0.04,35.5,-1.46
1.311456427,4.72,914,25.29440828,0.01,0.02,36.5,-1.48
0.9446598918,4.62,898,25.08850352,NA,0.09,37.5,-1.8
1.21818342,4.67,881,25.19200705,NA,0.12,38.5,-1.55
1.255179119,4.6,864,25.04678812,NA,NA,39.5,-1.48
0.9624988825,4.27,847,24.33099508,0.32,0.14,40.5,-1.61
1.016839282,4.52,830,24.87809284,0.1,0.28,41.5,-1.68
1.318082137,4.38,813,24.5755614,NA,NA,42.5,-1.31
0.9630871295,4.37,796,24.55358337,NA,0.06,43.5,-1.66
NA,NA,780,NA,NA,0.2,44.5,-1.44
1.102286633,4.49,763,24.81406118,NA,0.25,45.5,-1.58
1.017148291,4.5,746,24.83545248,NA,0.15,46.5,-1.67
NA,NA,729,NA,NA,NA,47.5,-1.8
1.152857892,4.68,712,25.21257472,0.1,0.32,48.5,-1.62
0.9930871295,4.37,695,24.55358337,NA,0.06,49.5,-1.63
1.02594604,4.18,678,24.12616258,0.08,NA,50.5,-1.5
0.9867587181,4.22,661,24.21773836,NA,NA,51.5,-1.56
0.7777986977,4.3,645,24.39831427,0.13,NA,52.5,-1.81
0.7068392815,4.52,628,24.87809284,0.05,0.01,53.5,-1.99
0.8222391703,4.25,611,24.28585235,0.07,NA,54.5,-1.74
1.181574102,4.21,594,24.19492605,0.05,0.34,55.5,-1.36
1.303065753,4.39,577,24.59748931,0.15,0.11,56.5,-1.33
1.112530747,4.47,560,24.77113529,0.26,0.13,57.5,-1.56
1.208080679,4.36,543,24.53155499,0.05,0.05,58.5,-1.41
1.30223917,4.25,527,24.28585235,0.22,0.1,59.5,-1.26
1.092999018,4.41,510,24.64119568,0.11,0.02,60.5,-1.55
1.127948771,4.42,493,24.66297459,0.02,0.14,61.5,-1.52
1.097814768,4.44,476,24.70638498,0.32,0.24,62.5,-1.56
1.36299214,4.33,459,24.46516542,0.17,0.06,63.5,-1.24
1.38308713,4.37,442,24.55358337,0.35,0.11,64.5,-1.24
1.122731114,4.45,425,24.7280169,0.25,0.24,65.5,-1.54
0.9896483137,4.13,409,24.01045258,0.2,NA,66.5,-1.51
1.263030266,4.08,392,23.89333317,0.18,0.01,67.5,-1.21
NA,4.46,375,24.74960026,0.08,NA,68.5,NA
0.941499898,4.04,358,23.79859955,NA,0.38,69.5,-1.51
