d18O (permil),year (AD),depth (m)
-36.9,1992,0.4
-39,1991,0.79
-39.1,1990,1.16
-35.8,1989,1.54
-38.6,1988,1.9
-37.8,1987,2.25
-38.6,1986,2.6
-37.5,1985,2.95
-40.6,1984,3.28
-38.4,1983,3.61
-38.1,1982,3.94
-37.3,1981,4.26
-38.4,1980,4.58
-35.7,1979,4.89
-36.6,1978,5.2
-36.5,1977,5.5
-36.5,1976,5.8
-37.3,1975,6.1
-37.9,1974,6.39
-37.7,1973,6.68
-36.7,1972,6.97
-35.5,1971,7.25
-37.5,1970,7.53
-36.9,1969,7.81
-35.7,1968,8.08
-36.9,1967,8.36
-36.9,1966,8.63
-37.1,1965,8.89
-38.9,1964,9.16
-38.3,1963,9.42
-35.7,1962,9.68
-38.5,1961,9.94
-37.9,1960,10.2
-36.3,1959,10.45
-36.4,1958,10.7
-34.7,1957,10.95
-34.8,1956,11.2
-34.7,1955,11.45
-34.7,1954,11.69
-34.8,1953,11.94
-34.8,1952,12.18
-34.8,1951,12.42
-34.9,1950,12.66
-35.8,1949,12.89
-37.6,1948,13.13
-36.7,1947,13.36
-35.5,1946,13.6
-35.5,1945,13.83
-36.8,1944,14.06
-37.9,1943,14.29
-36.9,1942,14.51
-37.1,1941,14.74
-38,1940,14.97
-37.4,1939,15.19
-35.5,1938,15.41
-35.5,1937,15.63
-37.3,1936,15.85
-36.8,1935,16.07
-36.7,1934,16.29
-35.8,1933,16.51
-34.7,1932,16.73
-35.9,1931,16.94
-35.4,1930,17.16
-35.4,1929,17.37
-36.4,1928,17.58
-35,1927,17.79
-35.1,1926,18
-37.7,1925,18.21
-37.8,1924,18.42
-36.9,1923,18.63
-37.6,1922,18.84
-37.8,1921,19.04
-37,1920,19.25
-37.1,1919,19.45
-37.5,1918,19.66
-37.7,1917,19.86
-37.5,1916,20.06
-36.7,1915,20.27
-38,1914,20.47
-36.3,1913,20.67
-37.3,1912,20.87
-39.5,1911,21.07
-36.5,1910,21.26
-36.4,1909,21.46
-37.6,1908,21.65
-38,1907,21.85
-36.7,1906,22.04
-37.4,1905,22.24
-38.5,1904,22.43
-39.4,1903,22.62
-39.2,1902,22.82
-36.5,1901,23.01
-35.9,1900,23.2
-35.9,1899,23.39
-36.5,1898,23.58
-36.7,1897,23.77
-36.4,1896,23.96
-37.8,1895,24.15
-38.4,1894,24.33
-36.8,1893,24.52
-36.3,1892,24.71
-35.6,1891,24.89
-35.5,1890,25.08
-36.5,1889,25.26
-37,1888,25.45
-36.2,1887,25.63
-34.5,1886,25.82
-34.9,1885,26
-36.7,1884,26.18
-36.5,1883,26.37
-36,1882,26.55
-35.7,1881,26.73
-35.9,1880,26.91
-33.9,1879,27.09
-34.1,1878,27.27
-36.5,1877,27.45
-37.8,1876,27.63
-34.8,1875,27.81
-35.5,1874,27.99
-37.4,1873,28.16
-37,1872,28.34
-37.4,1871,28.52
-36.7,1870,28.7
-36,1869,28.87
-36.2,1868,29.05
-36.5,1867,29.23
-36.2,1866,29.4
