dD (permil),year (AD),depth (cm)
-102.962,1854,2.5
-101.987,1692,16.65
-105.778,1544,29.5
-107.577,1288,51.5
-104.848,1051,71.5
-106.813,1045,72
-107.227,777,94
-112.561,635,105.3
-109.132,404,123.3
-112.071,192,139.3
-105.353,-25,155.3
