d18O (permil),year (AD),depth (cm),d18O (permil)
-35.34,1970,NA,-31.99
-32.99,1969,NA,-26.4
-37.66,1968,NA,-30.45
-34.5,1967,NA,-31.74
-36.4,1966,NA,-29.72
-32.53,1965,NA,-32.29
-34.23,1964,NA,-30.19
-35.12,1963,NA,-30.61
-34.9,1962,NA,-30.37
-34.71,1961,NA,-30.35
-32.97,1960,NA,-31.81
-34.86,1959,NA,-32.13
-35.67,1958,NA,-31.24
-35.26,1957,NA,-30.64
-36.73,1956,NA,-33.41
-38.1,1955,NA,-34.43
-31.86,1954,NA,-32.5
-31.96,1953,NA,-31.41
-36.69,1952,NA,-32.23
-37.73,1951,NA,-28.92
-36.77,1950,NA,-30.15
-36.15,1949,NA,-31.04
-35.34,1948,NA,-31.99
-32.84,1947,NA,-28.87
-32.02,1946,NA,-30.53
-36.64,1945,NA,-29.31
-34.28,1944,NA,-32.48
-38.32,1943,NA,-30.95
-34.51,1942,NA,-31.32
-32.42,1941,NA,-28.77
-33.93,1940,NA,-29.93
-35.48,1939,NA,-30.15
-35.7,1938,NA,-32.35
-39.32,1937,NA,-32.58
-35.61,1936,NA,-28.69
-32.78,1935,NA,-29.91
-33.84,1934,NA,-28.97
-36.43,1933,NA,-29.27
-34.79,1932,NA,-27.44
-35.65,1931,NA,-30.66
-35.31,1930,NA,-30.87
-35.81,1929,NA,-29.22
-35.65,1928,NA,-32.46
-37.87,1927,NA,-28.23
-35.11,1926,NA,-32.12
-37.33,1925,NA,-32.62
-38.29,1924,NA,-33.34
-36.1,1923,NA,-30.75
-37.44,1922,NA,-32.51
-34.63,1921,NA,-30.63
-37.15,1920,NA,-32.08
-36.49,1919,NA,-30.34
-36.75,1918,NA,-30.29
-33.53,1917,NA,-30.56
-33.73,1916,NA,-29.49
-37.08,1915,NA,-32.49
-36.86,1914,NA,-29.99
-37.92,1913,NA,-32.3
-35.45,1912,NA,-31.2
-33.73,1911,NA,-31.37
-37.56,1910,NA,-31.39
-34.01,1909,NA,-32.41
