Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1949.5,-3.624,NA
1949.3333,-4.06,NA
1949.1667,-3.732,NA
1949,-3.642,NA
1948.8333,-3.7114,NA
1948.6667,-3.8686,NA
1948.5,-3.8171,NA
1948.3333,-3.98,NA
1948.1667,-3.772,NA
1948,-3.564,NA
1947.8333,-3.4629,NA
1947.6667,-3.4686,NA
1947.5,-3.4786,NA
1947.3333,-3.49,NA
1947.1667,-3.442,NA
1947,-3.394,NA
1946.8333,-3.49,NA
1946.6667,-3.73,NA
1946.5,-3.94,NA
1946.3333,-4,NA
1946.1667,-3.772,NA
1946,-3.544,NA
1945.8333,-3.5329,NA
1945.6667,-3.6786,NA
1945.5,-3.77,NA
1945.3333,-4.19,NA
1945.1667,-3.918,NA
1945,-3.718,NA
1944.8333,-3.66,NA
1944.6667,-3.72,NA
1944.5,-3.78,NA
1944.3333,-3.84,NA
1944.1667,-3.646,NA
1944,-3.17,NA
1943.8333,-3.1829,NA
1943.6667,-3.2686,NA
1943.5,-3.3543,NA
1943.3333,-3.44,NA
1943.1667,-3.245,NA
1943,-3.26,NA
1942.8333,-3.2186,NA
1942.6667,-3.27,NA
1942.5,-3.3329,NA
1942.3333,-3.71,NA
1942.1667,-3.486,NA
1942,-3.142,NA
1941.8333,-3.1729,NA
1941.6667,-3.25,NA
1941.5,-3.2614,NA
1941.3333,-3.47,NA
1941.1667,-3.414,NA
1941,-3.358,NA
1940.8333,-3.3557,NA
1940.6667,-3.4671,NA
1940.5,-3.6671,NA
1940.3333,-3.71,NA
1940.1667,-3.68,NA
1940,-3.35,NA
1939.8333,-3.24,NA
1939.6667,-3.24,NA
1939.5,-3.4543,NA
1939.3333,-3.74,NA
1939.1667,-3.394,NA
1939,-3.298,NA
1938.8333,-3.3271,NA
1938.6667,-3.4786,NA
1938.5,-3.6014,NA
1938.3333,-3.61,NA
1938.1667,-3.362,NA
1938,-3.294,NA
1937.8333,-3.2357,NA
1937.6667,-3.3557,NA
1937.5,-3.5029,NA
1937.3333,-3.7,NA
1937.1667,-3.572,NA
1937,-3.45,NA
1936.8333,-3.4814,NA
1936.6667,-3.55,NA
1936.5,-3.6786,NA
1936.3333,-3.99,NA
1936.1667,-3.716,NA
1936,-3.3,NA
1935.8333,-3.2757,NA
1935.6667,-3.3471,NA
1935.5,-3.4186,NA
1935.3333,-3.49,NA
1935.1667,-3.286,NA
1935,-3.082,NA
1934.8333,-3.2,NA
1934.6667,-3.64,NA
1934.5,-3.7886,NA
1934.3333,-3.84,NA
1934.1667,-3.688,NA
1934,-3.572,NA
1933.8333,-3.5643,NA
1933.6667,-3.6529,NA
1933.5,-3.7414,NA
1933.3333,-3.83,NA
1933.1667,-3.68,NA
1933,-3.5733,NA
1932.8333,-3.5371,NA
1932.6667,-3.5714,NA
1932.5,-3.6057,NA
1932.3333,-3.64,NA
1932.1667,-3.44,NA
1932,-3.538,NA
