dD (permil),year (AD)
-213.0039,1685
-216.4731,1684
-217.6675,1683
-219.1898,1682
-229.9749,1681
-231.9636,1680
-234.5956,1679
-231.8198,1678
-227.1943,1677
-224.3631,1676
-219.1335,1675
-214.2695,1674
-215.024,1673
-216.603,1672
-221.4426,1671
-226.3617,1670
-228.6152,1669
-229.3338,1668
-227.7203,1667
-225.7278,1666
-223.4396,1665
-222.303,1664
-223.3756,1663
-224.7225,1662
-227.5643,1661
-230.0446,1660
-234.1888,1659
-239.9042,1658
-245.6535,1657
-249.0554,1656
-249.5829,1655
-247.6922,1654
-247.5443,1653
-244.305,1652
-241.429,1651
-238.1387,1650
-232.3402,1649
-227.1408,1648
-220.3572,1647
-215.2933,1646
-210.6092,1645
-208.5274,1644
-207.552,1643
-211.3647,1642
-214.3199,1641
-216.407,1640
-219.2642,1639
-220.3779,1638
-221.1932,1637
-224.6012,1636
-229.1586,1635
-231.4265,1634
-231.0872,1633
-230.2348,1632
-227.4736,1631
-228.55,1630
-231.0351,1629
-230.8845,1628
-230.2441,1627
-229.7109,1626
-231.6264,1625
-233.8566,1624
-233.327,1623
-233.1474,1622
-231.7804,1621
-232.9807,1620
-234.8756,1619
-236.0579,1618
-236.3243,1617
-234.4276,1616
-232.5443,1615
-227.7145,1614
-221.2722,1613
-212.1862,1612
-206.4266,1611
-207.8863,1610
-210.2284,1609
-212.3455,1608
-215.2046,1607
-212.2667,1606
-209.3884,1605
-210.5104,1604
-210.1328,1603
-208.6277,1602
-208.5662,1601
-204.9547,1600
-215.3223,1599
-212.3236,1598
-224.6337,1597
-221.814,1596
-228.626,1595
-230.4556,1594
-230.2507,1593
-231.1487,1592
-231.3966,1591
-231.1447,1590
-230.7746,1589
-230.7834,1588
-229.866,1587
-231.1892,1586
-232.0976,1585
-233.3326,1584
-233.2583,1583
-232.5083,1582
-232.091,1581
-232.134,1580
-230.1295,1579
-228.5303,1578
-227.2372,1577
-228.393,1576
-228.0405,1575
-226.8471,1574
-224.8487,1573
-223.2567,1572
-221.2174,1571
-218.6847,1570
-215.1284,1569
-212.3667,1568
-209.9284,1567
-207.0175,1566
-207.2192,1565
-206.0553,1564
-206.9263,1563
-207.88,1562
-208.4328,1561
-209.9109,1560
-211.1991,1559
-213.4622,1558
-215.0098,1557
-215.024,1556
-214.2729,1555
-216.7421,1554
-216.9495,1553
-216.947,1552
-215.9896,1551
-214.7028,1550
-215.6737,1549
-215.3229,1548
-214.5829,1547
-213.6615,1546
-212.7784,1545
-211.2421,1544
-211.3208,1543
-210.8923,1542
-210.4135,1541
-210.2189,1540
-209.1206,1539
-208.1416,1538
-207.4565,1537
-207.2622,1536
-206.8621,1535
-206.7206,1534
-208.0979,1533
-211.0136,1532
-212.7702,1531
-215.5104,1530
-216.6566,1529
-218.6149,1528
-219.0796,1527
-219.133,1526
-219.6668,1525
-220.3434,1524
-219.2601,1523
-219.8463,1522
-220.7742,1521
-221.6903,1520
-221.9038,1519
-222.2184,1518
-222.5703,1517
-223.3749,1516
-224.1275,1515
-225.1204,1514
-225.0325,1513
-225.2015,1512
-227.0506,1511
-227.6976,1510
-229.4533,1509
-230.964,1508
-231.8435,1507
-232.4109,1506
-232.7584,1505
-233.2072,1504
-233.5835,1503
-232.5972,1502
-233.0238,1501
-233.4927,1500
-234.1541,1499
-235.1307,1498
-235.7736,1497
-235.2578,1496
-236.7157,1495
-237.3316,1494
-237.445,1493
-238.2922,1492
-237.6588,1491
-238.0684,1490
-239.6652,1489
-240.5324,1488
-241.9835,1487
-241.5185,1486
-239.7427,1485
-239.5052,1484
-239.6118,1483
-239.6,1482
-237.8822,1481
-236.8705,1480
-234.8763,1479
-234.169,1478
-232.8053,1477
-232.4847,1476
-234.3067,1475
-236.1864,1474
-237.5812,1473
-239.41,1472
-240.4302,1471
-241.2481,1470
-241.3656,1469
-239.5261,1468
-239.4924,1467
-239.346,1466
-237.6054,1465
-237.1103,1464
-235.6707,1463
-234.1307,1462
-234.7323,1461
-234.9453,1460
-234.329,1459
-234.3126,1458
-234.0475,1457
-234.9512,1456
-235.2631,1455
-233.2612,1454
-230.9492,1453
-228.8646,1452
-224.3269,1451
-217.7406,1450
-211.0086,1449
-202.8359,1448
-200.3828,1447
