d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil)
0.62,1993,0,NA,NA
0.71,1985.645,1,NA,1.24
1.09,1978.29,2,NA,NA
0.63,1970.935,3,NA,NA
1.07,1963.581,4,1.08,1.62
0.95,1956.2258,5,1.1,0.98
0.91,1948.871,6,1.06,NA
1.12,1941.5161,7,1.23,1.34
NA,1934.161,8,0.92,NA
1.2,1926.806,9,1.08,1.17
0.76,1919.452,10,1.02,1.89
0.88,1912.097,11,1.02,1.02
0.83,1904.742,12,1.12,NA
0.89,1897.387,13,0.82,NA
0.84,1890.032,14,1.04,2.03
0.91,1882.677,15,1,NA
0.77,1875.323,16,1.04,1.77
0.8,1867.968,17,0.91,1.87
0.84,1860.613,18,1.13,2.51
1.08,1853.258,19,0.88,1.88
0.83,1845.9,20,0.9,1.8
0.99,1838.55,21,0.8,NA
0.89,1831.19,22,1.09,2.74
1.02,1823.84,23,1.04,1.87
1.02,1816.48,24,1.08,3.04
1.04,1809.13,25,1.03,NA
1.04,1801.77,26,1,NA
0.95,1794.42,27,1.17,1.98
1,1787.06,28,1.18,NA
0.9,1779.71,29,1.14,1.39
1.11,1772.35,30,1.25,1.99
1.05,1765,31,1.13,1.52
0.99,1724.34,32,0.68,2.7
0.9,1683.68,33,1.18,NA
0.89,1643.03,34,0.85,1.91
0.78,1602.37,35,0.88,NA
0.99,1561.71,36,0.95,NA
0.96,1521.05,37,0.6,1.44
0.71,1480.39,38,0.91,NA
0.61,1439.74,39,1.01,NA
0.68,1399.08,40,0.76,1.17
0.93,1358.42,41,0.57,NA
0.81,1317.76,42,0.8,NA
0.84,1277.11,43,0.57,NA
0.88,1236.45,44,0.88,1.3
1.02,1195.79,45,0.71,NA
0.86,1155.13,46,0.76,NA
0.92,1114.47,47,1.03,1.28
0.81,1073.82,48,0.96,NA
0.76,1033.16,49,0.7,NA
0.82,992.5,50,0.96,NA
0.84,951.84,51,0.75,NA
0.73,911.2,52,0.79,1.22
0.82,870.5,53,0.98,NA
0.87,829.9,54,0.96,NA
0.7,789.2,55,0.74,NA
0.7,748.6,56,0.8,NA
0.91,707.9,57,1.04,NA
0.89,667.2,58,0.91,1.51
1.13,626.6,59,1.08,NA
0.99,585.9,60,1.04,NA
