d18O (permil),year (AD),depth (cm),deuteriumExcess (permil),d18O (permil),deuteriumExcess (permil)
-19.93,1914,NA,16.03,-1022,20.16
-14.29,1915,NA,14.42,-1122,17.85
-14.14,1916,NA,19.23,-1022,16.92
-18.8,1917,NA,15.54,-1244,15.81
-21.87,1918,NA,17.56,-1339,16.55
-17.44,1919,NA,15.5,-1212,17.37
-19.51,1920,NA,17.16,-1084,16.32
-19.61,1921,NA,17.78,-1272,17.57
-22.35,1922,NA,14.96,-1208,16.18
-17.06,1923,NA,16.75,-1133,15.8
-19.79,1924,NA,14.94,-1144,15.02
-15.26,1925,NA,13.87,-913,14.77
-15.38,1926,NA,15.42,-1252,15.34
-23.54,1927,NA,14.28,-1486,17.24
-13.67,1928,NA,15.05,-755,16.94
-14.46,1929,NA,17.69,-1112,17.44
-16.21,1930,NA,17.18,-964,14.09
-22.82,1931,NA,16.46,-1406,18.57
-17.05,1932,NA,18.72,-1380,17.04
-18.08,1933,NA,16.74,-1082,16.41
-20.7,1934,NA,17.89,-1166,15.3
-18.21,1935,NA,16.58,-1052,17.24
-21.23,1936,NA,14.68,-1378,15.18
-23.87,1937,NA,15.14,-1192,16.03
-20.11,1938,NA,18.34,-1054,17.53
-20.88,1939,NA,18.43,-1072,15.97
-18.43,1940,NA,17.45,-1134,15.44
-19.25,1941,NA,16.83,-1310,16.19
-21.29,1942,NA,16.69,-1322,15.56
-21.85,1943,NA,16.48,-1031,15.95
-18.64,1944,NA,16.43,-1023,16.38
-20.18,1945,NA,15.68,-1384,16.99
-24.98,1946,NA,15.9,-1506,17.26
-21.56,1947,NA,17.37,-1515,17.63
-25.84,1948,NA,15.58,-1391,17.26
-22.17,1949,NA,19.46,-1060,16.59
-21.13,1950,NA,15.8,-1377,20.12
-19.94,1951,NA,18.72,-1257,16.22
-22.59,1952,NA,17.5,-1121,17.62
-22.21,1953,NA,16.92,-1143,17.48
-22.88,1954,NA,16.97,-1038,17.88
-19.43,1955,NA,17.55,-1208,18.12
-26.86,1956,NA,17.11,-1459,17.17
-23.47,1957,NA,19.38,-1554,16.92
-20.32,1958,NA,16.6,-1234,15.59
-18.63,1959,NA,18.09,-1257,17.35
-19.83,1960,NA,17.46,-1085,16.14
-16.47,1961,NA,16.49,-1212,17.54
-22.22,1962,NA,17.91,-1067,16.85
-23.43,1963,NA,15.99,-1551,15.22
-15.51,1964,NA,15.22,-1076,16.43
-19.98,1965,NA,17.4,-1234,16.48
-21.03,1966,NA,15.98,-1103,15.57
-17.95,1967,NA,16.45,-1032,15.22
-25.56,1968,NA,16.07,-1279,17.11
-20,1969,NA,16.04,-1264,15.97
-25.22,1970,NA,15.6,-1440,18.23
-23.33,1971,NA,15.66,-1191,17.67
-21.92,1972,NA,18.26,-1145,15.33
-16.09,1973,NA,17.03,-950,15.99
-14.62,1974,NA,17.54,-1040,15.23
-16.29,1975,NA,15.3,-707,18.43
-17.72,1976,NA,16.21,-1139,14.87
-19.95,1977,NA,17.3,-1084,16.62
-19.77,1978,NA,15.15,-1115,16.24
-22.03,1979,NA,14.56,-1206,16.79
-17.31,1980,NA,17.35,-1371,17.32
-21.3,1981,NA,18.16,-1154,16.83
-18.36,1982,NA,18.54,-1007,17.15
-21.19,1983,NA,17.56,-1156,16.26
-19.38,1984,NA,18.14,-1006,16.72
-17.7,1985,NA,18.4,-1015,16.13
-18.68,1986,NA,19.6,-1177,17.13
-23.05,1987,NA,15.63,-1111,16.18
-19.57,1988,NA,14.86,-1173,14.67
-16.18,1989,NA,18.35,-931,16.31
-18.82,1990,NA,15.38,-1367,14.79
-16.59,1991,NA,15.51,-1058,16.96
-16.77,1992,NA,17.56,-1212,15.59
-16.72,1993,NA,15.69,-984,15.82
-16.49,1994,NA,15.82,-964,15.73
-19.36,1995,NA,15.67,-1210,15.26
-22.38,1996,NA,18,-1186,17.05
-19.55,1997,NA,16.5,-1298,16.88
-19.79,1998,NA,15.6,NA,NA
NA,1999,NA,NA,-946,16.82
-17.23,2000,NA,18.32,-845,17.62
-19.13,2001,NA,16.39,-1283,15.82
-21.21,2002,NA,16.34,-1142,15.76
-18.97,2003,NA,17.78,-1235,18.43
-19.23,2004,NA,18.13,-1316,18.88
-21,2005,NA,17.35,-1394,18.29
-17.58,2006,NA,17.76,-969,17.61
-18.66,2007,NA,14.64,-886,16.88
-18.4,2008,NA,18.13,-896,16.68
-22.67,2009,NA,18.53,-1152,17.42
-19.73,2010,NA,15.92,-965,18.56
-17.12,2011,NA,17.39,-810,17.39
-15.27,2012,NA,17.3,-985,18.82
-19,2013,NA,15.98,NA,NA
