year (AD),d18O (permill vpdb),year (AD) [1-2],d18O (permill vpdb) [1-2]
2010.92,-6.331,2011.94,-6.37873
2010.83,-5.939,2011.77,-5.71692
2010.75,-5.704,2011.6,-5.42578
2010.67,-5.636,2011.44,-5.56562
2010.58,-5.444,2011.27,-6.08273
2010.5,-5.472,2011.1,-6.16925
2010.42,-5.624,2010.94,-5.80861
2010.33,-5.935,2010.77,-5.54456
2010.25,-6.028,2010.6,-5.48261
2010.17,-6.208,2010.44,-5.58031
2010.08,-6.222,2010.27,-5.94139
2010,-5.489,2010.1,-6.17522
2009.92,-5.509,2009.94,-5.71434
2009.83,-5.504,2009.77,-5.4303
2009.75,-5.443,2009.6,-5.30219
2009.67,-5.47,2009.44,-5.5079
2009.58,-5.022,2009.27,-5.90483
2009.5,-5.04,2009.1,-6.18383
2009.42,-5.263,2008.94,-5.94849
2009.33,-5.329,2008.77,-5.63585
2009.25,-5.529,2008.6,-5.31698
2009.17,-5.525,2008.44,-5.41968
2009.08,-5.792,2008.27,-5.65738
2009,-5.652,2008.1,-5.82408
2008.92,-5.21,2007.94,-5.93485
2008.83,-5.376,2007.77,-5.67751
2008.75,-5.428,2007.6,-5.4559
2008.67,-5.112,2007.44,-5.45087
2008.58,-5.128,2007.27,-5.74979
2008.5,-5.327,2007.1,-5.97956
2008.42,-5.492,2006.94,-5.80542
2008.33,-5.616,2006.77,-5.54556
2008.25,-5.71,2006.6,-5.26676
2008.17,-6.123,2006.44,-5.30346
2008.08,-6.117,2006.27,-5.74815
2008,-5.914,2006.1,-5.94743
2007.92,-5.641,2005.94,-5.51139
2007.83,-5.6,2005.77,-5.20717
2007.75,-5.007,2005.6,-5.2081
2007.67,-5.068,2005.44,-5.63721
2007.58,-4.634,2005.27,-5.98739
2007.5,-4.835,2005.1,-5.89077
2007.42,-5.213,2004.94,-5.72115
2007.33,-5.592,2004.77,-5.52662
2007.25,-5.857,2004.6,-5.32597
2007.17,-5.828,2004.44,-5.36467
2007.08,-5.851,2004.27,-5.62812
2007,-5.938,2004.1,-5.7162
2006.92,-6.008,2003.94,-5.44026
2006.83,-5.757,2003.77,-5.2248
2006.75,-5.538,2003.6,-5.20753
2006.67,-5.441,2003.44,-5.42163
2006.58,-5.433,2003.27,-5.92726
2006.5,-5.463,2003.1,-6.05628
2006.42,-5.448,2002.94,-5.55387
2006.33,-5.667,2002.77,-5.25709
2006.25,-6.025,2002.6,-5.04409
2006.17,-6.167,2002.44,-5.32297
2006.08,-6.024,2002.27,-5.8298
2006,-5.91,2002.1,-5.97652
2005.92,-5.81,2001.94,-5.74012
2005.83,-5.471,2001.77,-5.4558
2005.75,-5.331,2001.6,-5.37396
2005.67,-5.235,2001.44,-5.63679
2005.58,-5.172,2001.27,-6.19242
2005.5,-5.156,2001.1,-6.19313
2005.42,-5.458,2000.94,-5.85944
2005.33,-5.693,2000.77,-5.53761
2005.25,-6.016,2000.6,-5.35787
2005.17,-6.265,2000.44,-5.50691
2005.08,-6.137,2000.27,-6.00054
2005,-5.783,2000.1,-5.96755
2004.92,-5.39,1999.94,-5.69292
2004.83,-5.25,1999.77,-5.54497
2004.75,-5.278,1999.6,-5.53581
2004.67,-5.24,1999.44,-5.54673
2004.58,-5.213,1999.27,-5.75106
2004.5,-5.555,1999.1,-5.80014
2004.42,-5.81,1998.94,-5.661
2004.33,-6.244,1998.77,-5.38345
2004.25,-6.294,1998.6,-5.2289
2004.17,-6.117,1998.44,-5.36668
2004.08,-6.072,1998.27,-5.82806
2004,-6.004,1998.1,-6.01934
2003.92,-5.824,1997.94,-5.8713
2003.83,-5.686,1997.77,-5.6742
2003.75,-5.581,1997.6,-5.59216
2003.67,-5.556,1997.44,-5.73198
2003.58,-5.327,1997.27,-5.96823
2003.5,-5.366,1997.1,-6.03877
2003.42,-5.478,1996.94,-5.6338
2003.33,-5.661,1996.77,-5.40453
2003.25,-5.845,1996.6,-5.48618
2003.17,-5.959,1996.44,-5.65821
2003.08,-5.821,1996.27,-6.06865
2003,-5.625,1996.1,-6.30105
2002.92,-5.416,1995.94,-5.72199
2002.83,-5.336,1995.77,-5.35689
2002.75,-5.312,1995.6,-5.32508
2002.67,-5.207,1995.44,-5.4309
2002.58,-5.261,1995.27,-5.9491
2002.5,-5.373,1995.1,-6.10556
2002.42,-5.529,1994.94,-5.58094
2002.33,-5.662,1994.77,-5.28362
2002.25,-6.071,1994.6,-5.30933
2002.17,-6.324,1994.44,-5.5454
2002.08,-6.252,1994.27,-5.93855
2002,-5.884,1994.1,-6.07827
2001.92,-5.545,1993.94,-5.70303
2001.83,-5.482,1993.77,-5.46464
2001.75,-5.526,1993.6,-5.37279
2001.67,-5.466,1993.44,-5.53875
2001.58,-5.417,1993.27,-5.86483
2001.5,-5.516,1993.1,-5.94172
2001.42,-5.833,1992.94,-5.43935
2001.33,-5.975,1992.77,-5.30637
2001.25,-6.355,1992.6,-5.38071
2001.17,-6.438,1992.44,-5.60121
2001.08,-6.362,1992.27,-6.02166
2001,-6.071,1992.1,-6.00518
2000.92,-5.789,1991.94,-5.77489
2000.83,-5.667,1991.77,-5.5406
2000.75,-5.455,1991.6,-5.38172
2000.67,-5.405,1991.44,-5.45093
2000.58,-5.467,1991.27,-5.60588
2000.5,-5.582,1991.1,-5.99567
2000.42,-5.65,1990.94,-5.50955
2000.33,-6.017,1990.77,-5.27377
2000.25,-6.316,1990.6,-5.1579
2000.17,-6.313,1990.44,-5.47439
2000.08,-6.277,1990.27,-5.939
2000,-5.926,1990.1,-6.18024
1999.92,-5.735,1989.94,-5.77155
1999.83,-5.588,1989.77,-5.56739
1999.75,-5.461,1989.6,-5.42466
1999.67,-5.427,1989.44,-5.41914
1999.58,-5.331,1989.27,-5.80727
1999.5,-5.503,1989.1,-6.17312
1999.42,-5.649,1988.94,-5.81684
1999.33,-5.969,1988.77,-5.44114
1999.25,-6.21,1988.6,-5.29542
1999.17,-6.15,1988.44,-5.25044
1999.08,-6.083,1988.27,-5.54866
1999,-5.83,1988.1,-5.76558
1998.92,-5.636,1987.94,-5.53174
1998.83,-5.52,1987.77,-5.33213
1998.75,-5.584,1987.6,-5.23595
1998.67,-5.489,1987.44,-5.35262
1998.58,-5.534,1987.27,-5.78159
1998.5,-5.555,1987.1,-6.05889
1998.42,-5.599,1986.94,-5.64774
1998.33,-5.621,1986.77,-5.46076
1998.25,-6.007,1986.6,-5.43447
1998.17,-5.784,1986.44,-5.67058
1998.08,-5.663,1986.27,-6.04337
1998,-5.694,1986.1,-6.12184
1997.92,-5.766,1985.94,-5.83838
1997.83,-5.588,1985.77,-5.71305
1997.75,-5.305,1985.6,-5.66898
1997.67,-5.24,1985.44,-5.78786
1997.58,-5.189,1985.27,-6.03661
1997.5,-5.264,1985.1,-6.02922
1997.42,-5.479,1984.94,-5.59059
1997.33,-5.774,1984.77,-5.28864
1997.25,-6.191,1984.6,-5.28039
1997.17,-6.247,1984.44,-5.41352
1997.08,-5.978,1984.27,-5.70455
1997,-5.902,1984.1,-5.90179
1996.92,-5.854,1983.94,-5.68082
1996.83,-5.778,1983.77,-5.25239
1996.75,-5.68,1983.61,-5.29439
1996.67,-5.541,1983.44,-5.52769
1996.58,-5.532,1983.27,-5.87952
1996.5,-5.58,1983.11,-5.99172
1996.42,-5.726,1982.94,-5.66223
1996.33,-5.867,1982.77,-5.30764
1996.25,-6.114,1982.61,-5.3425
1996.17,-6.217,1982.44,-5.52803
1996.08,-6.06,1982.27,-5.74011
1996,-5.764,1982.11,-5.80015
1995.92,-5.568,1981.94,-5.76223
1995.83,-5.47,1981.77,-5.64602
1995.75,-5.264,1981.61,-5.53548
1995.67,-5.351,1981.44,-5.5762
1995.58,-5.323,1981.27,-5.76542
1995.5,-5.421,1981.11,-5.95605
1995.42,-5.46,1980.94,-5.64282
1995.33,-5.681,1980.77,-5.41835
1995.25,-6.3,1980.61,-5.41057
1995.17,-6.281,1980.44,-5.63608
1995.08,-5.961,1980.27,-5.93313
1995,-5.724,1980.11,-6.13285
1994.92,-5.604,1979.94,-5.89045
1994.83,-5.465,1979.77,-5.50936
1994.75,-5.301,1979.61,-5.46602
1994.67,-5.252,1979.44,-5.52722
1994.58,-5.278,1979.27,-5.71094
1994.5,-5.27,1979.11,-5.88339
1994.42,-5.442,1978.94,-5.51115
1994.33,-5.687,1978.77,-5.21227
1994.25,-5.992,1978.61,-5.22956
1994.17,-6.151,1978.44,-5.54706
1994.08,-5.845,1978.27,-5.97416
1994,-5.588,1978.11,-6.01739
1993.92,-5.379,1977.94,-5.70818
1993.83,-5.345,1977.77,-5.39897
1993.75,-5.001,1977.61,-5.22231
1993.67,-5.139,1977.44,-5.24568
1993.58,-5.067,1977.27,-5.4598
1993.5,-5.113,1977.11,-5.93579
1993.42,-5.216,1976.94,-6.00504
1993.33,-5.46,1976.77,-5.80082
1993.25,-5.749,1976.61,-5.79414
1993.17,-5.91,1976.44,-5.97293
1993.08,-5.749,1976.27,-6.12456
1993,-5.679,1976.11,-5.94944
1992.92,-5.583,1975.94,-5.6813
1992.83,-5.329,1975.77,-5.45133
1992.75,-5.327,1975.61,-5.34713
1992.67,-5.428,1975.44,-5.40999
1992.58,-5.275,1975.27,-5.53491
1992.5,-5.64,1975.11,-5.7614
1992.42,-5.679,1974.94,-5.67428
1992.33,-5.739,1974.77,-5.44777
1992.25,-5.945,1974.61,-5.34642
1992.17,-6.054,1974.44,-5.66707
1992.08,-5.914,1974.27,-5.90107
1992,-5.454,1974.11,-5.54853
1991.92,-5.108,1973.94,-5.23824
1991.83,-5.267,1973.77,-5.07762
1991.75,-5.325,1973.61,-5.09047
1991.67,-5.128,1973.44,-5.24488
1991.58,-5.247,1973.27,-5.6496
1991.5,-5.334,1973.11,-5.67545
1991.42,-5.448,1972.94,-5.56485
1991.33,-5.856,1972.77,-5.45763
1991.25,-6.086,1972.61,-5.35042
1991.17,-5.854,1972.44,-5.30646
1991.08,-5.861,1972.27,-5.56799
1991,-5.698,1972.11,-5.88363
1990.92,-5.715,1971.94,-5.51189
1990.83,-5.561,1971.77,-5.38828
1990.75,-5.432,1971.61,-5.40731
1990.67,-5.35,1971.44,-5.62027
1990.58,-5.28,1971.27,-5.82065
1990.5,-5.478,1971.11,-5.68875
1990.42,-5.454,1970.94,-5.5241
1990.33,-5.521,1970.77,-5.34853
1990.25,-5.696,1970.61,-5.22176
1990.17,-5.905,1970.44,-5.47332
1990.08,-5.942,1970.27,-5.97536
1990,-5.741,1970.11,-5.83547
1989.92,-5.63,1969.94,-5.49991
1989.83,-5.599,1969.77,-5.55718
1989.75,-5.58,1969.61,-5.6979
1989.67,-5.508,1969.44,-5.81079
1989.58,-5.459,1969.27,-5.91194
1989.5,-5.639,1969.11,-5.9502
1989.42,-5.786,1968.94,-5.69237
1989.33,-5.956,1968.77,-5.36028
1989.25,-6.004,1968.61,-5.17604
1989.17,-5.987,1968.44,-5.29109
1989.08,-5.94,1968.27,-5.62928
1989,-5.7,1968.11,-5.66597
1988.92,-5.626,1967.94,-5.41019
1988.83,-5.512,1967.77,-5.2941
1988.75,-5.274,1967.61,-5.27018
1988.67,-5.293,1967.44,-5.46856
1988.58,-5.307,1967.27,-6.0525
1988.5,-5.319,1967.11,-5.59898
1988.42,-5.401,1966.94,-5.40944
1988.33,-5.496,1966.77,-5.36844
1988.25,-5.867,1966.61,-5.42742
1988.17,-6.098,1966.44,-5.56011
1988.08,-6.126,1966.27,-5.92117
1988,-5.915,1966.11,-5.91952
1987.92,-5.686,1965.94,-5.69324
1987.83,-5.506,1965.77,-5.57259
1987.75,-5.375,1965.61,-5.47002
1987.67,-5.412,1965.44,-5.52314
1987.58,-5.375,1965.27,-5.7507
1987.5,-5.396,1965.11,-5.92686
1987.42,-5.546,1964.94,-5.81464
1987.33,-5.745,1964.77,-5.68387
1987.25,-5.761,1964.61,-5.75168
1987.17,-6.125,1964.44,-5.8018
1987.08,-6.1,1964.27,-6.08905
1987,-5.884,1964.11,-6.283
1986.92,-5.839,1963.94,-5.84435
1986.83,-5.813,1963.77,-5.59896
1986.75,-5.583,1963.61,-5.4836
1986.67,-5.4,1963.44,-5.64146
NA,NA,1963.27,-6.03603
NA,NA,1963.11,-6.01538
NA,NA,1962.94,-5.70079
NA,NA,1962.77,-5.54231
NA,NA,1962.61,-5.3968
NA,NA,1962.44,-5.52744
NA,NA,1962.27,-5.89362
NA,NA,1962.11,-5.95848
NA,NA,1961.94,-5.6398
NA,NA,1961.77,-5.45881
NA,NA,1961.61,-5.32162
NA,NA,1961.44,-5.49842
NA,NA,1961.27,-5.9419
NA,NA,1961.11,-6.15011
NA,NA,1960.94,-5.86551
NA,NA,1960.77,-5.62455
NA,NA,1960.61,-5.55728
NA,NA,1960.44,-5.67456
NA,NA,1960.27,-5.99368
NA,NA,1960.11,-6.19047
NA,NA,1959.94,-6.07515
NA,NA,1959.77,-5.74924
NA,NA,1959.61,-5.58587
NA,NA,1959.44,-5.63996
NA,NA,1959.27,-6.15994
NA,NA,1959.11,-6.30674
NA,NA,1958.94,-6.04606
NA,NA,1958.77,-5.7731
NA,NA,1958.61,-5.63805
NA,NA,1958.44,-5.78932
NA,NA,1958.27,-6.07567
NA,NA,1958.11,-6.37924
NA,NA,1957.94,-6.04642
NA,NA,1957.77,-5.7792
NA,NA,1957.61,-5.59423
NA,NA,1957.44,-5.78812
NA,NA,1957.27,-6.04318
NA,NA,1957.11,-6.12517
NA,NA,1956.94,-5.81947
NA,NA,1956.77,-5.62029
