d18O (permil),year (AD),depth (cm)
-0.93,1904,7.5
-1.37,1660,11.5
-1.43,1599,12.5
-0.3,1354,16.5
-0.76,1289,18.5
0.36,1167,22.5
-0.68,1069,25.5
-0.77,1037,26.5
-0.31,939,29.5
0,841,32.5
-0.04,711,36.5
-0.13,452,42.5
-0.76,151,49.5
-0.28,-625,67.5
-0.72,-1095,79.5
-0.55,-1386,87.5
-0.44,-1459,89.5
-0.39,-1495,91.5
-0.19,-1677,95.5
0.44,-1895,101.5
-0.49,-2114,107.5
