year (AD),temperature (degC),d18O (permil) [1-2],year (AD) [1-2],temperature (degC) [1-2],depth (cm) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
1415.8,28.74,0.1806666667,1824.3,28.364,1,4.88,-2.561
1372.8,28.96,0.1809583333,1802.8,28.567,3,4.97,-2.603
1329.81,28.06,0.3659583333,1781.3,29.239,5,5.28,-2.558
1286.81,28.5,0.37625,1759.8,28.722,7,5.04,-2.44
1243.82,28.92,-0.001333333333,1738.3,28.7,9,5.03,-2.813
1200.82,28.81,0.1111666667,1716.8,28.544,11,4.96,-2.668
1179.32,28.61,-0.2702083333,1695.3,27.899,13,4.68,-2.915
1157.82,28.43,0.01275,1673.8,28.11,15,4.77,-2.676
1114.83,28.39,0.326875,1652.3,28.341,17,4.87,-2.41
1071.83,29.93,0.08158333333,1630.8,27.97,19,4.71,-2.578
1028.84,29.13,-0.05579166667,1609.3,28.477,21,4.93,-2.821
985.84,28.94,0.166875,1587.8,29.133,23,5.23,-2.735
942.8,28.13,-0.07041666667,1566.3,28.81,25,5.08,-2.905
910.6,29.45,-0.2679583333,1544.8,28.409,27,4.9,-3.019
899.8,28.7,NA,1523.3,NA,29,NA,-2.706
856.9,28.66,-0.1090833333,1501.8,28.226,31,4.82,-2.822
813.9,29.18,-0.08158333333,1480.3,28.454,33,4.92,-2.842
770.9,28.63,-0.06591666667,1458.8,28.678,35,5.02,-2.873
727.9,28.85,0.278125,1448.1,29.571,36,5.44,-2.715
684.9,29.49,-0.07091666667,1437.3,28.318,37,4.86,-2.803
NA,NA,0.05483333333,1415.8,28.744,39,5.05,-2.766
NA,NA,0.16325,1372.8,28.962,43,5.15,-2.703
NA,NA,-0.1468333333,1329.8,28.064,47,4.75,-2.826
NA,NA,-0.06620833333,1286.8,28.499,51,4.94,-2.836
NA,NA,-0.1247083333,1243.8,28.919,55,5.13,-2.982
NA,NA,0.2625833333,1200.8,28.81,59,5.08,-2.572
NA,NA,-0.036875,1179.3,28.611,61,4.99,-2.83
NA,NA,0.02183333333,1157.8,28.432,63,4.91,-2.734
NA,NA,-0.13275,1114.8,28.386,67,4.89,-2.879
NA,NA,0.05033333333,1071.8,29.932,71,5.62,-3.018
NA,NA,0.086875,1028.8,29.133,75,5.23,-2.815
NA,NA,0.2586666667,985.8,28.94,79,5.14,-2.603
NA,NA,-0.20025,942.8,28.134,83,4.78,-2.894
NA,NA,0.3322916667,910.6,29.447,86,5.38,-2.635
NA,NA,-0.008333333333,899.8,28.7,87,5.03,-2.82
NA,NA,0.1435,856.9,28.656,91,5.01,-2.659
NA,NA,0.1898333333,813.9,29.176,95,5.25,-2.721
NA,NA,-0.1750833333,770.9,28.634,99,5,-2.973
NA,NA,0.08375,727.9,28.854,103,5.1,-2.76
NA,NA,0.2140416667,684.9,29.489,107,5.4,-2.762
NA,NA,-0.0925,641.9,28.272,111,4.84,-2.815
NA,NA,0.103125,598.9,28.611,115,4.99,-2.69
NA,NA,-0.035875,555.9,28.875,119,5.11,-2.884
NA,NA,0.1395833333,512.9,28.522,123,4.95,-2.635
NA,NA,-0.2788333333,469.9,28.064,127,4.75,-2.958
NA,NA,-0.1344166667,426.9,27.946,131,4.7,-2.789
NA,NA,0.1485,383.9,28.656,135,5.01,-2.654
NA,NA,0.08970833333,373.1,28.897,136,5.12,-2.763
NA,NA,0.07020833333,340.9,29.197,139,5.26,-2.845
NA,NA,0.346125,297.9,28.875,143,5.11,-2.502
NA,NA,0.08945833333,254.9,29.155,147,5.24,-2.817
NA,NA,-0.02279166667,211.9,28.477,151,4.93,-2.788
NA,NA,0.2276666667,168.9,28.7,155,5.03,-2.584
NA,NA,-0.007416666667,125.9,28.522,159,4.95,-2.782
NA,NA,NA,104.4,29.005,161,5.17,NA
NA,NA,0.1558333333,82.9,29.176,163,5.25,-2.755
NA,NA,0.2937916667,39.9,29.027,167,5.18,-2.586
NA,NA,0.3528333333,-3.1,28.984,171,5.16,-2.518
NA,NA,0.3984583333,-46.1,29.611,175,5.46,-2.603
NA,NA,0.17825,-89.1,28.962,179,5.15,-2.688
NA,NA,0.3995416667,-132.1,29.693,183,5.5,-2.619
NA,NA,-0.1398333333,-164.3,28.832,186,5.09,-2.979
NA,NA,0.2223333333,-175.1,29.26,187,5.29,-2.706
NA,NA,0.1755416667,-218,29.693,191,5.5,-2.843
NA,NA,0.22875,-261,28.854,195,5.1,-2.615
NA,NA,0.09620833333,-304,29.509,199,5.41,-2.884
NA,NA,NA,-347,NA,203,NA,-2.704
NA,NA,0.337125,-390,29.571,207,5.44,-2.656
NA,NA,0.1096666667,-433,28.364,211,4.88,-2.632
NA,NA,0.1615,-476,28.656,215,5.01,-2.641
NA,NA,0.4715,-519,28.656,219,5.01,-2.331
NA,NA,0.3669583333,-562,29.239,223,5.28,-2.557
NA,NA,0.2039583333,-605,29.239,227,5.28,-2.72
NA,NA,-0.1178333333,-648,28.04,231,4.74,-2.792
NA,NA,0.317125,-691,29.571,235,5.44,-2.676
NA,NA,NA,-701.8,NA,236,NA,-3.122
NA,NA,0.2858333333,-734,29.344,239,5.33,-2.66
NA,NA,0.3361666667,-777,29.048,243,5.19,-2.548
NA,NA,0.181125,-820,29.427,247,5.37,-2.782
NA,NA,0.01879166667,-863,28.499,251,4.94,-2.751
NA,NA,0.1634583333,-906,29.611,255,5.46,-2.838
NA,NA,0.293875,-949,29.133,259,5.23,-2.608
NA,NA,-0.06958333333,-992,28.454,263,4.92,-2.83
NA,NA,0.2045833333,-1035,28.522,267,4.95,-2.57
NA,NA,0.3606666667,-1078,29.972,271,5.64,-2.716
NA,NA,0.5354583333,-1121,29.323,275,5.32,-2.406
NA,NA,0.37725,-1164,28.962,279,5.15,-2.489
NA,NA,0.2871666667,-1207,28.544,283,4.96,-2.492
NA,NA,NA,-1239.2,28.7,286,5.03,NA
NA,NA,0.28325,-1250,28.722,287,5.04,-2.533
NA,NA,0.28425,-1272.3,28.386,291,4.89,-2.462
NA,NA,0.3636666667,-1336.8,28.7,295,5.03,-2.448
NA,NA,0.41675,-1401.4,28.854,299,5.1,-2.427
NA,NA,0.308125,-1465.9,28.611,303,4.99,-2.485
NA,NA,0.2480833333,-1530.4,28.318,307,4.86,-2.484
NA,NA,0.2164166667,-1595,28.766,311,5.06,-2.609
NA,NA,-0.06420833333,-1659.5,27.779,315,4.63,-2.684
NA,NA,0.05283333333,-1724,28.432,319,4.91,-2.703
NA,NA,0.3655416667,-1788.6,29.069,323,5.2,-2.523
NA,NA,0.4144166667,-1853.1,28.766,327,5.06,-2.411
NA,NA,0.1947916667,-1917.7,27.899,331,4.68,-2.45
NA,NA,0.2208333333,-1982.2,28.744,335,5.05,-2.6
NA,NA,0.3012083333,-1998.3,29.773,336,5.54,-2.734
NA,NA,0.051125,-2046.7,28.875,339,5.11,-2.797
NA,NA,0.2587916667,-2075.3,28.499,343,4.94,-2.511
NA,NA,0.1896666667,-2095,28.7,347,5.03,-2.622
NA,NA,0.147125,-2125,28.611,351,4.99,-2.646
NA,NA,0.3738333333,-2150,28.744,355,5.05,-2.447
NA,NA,0.2448333333,-2169.4,28.744,359,5.05,-2.576
NA,NA,0.1333333333,-2233.9,29.26,363,5.29,-2.795
NA,NA,0.1910833333,-2298.5,28.318,367,4.86,-2.541
NA,NA,0.5023333333,-2363,29.26,371,5.29,-2.426
NA,NA,0.2338333333,-2427.5,28.984,375,5.16,-2.637
NA,NA,0.3422083333,-2492.1,29.197,379,5.26,-2.573
NA,NA,0.1926666667,-2556.6,28.7,383,5.03,-2.619
NA,NA,0.3384583333,-2605,29.611,386,5.46,-2.663
NA,NA,0.237875,-2621.2,29.133,387,5.23,-2.664
NA,NA,NA,-2653.4,28.656,389,5.01,NA
NA,NA,0.2702083333,-2685.7,29.773,391,5.54,-2.765
NA,NA,0.3572916667,-2750.2,30.167,395,5.74,-2.76
NA,NA,0.3267916667,-2814.8,29.027,399,5.18,-2.553
NA,NA,0.4223333333,-2879.3,29.26,403,5.29,-2.506
NA,NA,0.2723333333,-2943.8,29.26,407,5.29,-2.656
NA,NA,0.2577083333,-3008.4,29.281,411,5.3,-2.675
NA,NA,NA,-3072.9,NA,415,NA,-2.672
NA,NA,0.2941666667,-3137.4,29.048,419,5.19,-2.59
NA,NA,0.4906666667,-3202,28.94,423,5.14,-2.371
NA,NA,NA,-3266.5,NA,427,NA,-2.621
NA,NA,NA,-3331.1,29.239,431,5.28,NA
NA,NA,0.267,-3395.6,29.652,435,5.48,-2.743
NA,NA,0.378,-3411.7,29.652,436,5.48,-2.632
NA,NA,0.3106666667,-3460.1,29.468,439,5.39,-2.661
NA,NA,0.2498333333,-3524.7,28.984,443,5.16,-2.621
NA,NA,0.4078333333,-3589.2,29.632,447,5.47,-2.598
NA,NA,0.16575,-3653.7,29.406,451,5.36,-2.793
NA,NA,0.6534166667,-3718.3,30.206,455,5.76,-2.472
NA,NA,0.3428333333,-3782.8,29.632,459,5.47,-2.663
NA,NA,NA,-3815.1,29.571,461,5.44,NA
NA,NA,0.2936666667,-3847.3,29.468,463,5.39,-2.678
NA,NA,NA,-3911.9,30.07,467,5.69,NA
NA,NA,0.3272083333,-3976.4,29.005,471,5.17,-2.548
NA,NA,0.4612083333,-4041,29.365,475,5.34,-2.489
NA,NA,0.29175,-4105.5,29.406,479,5.36,-2.667
NA,NA,0.18125,-4170,28.386,483,4.89,-2.565
NA,NA,0.2775833333,-4234.6,28.81,487,5.08,-2.557
NA,NA,0.1415,-4299.1,29.112,491,5.22,-2.756
NA,NA,0.4090833333,-4363.6,29.302,495,5.31,-2.528
NA,NA,0.160125,-4428.2,28.611,499,4.99,-2.633
NA,NA,0.34375,-4492.7,29.55,503,5.43,-2.645
NA,NA,0.3945833333,-4557.2,29.218,507,5.27,-2.525
NA,NA,NA,-4621.8,29.239,511,5.28,NA
NA,NA,NA,-4621.8,NA,511,NA,-2.48
NA,NA,0.65829166670000006,-4686.3,30.167,515,5.74,-2.459
NA,NA,0.5107083333,-4750.8,29.281,519,5.3,-2.422
NA,NA,0.6038333333,-4815.4,29.632,523,5.47,-2.402
NA,NA,0.4462083333,-4879.9,29.365,527,5.34,-2.504
NA,NA,0.5972083333,-4944.5,29.005,531,5.17,-2.278
NA,NA,0.398875,-5009,29.133,535,5.23,-2.503
NA,NA,0.4620833333,-5025.1,30.07,536,5.69,-2.635
NA,NA,0.557375,-5073.5,29.913,539,5.61,-2.507
NA,NA,0.2926666667,-5138.1,28.7,543,5.03,-2.519
NA,NA,0.3549583333,-5202.6,29.239,547,5.28,-2.569
NA,NA,0.1937916667,-5267.1,29.027,551,5.18,-2.686
NA,NA,0.1981666667,-5331.7,28.544,555,4.96,-2.581
NA,NA,0.5265,-5396.2,29.112,559,5.22,-2.371
NA,NA,0.4140416667,-5460.7,29.489,563,5.4,-2.562
NA,NA,0.4786666667,-5525.3,29.468,567,5.39,-2.493
NA,NA,0.457125,-5589.8,28.875,571,5.11,-2.391
NA,NA,0.4158333333,-5654.4,28.984,575,5.16,-2.455
NA,NA,0.509125,-5718.9,28.203,579,4.81,-2.199
NA,NA,0.5342083333,-5783.4,29.005,583,5.17,-2.341
NA,NA,0.5086666667,-5831.8,29.972,586,5.64,-2.568
NA,NA,0.2610833333,-5848,28.678,587,5.02,-2.546
NA,NA,0.133125,-5912.5,28.875,591,5.11,-2.715
NA,NA,0.4581666667,-5977,30.128,595,5.72,-2.651
NA,NA,0.1355,-6041.6,29.112,599,5.22,-2.762
NA,NA,0.2292083333,-6106.1,29.197,603,5.26,-2.686
NA,NA,0.349375,-6170.6,29.793,607,5.55,-2.69
NA,NA,0.2267083333,-6235.2,29.281,611,5.3,-2.706
NA,NA,0.3567083333,-6235.2,29.713,611,5.51,-2.666
NA,NA,0.5638333333,-6299.7,28.984,615,5.16,-2.307
NA,NA,0.448875,-6364.2,29.733,619,5.52,-2.578
NA,NA,0.3770416667,-6428.8,29.753,623,5.53,-2.654
NA,NA,0.8645416667,-6493.3,29.813,627,5.56,-2.179
NA,NA,NA,-6693.3,29.489,631,5.4,NA
NA,NA,0.3597083333,-6757.9,29.281,635,5.3,-2.573
NA,NA,0.6700833333,-6822.4,29.302,639,5.31,-2.267
NA,NA,0.6045,-6951.5,28.656,643,5.01,-2.198
NA,NA,0.5527083333,-6983.7,29.713,647,5.51,-2.47
NA,NA,0.3437083333,-7080.5,29.281,651,5.3,-2.589
NA,NA,0.6795833333,-7112.8,29.218,655,5.27,-2.24
NA,NA,0.553125,-7145.1,29.091,659,5.21,-2.34
NA,NA,0.4874583333,-7209.6,29.611,661,5.46,-2.514
NA,NA,0.579125,-7241.9,29.091,663,5.21,-2.314
NA,NA,0.647375,-7274.1,29.913,667,5.61,-2.417
NA,NA,0.638125,-7338.7,28.875,671,5.11,-2.21
NA,NA,NA,-7403.2,30.011,675,5.66,NA
NA,NA,0.6255833333,-7467.7,29.218,679,5.27,-2.294
NA,NA,0.5395833333,-7532.3,28.81,683,5.08,-2.295
NA,NA,0.1301666667,-7645.2,29.048,687,5.19,-2.754
NA,NA,0.275125,-7661.4,28.611,691,4.99,-2.518
NA,NA,0.4202916667,-7725.9,29.591,695,5.45,-2.577
NA,NA,0.3830833333,-7790.4,29.302,699,5.31,-2.554
NA,NA,0.5377083333,-7855,28.897,703,5.12,-2.315
NA,NA,NA,-7919.5,NA,707,5.05,-2.627
NA,NA,0.5252083333,-8142,28.477,711,4.93,-2.24
NA,NA,NA,-8142,NA,711,4.99,-2.611
NA,NA,0.6882083333,-8323,29.365,715,5.34,-2.262
NA,NA,0.3668333333,-8504,28.744,719,5.05,-2.454
NA,NA,0.6118333333,-8685,29.176,723,5.25,-2.299
NA,NA,0.5032083333,-8866,29.197,727,5.26,-2.412
NA,NA,0.6032916667,-9047,28.919,731,5.13,-2.254
NA,NA,0.5750416667,-9229,28.409,735,4.9,-2.176
NA,NA,0.5832916667,-9410,28.295,739,4.85,-2.144
NA,NA,0.7245416667,-9591,28.589,743,4.98,-2.064
NA,NA,0.7234166667,-9772,28.766,747,5.06,-2.102
NA,NA,NA,-9953,27.899,751,4.68,NA
NA,NA,0.91375,-10134,28.854,755,5.1,-1.93
NA,NA,0.6890833333,-10315,28.678,759,5.02,-2.118
NA,NA,0.973125,-10406,28.611,761,4.99,-1.82
NA,NA,NA,-10406,NA,761,NA,-1.82
NA,NA,0.8497916667,-10496,28.499,763,4.94,-1.92
NA,NA,0.6510833333,-10677,28.678,767,5.02,-2.156
NA,NA,NA,-10859,27.803,771,4.64,NA
NA,NA,0.748375,-11040,28.017,775,4.73,-1.921
NA,NA,0.660375,-11221,28.017,779,4.73,-2.009
