dD (permil),year (AD),d18O (permil),deuteriumExcess (permil)
-146.86,1998,-146.86,7.22
-168.13,1997,-168.13,8.99
-153.3,1996,-153.3,9.42
-139.32,1995,-139.32,10.4
-133.41,1994,-133.41,6.83
-154.95,1993,-154.95,10.02
-142.07,1992,-142.07,9.57
-137.2,1991,-137.2,7.91
-139.56,1990,-139.56,9.12
-144.41,1989,-144.41,8.72
-140.81,1988,-140.81,9.65
-157.89,1987,-157.89,11.73
-162.7,1986,-162.7,12.27
-147.88,1985,-147.88,10.48
-149.74,1984,-149.74,9.72
-140.88,1983,-140.88,9.62
-141.13,1982,-141.13,9.73
-153.56,1981,-153.56,10.22
-165.61,1980,-165.61,9.65
-152.31,1979,-152.31,8.76
-144.38,1978,-144.38,11.73
-151.49,1977,-151.49,12.35
-145.95,1976,-145.95,11.4
-147.41,1975,-147.41,10.4
-162.42,1974,-162.42,10.05
-151.5,1973,-151.5,11.87
-151.12,1972,-151.12,14.05
-152.27,1971,-152.27,10.49
-155.29,1970,-155.29,11.66
-146.36,1969,-146.36,10.87
-142,1968,-142,11.11
-144.64,1967,-144.64,11.44
-154.66,1966,-154.66,10.95
-146.58,1965,-146.58,13.14
-153.84,1964,-153.84,11.17
-154.52,1963,-154.52,11.61
-158.56,1962,-158.56,11.62
-159.8,1961,-159.8,10.38
-149.47,1960,-149.47,9.03
-150.66,1959,-150.66,10.11
-144.1,1958,-144.1,9.03
-142.1,1957,-142.1,11.68
-150.13,1956,-150.13,12.62
-150.59,1955,-150.59,9.41
-144.66,1954,-144.66,9.4
-151.64,1953,-151.64,11.04
-150.47,1952,-150.47,9.93
-143.33,1951,-143.33,9.46
-149.05,1950,-149.05,9.58
-146.7,1949,-146.7,10.75
-151.47,1948,-151.47,12.45
-152.63,1947,-152.63,13.01
-162.2,1946,-162.2,12.3
-149.64,1945,-149.64,9.18
-139.01,1944,-139.01,8.31
-147.72,1943,-147.72,9.77
-138.91,1942,-138.91,11.03
-140.62,1941,-140.62,10.03
-136.95,1940,-136.95,10.76
-134.87,1939,-134.87,8.94
-131.37,1938,-131.37,8.69
-135.03,1937,-135.03,9.62
-133.15,1936,-133.15,10.37
-133.16,1935,-133.16,10.49
-149.73,1934,-149.73,11.44
-147.7,1933,-147.7,12.23
-137.21,1932,-137.21,13.57
-138.93,1931,-138.93,11.06
-152.18,1930,-152.18,11.22
-156.84,1929,-156.84,11.55
-137.38,1928,-137.38,10.63
-146.39,1927,-146.39,11.21
-153.81,1926,-153.81,11.13
-145.61,1925,-145.61,11.59
-150.25,1924,-150.25,10.32
-122.15,1923,-122.15,13.21
-131.57,1922,-131.57,13.12
-125.7,1921,-125.7,7.43
-135.43,1920,-135.43,9.93
-149.51,1919,-149.51,12.08
-143.3,1918,-143.3,13.24
-154.1,1917,-154.1,9.87
-160.63,1916,-160.63,10.53
-158.42,1915,-158.42,11.49
-150.84,1914,-150.84,9.79
-147.18,1913,-147.18,10.58
-155.38,1912,-155.38,11.07
-163.52,1911,-163.52,11.15
-158.86,1910,-158.86,11.03
-150.88,1909,-150.88,9.34
-158.75,1908,-158.75,9.94
-154.29,1907,-154.29,11.22
-160.98,1906,-160.98,10
-151.63,1905,-151.63,11.32
-156.9,1904,-156.9,11.9
-161.95,1903,-161.95,12.06
-168.97,1902,-168.97,11.84
-164.62,1901,-164.62,11.26
-163.76,1900,-163.76,13.34
-153.34,1899,-153.34,12.37
-163.31,1898,-163.31,11.49
-183.1,1897,-183.1,13.56
-152.42,1896,-152.42,13.21
-162.77,1895,-162.77,10.4
-172.79,1894,-172.79,10.75
-174.12,1893,-174.12,11.28
-164.11,1892,-164.11,12.91
-152.05,1891,-152.05,9.73
-143.38,1890,-143.38,11.7
-150.74,1889,-150.74,11.88
-158.51,1888,-158.51,10.59
-168.45,1887,-168.45,11.28
-163.13,1886,-163.13,13.48
-176.94,1885,-176.94,12.75
-161.87,1884,-161.87,12.05
-160.88,1883,-160.88,10.85
