dD (permil),year (AD),depth (cm),dDUncertainty (permil)
-145.1,1643,112.5,3.5
-154,1641,113.5,1
-139.8,1639,114.5,2.9
-138.4,1637,115.5,1.8
-151.6,1635,116.5,1
-136.4,1633,117.5,3.2
-130.8,1605,130.5,2.2
-131.1,1602,131.5,3.7
-139.4,1600,132.5,1.1
-138.2,1598,133.5,4.7
-134.9,1594,135.5,1.9
-125.6,1592,136.5,1.1
-130.8,1574,144.5,6
-119.6,1514,172.5,0.2
-116,1422,215.5,5.6
-169.9,1388,253.5,3.4
-162,1352,294.5,4.1
-157.7,1326,324.5,3.6
-147.8,1281,352.5,1.4
-149,1237,381.5,4.2
-153.6,1174,423.5,3
-149.1,1146,441.5,NA
-154.9,1093,476.5,4
-160.9,1050,499.5,1.3
