d18O (permil),year (AD),d13C (permil)
-4.272,1938.292,-2.391
-4.355,1938.375,-2.705
-4.343,1938.458,-2.821
-4.603,1938.542,-3.089
-4.534,1938.625,-3.068
-4.644,1938.708,-3.232
-4.607,1938.792,-3.015
-4.543,1938.875,-2.833
-4.802,1938.958,-3.152
-4.694,1939.042,-2.902
-4.685,1939.125,-2.496
-4.807,1939.208,-2.28
-4.738,1939.292,-1.963
-4.745,1939.375,-2.235
-4.764,1939.458,-2.096
-4.656,1939.542,-2.204
-4.698,1939.625,-2.71
-4.607,1939.708,-2.386
-4.796,1939.792,-2.602
-4.833,1939.875,-2.518
-4.802,1939.958,-2.291
-4.81,1940.042,-2.385
-4.951,1940.125,-2.058
-4.91,1940.208,-1.871
-4.9,1940.292,-1.514
-4.875,1940.375,-1.649
-4.979,1940.458,-1.756
-5.036,1940.542,-2.059
-5.027,1940.625,-2.082
-5.031,1940.708,-2.107
-5.033,1940.792,-1.888
-5.145,1940.875,-2.39
-5.161,1940.958,-1.945
-5.233,1941.042,-2.002
-5.059,1941.125,-2.018
-5.001,1941.208,-1.9
-4.813,1941.292,-1.041
-4.858,1941.375,-1.471
-4.87,1941.458,-1.47
-4.968,1941.542,-1.677
-5.042,1941.625,-1.952
-4.924,1941.708,-2.011
-4.97,1941.792,-1.908
-4.976,1941.875,-2.027
-4.953,1941.958,-1.996
-4.771,1942.042,-1.913
-4.665,1942.125,-2.394
-4.765,1942.208,-2.082
-4.461,1942.292,-1.026
-4.774,1942.375,-1.783
-4.676,1942.458,-1.247
-4.531,1942.542,-1.806
-4.506,1942.625,-2.176
-4.4,1942.708,-2.046
-4.478,1942.792,-2.181
-4.283,1942.875,-2.243
-4.243,1942.958,-2.425
-4.237,1943.042,-2.524
-4.446,1943.125,-2.587
-4.55,1943.208,-2.54
-4.4,1943.292,-2.383
-4.567,1943.375,-1.991
-4.736,1943.458,-2.279
-4.699,1943.542,-2.113
-4.668,1943.625,-2.342
-4.427,1943.708,-2.495
-4.418,1943.792,-2.372
-4.396,1943.875,-2.512
-4.423,1943.958,-2.368
-4.499,1944.042,-2.621
-4.598,1944.125,-2.676
-4.478,1944.208,-2.46
-4.528,1944.292,-1.94
-4.75,1944.375,-2.042
-4.679,1944.458,-2.041
-4.545,1944.542,-2.193
-4.507,1944.625,-2.246
-4.441,1944.708,-2.319
-4.375,1944.792,-2.732
-4.392,1944.875,-2.717
-4.291,1944.958,-2.609
-4.337,1945.042,-2.549
-4.375,1945.125,-2.559
-4.359,1945.208,-2.481
-4.213,1945.292,-1.512
-4.492,1945.375,-2.196
-4.427,1945.458,-2.325
-4.459,1945.542,-2.345
-4.521,1945.625,-2.339
-4.329,1945.708,-2.743
-4.283,1945.792,-2.707
-4.293,1945.875,-3.019
-4.359,1945.958,-2.959
-4.328,1946.042,-3.12
-4.479,1946.125,-2.692
-4.404,1946.208,-2.511
-4.265,1946.292,-1.107
-4.633,1946.375,-2.5
-4.564,1946.458,-2.399
-4.609,1946.542,-2.306
-4.614,1946.625,-2.361
-4.628,1946.708,-2.509
-4.582,1946.792,-2.524
-4.442,1946.875,-2.738
-4.403,1946.958,-2.712
-4.494,1947.042,-2.807
-4.628,1947.125,-3.177
-3.748,1947.208,-2.194
-4.188,1947.292,-1.36
-4.535,1947.375,-2.109
-4.433,1947.458,-2.301
-4.33,1947.542,-2.693
-4.255,1947.625,-2.536
-4.436,1947.708,-2.412
-4.325,1947.792,-2.469
-4.229,1947.875,-2.841
-4.411,1947.958,-2.855
-4.36,1948.042,-2.789
-4.447,1948.125,-2.684
-4.295,1948.208,-2.176
-4.291,1948.292,-1.311
-4.701,1948.375,-2.689
-4.697,1948.458,-2.817
-4.443,1948.542,-2.536
-4.365,1948.625,-2.475
-4.349,1948.708,-2.587
-4.392,1948.792,-2.583
-4.564,1948.875,-2.797
-4.347,1948.958,-2.668
-4.246,1949.042,-2.649
-4.382,1949.125,-2.767
-4.401,1949.208,-2.868
-4.351,1949.292,-1.759
-4.361,1949.375,-2.209
-4.38,1949.458,-2.445
-4.379,1949.542,-2.426
-4.329,1949.625,-2.772
-4.254,1949.708,-2.884
-4.034,1949.792,-2.868
-4.038,1949.875,-2.816
-4.014,1949.958,-3.043
-4.114,1950.042,-2.874
