d18O (permil),year (AD),d18O (permil) [1-2],year (AD) [1-2]
29.2,2004,NA,2004
29.4,2003,28.7,2003
27.1,2002,27.8,2002
26.9,2001,27.8,2001
28.3,2000,27,2000
27.1,1999,27,1999
28.7,1998,28.6,1998
27.6,1997,26.2,1997
28.2,1996,28.3,1996
28.5,1995,27.3,1995
29.3,1994,29,1994
29.1,1993,27.8,1993
28.4,1992,28.4,1992
28.6,1991,27.3,1991
27.8,1990,27.9,1990
27.2,1989,26.9,1989
28.6,1988,28.4,1988
28.9,1987,27.8,1987
28.3,1986,28.4,1986
28.4,1985,28.7,1985
25.4,1984,26,1984
27.8,1983,28.5,1983
26.9,1982,26.6,1982
28.1,1981,25.4,1981
27.4,1980,27.9,1980
25.7,1979,26.1,1979
28.1,1978,27.5,1978
27.9,1977,28,1977
25.4,1976,25.3,1976
28.3,1975,29,1975
25.8,1974,26.7,1974
27.7,1973,28.3,1973
29.1,1972,28.5,1972
27.7,1971,27.5,1971
27.6,1970,27.5,1970
30,1969,28.9,1969
29,1968,28.2,1968
30.4,1967,28.6,1967
28.5,1966,28.3,1966
28.9,1965,25.5,1965
28,1964,27.7,1964
27.3,1963,27.7,1963
26.7,1962,26.7,1962
28,1961,26.4,1961
24.9,1960,25.2,1960
26.1,1959,25.3,1959
25.9,1958,28,1958
27,1957,26.7,1957
27.4,1956,27.3,1956
28.5,1955,28.2,1955
28.6,1954,27.9,1953
29.5,1952,27,1952
26.4,1951,27.9,1951
26.2,1950,26.8,1950
26.4,1949,26.6,1949
28.3,1948,28.4,1948
27.4,1947,27.5,1946
27.6,1945,24.8,1945
27.9,1944,27.8,1937
25.8,1936,25,1935
25.7,1934,27.9,1934
25.6,1933,27.3,1931
28,1930,28.1,1929
26.5,1928,27.3,1928
29,1927,28.1,1927
26.8,1926,26.6,1926
28.4,1925,27.7,1925
29.2,1924,26.6,1924
28.5,1923,27.6,1923
29,1922,29,1921
28.7,1920,27.7,1920
26,1919,25.1,1919
25.8,1918,25.3,1918
27.3,1917,27.8,1916
28.4,1915,28.1,1914
27.5,1913,27.1,1913
26.3,1912,26.6,1912
27.2,1911,28,1911
28.1,1910,27.1,1910
28.1,1909,29.1,1908
29.5,1907,28.3,1907
28.9,1906,28.2,1906
26.8,1905,26.5,1905
27.9,1904,27.2,1904
27.7,1903,27.6,1903
25.1,1902,25.3,1902
31.4,1901,30.8,1901
28.3,1900,26.5,1900
28.4,1899,27.6,1899
29.4,1898,28.7,1897
27.3,1896,26.1,1896
26.1,1895,26.8,1895
25.5,1894,25.6,1894
27.4,1893,26.7,1893
26.5,1892,26.1,1891
29.2,1890,28,1890
26.9,1889,27,1889
27.5,1888,27.1,1888
29.4,1887,27.8,1887
26.8,1886,25.5,1886
27.2,1885,25.5,1885
27.6,1884,27.1,1884
28,1883,27.2,1883
24.5,1882,25.5,1881
27.3,1879,27.1,1880
27.4,1878,28.3,1878
27.1,1877,26.6,1876
27.2,1875,27.3,1874
25.9,1873,26.3,1873
28.4,1872,26.3,1872
26.5,1871,26.5,1869
26.9,1868,27.1,1867
27.7,1866,28.5,1865
