deuteriumExcess (permil),year (AD),depth (m)
14.56,1946.82728,1.65
10.24,1945.61764,2.2
10.92,1944.22985,2.75
10.7,1942.8671200000001,3.3
9.7,1941.43901,3.85
11.3,1940.05216,4.4
9.83,1938.6956,4.95
10.59,1937.3015,5.5
10.75,1935.816,6.05
13.12,1934.3674,6.6
9.8,1932.8957,7.15
10.66,1931.4018,7.7
9.87,1929.9645,8.25
9.66,1928.5191,8.8
10.33,1927.0034,9.35
11.61,1925.4796,9.9
9.59,1923.9554,10.45
10.95,1922.4418,11
11.11,1920.9206,11.55
11.2,1919.4203,12.1
8.17,1917.879,12.65
10.38,1916.2947,13.2
8.22,1914.694,13.75
9.59,1913.0819,14.3
9.65,1911.444,14.85
9.65,1909.7825,15.4
10.39,1908.112,15.95
10.66,1906.4306,16.5
7.72,1904.7187,17.05
11.7,1903.0053,17.6
12.42,1901.3054,18.15
9.1,1899.5181,18.7
11.06,1897.704,19.25
9.8,1895.9472,19.8
9.51,1894.1528,20.35
9.74,1892.3447,20.9
10.27,1883.5797,23.65
11.35,1881.8046,24.2
12.08,1879.954,24.75
9.15,1878.1246,25.3
10.98,1876.1465,25.85
12.26,1874.1769,26.4
11.49,1872.216,26.95
11.73,1870.253,27.5
9.52,1868.3219,28.05
9.58,1866.4326,28.6
11.06,1864.5006,29.15
11.22,1862.6327000000001,29.7
11.62,1860.807,30.25
9.88,1858.9061,30.8
11.18,1856.9435,31.35
9.97,1854.9906,31.9
10.43,1853.0154,32.45
10.98,1851.0135,33
9.87,1848.979,33.55
10.9,1846.97,34.1
9.46,1844.882,34.65
8.76,1842.693,35.2
9.45,1840.482,35.75
9.68,1838.369,36.3
10.95,1836.259,36.85
11.54,1834.183,37.4
13.19,1832.156,37.95
12.27,1830.146,38.5
10.42,1828.061,39.05
11.31,1825.912,39.6
10.81,1823.714,40.15
11.35,1821.445,40.7
10.83,1819.111,41.25
9.33,1816.788,41.8
11.3,1814.49,42.35
10.04,1812.245,42.9
8.62,1810.043,43.45
9.95,1807.837,44
10.59,1805.631,44.55
9.16,1803.405,45.1
9.32,1801.145,45.65
10.96,1798.85,46.2
11.34,1796.489,46.75
11.99,1793.977,47.3
11.06,1791.445,47.85
10.22,1788.974,48.4
11.9,1786.513,48.95
9.79,1784.062,49.5
10.5,1781.692,50.05
11.6,1779.329,50.6
11.02,1776.884,51.15
8.94,1774.36,51.7
12.2,1771.852,52.25
10.2,1769.406,52.8
10.48,1766.922,53.35
11.3,1764.454,53.9
11.96,1762.116,54.45
11.39,1759.78,55
10.84,1757.378,55.55
12.07,1754.975,56.1
11.8,1752.585,56.65
10.4,1750.101,57.2
14.63,1747.578,57.75
12.5,1745.055,58.3
10.35,1742.56,58.85
12.68,1740.022,59.4
9,1737.401,59.95
11.17,1734.728,60.5
12.32,1732.147,61.05
10.06,1729.545,61.6
12.23,1727.007,62.15
11.8,1724.511,62.7
11.18,1722.075,63.25
11.92,1719.592,63.8
11.37,1717.139,64.35
10.76,1714.639,64.9
10.53,1712.115,65.45
11.77,1709.516,66
11.34,1706.851,66.55
10.38,1704.084,67.1
4.92,1701.251,67.65
11.52,1698.472,68.2
11.16,1695.732,68.75
10.31,1692.984,69.3
9.06,1690.244,69.85
11.82,1687.607,70.4
9.9,1684.951,70.95
11.71,1682.293,71.5
11.36,1679.602,72.05
10.95,1676.869,72.6
11.11,1674.048,73.15
9.59,1671.269,73.7
10.22,1668.534,74.25
12.14,1665.861,74.8
11.14,1663.253,75.35
10.01,1660.671,75.9
9.44,1657.955,76.45
11.66,1655.174,77
9.74,1652.303,77.55
11.26,1649.389,78.1
12.09,1646.345,78.65
9.47,1643.383,79.2
10.71,1640.44,79.75
12.5,1637.592,80.3
10.48,1634.774,80.85
10.27,1632.021,81.4
9.73,1629.316,81.95
10.31,1626.592,82.5
8.81,1623.842,83.05
9.44,1621.07,83.6
9.91,1618.338,84.15
9.58,1615.52,84.7
10.69,1612.709,85.25
10.46,1609.892,85.8
9.84,1607.034,86.35
10.98,1604.064,86.9
9.6,1601.041,87.45
11.99,1598.029,88
11.58,1594.985,88.55
10.16,1591.981,89.1
12.07,1588.963,89.65
13.2,1586.056,90.2
11.38,1583.177,90.75
11.53,1580.412,91.3
12.46,1577.678,91.85
10.86,1574.983,92.4
11.18,1572.304,92.95
11.16,1569.582,93.5
10.77,1566.765,94.05
12.12,1563.904,94.6
11.2,1561.038,95.15
11.59,1558.21,95.7
10.68,1555.377,96.25
11.86,1552.515,96.8
11.31,1549.67,97.35
9.21,1546.799,97.9
9.32,1543.82,98.45
12.17,1540.91,99
11.76,1538.054,99.55
11.37,1535.145,100.1
10.94,1532.289,100.65
9.64,1529.443,101.2
10.39,1526.637,101.75
11.82,1523.826,102.3
8.28,1521.03,102.85
12.11,1518.216,103.4
11.7,1515.429,103.95
11.89,1512.524,104.5
11.92,1509.57,105.05
12.68,1506.634,105.6
10.47,1503.701,106.15
10.56,1500.726,106.7
9.31,1497.736,107.25
9.48,1494.884,107.8
9.26,1491.986,108.35
11.66,1489.033,108.9
11.64,1486.065,109.45
11.06,1483.156,110
11.21,1480.106,110.55
10.84,1477.109,111.1
10.74,1474.154,111.65
