dD (permil),year (AD),depth (cm),dDUncertainty (permil),dD (permil)
3,2001,0.5,2.5,-242.1
3,1991,2.5,1.1,-239.3
3,1982,4.5,6.3,-237.5
3,1977,5.5,0.2,-237.3
3,1964,7.5,2.3,-229.6
3,1957,8.5,4.8,-233.2
1,1947,9.5,NA,-231.3
3,1936,10.5,2.2,-234.8
1,1924,11.5,NA,-227
1,1910,12.5,NA,-230.7
1,1897,13.5,NA,-228.6
3,1885,14.5,3.4,-223.9
3,1873,15.5,2.2,-225.1
3,1850,17.5,2.2,-239.3
3,1838,18.5,1.6,-242.6
3,1827,19.5,2.6,-258.3
3,1815,20.5,1.1,-256.1
3,1804,21.5,2.8,-259.7
3,1769,24.5,2.6,-259.1
3,1734,27.5,1.9,-271.2
3,1699,30.5,1.4,-267.5
3,1663,33.5,0.3,-264.2
3,1629,36.5,2,-265.1
3,1595,39.5,1.9,-268.6
3,1536,44.5,0.9,-280.7
3,1476,49.5,0.4,-270.3
3,1417,54.5,1.5,-266.5
3,1358,59.5,1.4,-277.7
3,1296,64.5,0.1,-280.2
3,1207,69.5,0.5,-283.6
3,1128,74.5,3.1,-266.8
3,1039,79.5,1,-254.7
3,951,84,1.7,-249.5
3,900,89,2.8,-255.6
3,849,94,4.3,-257
3,797,99,3.9,-245
