Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1949.2917,-3.616,NA
1949.125,-3.636,NA
1948.9583,-3.62,NA
1948.7917,-3.508,NA
1948.625,-3.5057,NA
1948.4583,-3.51,NA
1948.2917,-3.5757,NA
1948.125,-3.592,NA
1947.9583,-3.555,NA
1947.7917,-3.497,NA
1947.625,-3.59,NA
1947.4583,-3.75,NA
1947.2917,-3.7957,NA
1947.125,-3.806,NA
1946.9583,-3.58,NA
1946.7917,-3.366,NA
1946.625,-3.4936,NA
1946.4583,-3.495,NA
1946.2917,-3.515,NA
1946.125,-3.675,NA
1945.9583,-3.69,NA
1945.7917,-3.475,NA
1945.625,-3.58,NA
1945.4583,-3.83,NA
1945.2917,-3.8043,NA
1945.125,-3.854,NA
1944.9583,-3.79,NA
1944.7917,-3.724,NA
1944.625,-3.7686,NA
1944.4583,-4.02,NA
1944.2917,-3.8814,NA
1944.125,-4.088,NA
1943.9583,-3.95,NA
1943.7917,-3.77,NA
1943.625,-3.7714,NA
1943.4583,-3.76,NA
1943.2917,-3.8414,NA
1943.125,-4.286,NA
1942.9583,-3.97,NA
1942.7917,-3.796,NA
1942.625,-3.7436,NA
1942.4583,-3.76,NA
1942.2917,-3.7657,NA
1942.125,-3.812,NA
1941.9583,-3.795,NA
1941.7917,-3.673,NA
1941.625,-3.7579,NA
1941.4583,-3.785,NA
1941.2917,-3.8836,NA
1941.125,-3.943,NA
1940.9583,-3.765,NA
1940.7917,-3.728,NA
1940.625,-3.78,NA
1940.4583,-3.855,NA
1940.2917,-4.03,NA
1940.125,-4.132,NA
1939.9583,-4.01,NA
1939.7917,-3.61,NA
1939.625,-3.56,NA
1939.4583,-3.64,NA
1939.2917,-3.6729,NA
1939.125,-3.779,NA
1938.9583,-3.825,NA
1938.7917,-3.794,NA
1938.625,-3.8043,NA
1938.4583,-3.81,NA
1938.2917,-3.8543,NA
1938.125,-3.955,NA
1937.9583,-3.705,NA
1937.7917,-3.56,NA
1937.625,-3.6221,NA
1937.4583,-3.555,NA
1937.2917,-3.4686,NA
1937.125,-3.49,NA
1936.9583,-3.25,NA
1936.7917,-3.122,NA
1936.625,-3.0386,NA
1936.4583,-3.2,NA
1936.2917,-3.4871,NA
1936.125,-3.479,NA
1935.9583,-3.35,NA
1935.7917,-3.193,NA
1935.625,-3.3014,NA
1935.4583,-3.39,NA
1935.2917,-3.4857,NA
1935.125,-3.515,NA
1934.9583,-3.08,NA
1934.7917,-3.045,NA
1934.625,-3.0443,NA
1934.4583,-3.14,NA
1934.2917,-3.3943,NA
1934.125,-3.425,NA
1933.9583,-3.325,NA
1933.7917,-3.445,NA
1933.625,-3.4571,NA
1933.4583,-3.42,NA
1933.2917,-3.38,NA
1933.125,-3.474,NA
1932.9583,-3.36,NA
1932.7917,-3.08,NA
1932.625,-3.0864,NA
1932.4583,-3.32,NA
1932.2917,-3.6279,NA
1932.125,-3.86,9.2495
1931.9583,-3.695,9.3605
1931.7917,-3.515,9.2625
1931.625,-3.7143,9.0764
1931.4583,-3.73,9.425
1931.2917,-3.8414,9.5886
1931.125,-3.849,9.4506
1930.9583,-3.945,9.2225
1930.7917,-3.559,9.3606
1930.625,-3.4443,9.368
1930.4583,-3.45,9.432
1930.2917,-3.53,9.432
1930.125,-3.488,9.4074
1929.9583,-3.45,9.117
1929.7917,-3.282,9.2524
1929.625,-3.385,9.068
1929.4583,-3.445,9.206
1929.2917,-3.295,9.225
1929.125,-3.262,9.4294
1928.9583,-3.08,9.4755
1928.7917,-3.087,9.2794
1928.625,-3.1857,9.1019
1928.4583,-3.3,9.251
1928.2917,-3.5943,8.9989
1928.125,-3.88,9.227
1927.9583,-3.485,9.332
1927.7917,-3.365,9.3586
1927.625,-3.3321,9.3572
1927.4583,-3.48,9.3565
1927.2917,-3.5743,9.3558
1927.125,-3.687,9.3299
1926.9583,-3.625,9.362
1926.7917,-3.465,9.2968
1926.625,-3.7671,9.3853
1926.4583,-3.67,9.209
1926.2917,-3.48,9.3004
1926.125,-3.602,9.3248
1925.9583,-3.45,9.392
1925.7917,-3.442,9.384
1925.625,-3.6857,9.3461
1925.4583,-3.8,9.442
1925.2917,-3.6714,9.2901
1925.125,-3.675,9.1575
1924.9583,-3.53,9.208
1924.7917,-3.495,9.178
1924.625,-3.5086,9.2556
1924.4583,-3.67,9.288
1924.2917,-3.4129,9.317
1924.125,-3.54,9.2251
1923.9583,-3.42,9.283
1923.7917,-3.374,9.2888
1923.625,-3.3843,9.3161
1923.4583,-3.49,9.233
1923.2917,-3.5829,9.2574
1923.125,-3.966,9.213
1922.9583,-3.67,9.236
1922.7917,-3.526,9.2536
1922.625,-3.5979,9.3494
1922.4583,-3.58,9.251
1922.2917,-3.4971,9.1739
1922.125,-3.634,NA
1921.9583,-3.19,NA
1921.7917,-3.198,9.3654
1921.625,-3.5629,9.3167
1921.4583,-3.76,9.239
1921.2917,-3.7971,9.3861
1921.125,-3.958,9.2582
1920.9583,-3.69,9.341
1920.7917,-3.5,9.3212
1920.625,-3.4429,9.3947
1920.4583,-3.37,9.268
1920.2917,-3.36,9.3213
1920.125,-3.31,9.4088
1919.9583,-3.38,9.286
1919.7917,-3.232,9.403
1919.625,-3.5457,9.253
1919.4583,-3.58,9.375
1919.2917,-3.7643,9.3453
1919.125,-3.76,9.2858
1918.9583,-3.585,9.349
1918.7917,-3.417,9.4171
1918.625,-3.4543,9.3884
1918.4583,-3.54,9.317
1918.2917,-3.7229,9.337
1918.125,-3.77,9.3766
1917.9583,-3.7,9.219
1917.7917,-3.528,9.2916
1917.625,-3.5657,9.2494
1917.4583,-3.66,9.424
1917.2917,-3.6671,9.2284
1917.125,-3.814,9.2857
1916.9583,-3.635,9.269
1916.7917,-3.346,9.3521
1916.625,-3.4329,9.3068
1916.4583,-3.405,9.3275
1916.2917,-3.6371000000000002,9.2888
1916.125,-3.808,9.294
1915.9583,-3.52,9.34
1915.7917,-3.316,9.369
1915.625,-3.5336,9.3356
1915.4583,-3.38,9.325
1915.2917,-3.5607,9.3441
1915.125,-3.702,9.2792
1914.9583,-3.59,9.252
1914.7917,-3.422,9.2608
1914.625,-3.4143,9.3376
1914.4583,-3.48,9.35
1914.2917,-3.5857,9.3369
1914.125,-3.648,9.2948
