d18O (permil),year (AD),temperature (degC),temperature (degC),depth (cm)
0.98,1950,8.84,8.84,0.5
NA,1942.06,8.6,8.6,1.5
1.3,1934.12,9.32,9.32,2.5
1.35,1926.19,9.99,9.99,3.5
1.12,1918.25,9.78,9.78,4.5
1.48,1910.31,9.88,9.88,5.5
1.31,1902.38,10.06,10.06,6.5
1.29,1894.44,9.73,9.73,7.5
1.17,1886.5,9.98,9.98,8.5
1.39,1878.56,9.36,9.36,9.5
1.3,1870.62,8.43,8.43,10.5
0.79,1862.69,8.37,8.37,11.5
1.08,1854.75,8.37,8.37,12.5
1.44,1846.81,8.38,8.38,13.5
1.56,1838.88,8.29,8.29,14.5
1.44,1830.94,8.81,8.81,15.5
1.55,1823,8.49,8.49,16.5
1.15,1791.23,8.7,8.7,17.5
NA,1759.46,8.52,8.52,18.5
1.5,1727.69,8.58,8.58,19.5
1.5,1695.92,8.87,8.87,20.5
1.52,1664.15,9.04,9.04,21.5
1.4,1632.38,8.82,8.82,22.5
1.52,1600.62,8.47,8.47,23.5
1.55,1568.85,8.74,8.74,24.5
1.45,1537.08,8.85,8.85,25.5
1.65,1505.31,8.9,8.9,26.5
1.27,1473.54,8.94,8.94,27.5
1.73,1441.77,8.83,8.83,28.5
1.22,1410,9.01,9.01,29.5
1.52,1357.05,9.08,9.08,30.5
1.35,1304.1,8.94,8.94,31.5
1.3,1251.15,8.82,8.82,32.5
1.47,1198.2,8.99,8.99,33.5
1.42,1145.25,9.1,9.1,34.5
1.53,1092.3,9,9,35.5
1.3,1039.35,8.85,8.85,36.5
1.38,986.4,9.02,9.02,37.5
1.47,933.45,9.05,9.05,38.5
1.44,880.5,9.02,9.02,39.5
1.51,827.55,8.85,8.85,40.5
1.47,774.6,9.03,9.03,41.5
NA,721.65,9.11,9.11,42.5
NA,668.7,9.13,9.13,43.5
NA,615.75,8.79,8.79,44.5
NA,562.8,9.14,9.14,45.5
NA,509.85,9.16,9.16,46.5
NA,456.9,9.1,9.1,47.5
NA,403.95,9.03,9.03,48.5
NA,351,9.19,9.19,49.5
