thisShouldntBeEmpty (),year (AD),depth (cm),thisShouldntBeEmpty1 ()
-32,1970,NA,-35.76
-30.22,1969,NA,-36.95
-30.84,1968,NA,-36.25
-31.07,1967,NA,-34.18
-29.15,1966,NA,-38.56
-30,1965,NA,-33.94
-31.12,1964,NA,-32.48
-31.56,1963,NA,-34.37
-30.08,1962,NA,-37.67
-31.1,1961,NA,-36.58
-31.7,1960,NA,-33.93
-30.62,1959,NA,-36.31
-33.59,1958,NA,-37.82
-31.85,1957,NA,-36.56
-32.26,1956,NA,-35.57
-30.35,1955,NA,-35.84
-32.1,1954,NA,-36.72
-30.65,1953,NA,-35.45
-30.32,1952,NA,-37.57
-29.29,1951,NA,-37.49
-27.04,1950,NA,-35.9
-34.35,1949,NA,-38.45
-31.24,1948,NA,-34.92
-30.32,1947,NA,-34.76
-31.06,1946,NA,-34.16
-28.4,1945,NA,-37.49
-30.58,1944,NA,-36.06
-32.68,1943,NA,-36.77
-30.57,1942,NA,-33.56
-28.86,1941,NA,-36.26
-30.67,1940,NA,-35.41
-30.7,1939,NA,-34.68
-32.63,1938,NA,-34.77
-30.4,1937,NA,-35.89
-30.61,1936,NA,-38.01
-28.33,1935,NA,-33.77
-28.77,1934,NA,-32.8
-31.34,1933,NA,-35.38
-31.47,1932,NA,-34.88
-28.52,1931,NA,-35.05
-30.31,1930,NA,-37.03
-28.69,1929,NA,-31.62
-28.36,1928,NA,-36.65
-29.6,1927,NA,-37.17
-31.04,1926,NA,-36.21
-31.73,1925,NA,-38.47
-34.92,1924,NA,-38.29
-31.16,1923,NA,-33.22
-31.54,1922,NA,-37.37
-32.91,1921,NA,-36.88
-31.15,1920,NA,-36.77
-31.62,1919,NA,-36.56
-29.78,1918,NA,-37.74
-31.91,1917,NA,-33.49
-29.14,1916,NA,-33.13
-31.72,1915,NA,-37.59
-32,1914,NA,-35.96
-32.46,1913,NA,-36.36
-30.66,1912,NA,-34.22
-29.25,1911,NA,-34.97
-30.18,1910,NA,-37.03
-31.25,1909,NA,-35.1
-30.12,1908,NA,-36.49
-31.76,1907,NA,-36.82
-32.62,1906,NA,-38.13
-32.34,1905,NA,-37.73
-30.45,1904,NA,-39.4
-34.26,1903,NA,-38.75
-31.05,1902,NA,-38.01
-32.27,1901,NA,-36.47
-32.85,1900,NA,-35.76
-30.45,1899,NA,-37.81
-31.61,1898,NA,-36.91
-31.27,1897,NA,-36.5
-31.51,1896,NA,-35.41
-30.66,1895,NA,-36.38
-30.21,1894,NA,-35.73
-29.84,1893,NA,-39.86
-33.31,1892,NA,-36.44
-30.22,1891,NA,-35.93
-31.97,1890,NA,-36.85
-28.56,1889,NA,-36.34
-31.46,1888,NA,-33.27
-31.97,1887,NA,-37.06
-31.21,1886,NA,-37.45
-30.89,1885,NA,-35.35
-29.61,1884,NA,-35.69
-31.59,1883,NA,-37.37
