d18O (permill),year (AD),Sr_Ca (mmol/mol)
-3.612467,2010,9.128812
-3.891475,2009,9.124147
-3.582285,2008,9.120567
-3.677629,2007,9.155937
-3.437583,2006,9.172642
-3.285924,2005,9.164837
-3.594787,2004,9.147843
-3.481179,2003,9.119826
-3.57848,2002,9.157324
-3.795478,2001,9.125593
-3.502487,2000,9.092253
-3.626206,1999,9.046781
-3.703069,1998,9.160466
-3.648385,1997,9.149997
-3.60892,1996,9.062771
-3.582625,1995,9.119855
-3.514622,1994,NA
-3.397793,1993,NA
NA,1992,9.096917
-3.707309,1991,NA
-3.863534,1990,9.138661
-3.245046,1989,9.088288
NA,1988,9.097189
-2.966841,1987,9.083697
-3.203082,1986,9.228245
-3.279618,1985,9.234966
-3.511728,1984,9.168309
-3.620336,1983,9.170166
NA,1982,9.147556
-3.673715,1981,9.117979
-3.636969,1980,9.105296
-3.6623,1979,9.139394
-3.631099,1978,9.093606
-3.657299,1977,9.107618
-3.668606,1976,9.172055
-3.459,1975,9.092054
-3.682413,1974,9.112523
-3.58376,1973,9.145491
-3.388525,1972,9.138357
-3.507814,1971,9.177868
-2.99152,1970,9.173175
NA,1969,9.231278
-3.191775,1968,9.203763
-3.356698,1967,9.204046
-3.212323,1966,9.25689
-3.306036,1965,9.157309
-3.617074,1964,9.184478
-3.426277,1963,9.178167
-3.50988,1962,9.203803
-3.178713,1961,9.182794
-3.364834,1960,9.210649
-3.44892,1959,9.206147
-3.341762,1958,9.209692
-3.453841,1957,NA
-3.197125,1956,9.252142
-2.904926,1955,9.216786
-3.5554230000000002,1954,9.152972
-3.733766,1953,9.196082
-3.532132,1952,9.124199
-3.119899,1951,9.144651
-3.682811,1950,9.194725
-3.583019,1949,9.189106
-3.705172,1948,9.172778
-3.303163,1947,9.18425
-3.615235,1946,9.274121
-3.444984,1945,9.240875
-3.85667,1944,9.266001
-3.370957,1943,9.167062
-3.375003,1942,9.213894
-3.498345,1941,9.209804
-3.579588,1940,9.222148
-3.369754,1939,9.218497
-3.464119,1938,9.244197
-3.370192,1937,9.215548
-3.457121,1936,9.231584
-3.641587,1935,9.239996
-3.419835,1934,9.158368
-3.336513,1933,NA
-3.197863,1932,NA
-3.428035,1931,9.234552
-3.50239,1930,9.217408
-3.449467,1929,9.260837
-3.366255,1928,9.240502
-3.315737,1927,9.207815
-3.642572,1926,9.23853
-3.383532,1925,9.23114
-3.302671,1924,NA
-3.717104,1923,9.184534
NA,1922,9.214307
-3.478881,1921,9.203824
-3.418522,1920,9.2114
-3.475491,1919,9.230285
-3.321642,1918,9.218754
-3.599599,1917,9.2754
-3.217873,1916,9.232359
-2.940076,1915,9.266213
-3.081918,1914,9.267923
NA,1913,9.344201
-3.36208,1912,9.318478
-3.305365,1911,NA
-3.375295,1910,NA
-3.260764,1909,9.212929
-3.220017,1908,9.240593
-3.233342,1907,9.266523
NA,1906,9.281434
-3.176187,1905,9.262177
-3.131916,1904,9.288707
-3.332456,1903,9.281431
-3.342037,1902,NA
NA,1901,9.311944
-3.31021,1900,9.231919
-3.098878,1899,9.264921
-3.049321,1898,9.30589
-3.116388,1897,9.341956
-3.287965,1896,9.297472
-3.259222,1895,9.286947
-3.204819,1894,9.243889
-3.281908,1893,NA
-3.137092,1892,9.270419
-3.18819,1891,9.254477
-3.10945,1890,9.24294
NA,1889,9.245694
NA,1888,9.366802
-3.387409,1887,9.344408
-3.229928,1886,9.307562
-3.232681,1885,9.258697
-3.221779,1884,9.258831
-3.260355,1883,9.225641
-3.461634,1882,9.199814
-3.471105,1881,9.207595
-3.467581,1880,9.173564
-3.367036,1879,9.210051
-3.165835,1878,9.271278
-3.667901,1877,9.229802
-3.554801,1876,9.208426
-3.538282,1875,9.187269
-3.657549,1874,9.178298
-3.529252,1873,9.180232
-3.444895,1872,NA
-3.522267,1871,9.191695
-3.156144,1870,9.221539
-3.649179,1869,NA
NA,1868,9.181197
-3.006592,1867,9.233734
-3.310871,1866,9.237025
-3.276402,1865,9.20044
-3.660743,1864,9.200776
-3.209122,1863,9.21015
-3.208582,1862,9.216209
-3.036766,1861,9.240813
-3.009704,1860,9.246641
-3.20908,1859,9.306769
-3.202595,1858,9.221315
-3.274723,1857,9.198386
-3.056679,1856,9.209348
-2.775135,1855,9.250596
-3.236584,1854,9.375094
-3.177095,1853,9.258292
-3.189651,1852,9.191941
-3.293087,1851,9.213116
-3.119404,1850,9.170892
-2.88908,1849,9.224682
-2.963531,1848,9.238646
