d18O (permil),year (AD),depth (mm),d13C (permil)
-2.95,2003.9,0.1,-7.16
-3.04,2001.9,0.2,-7.12
-3.17,1999.3,0.3,-7.14
-3.17,1996.8,0.4,-7.08
-3.1,1994.3,0.5,-7.04
-3.1,1992.2,0.6,-7.03
-3.09,1990.3,0.7,-6.9
-3.14,1988.3,0.8,-6.88
-3.11,1986.5,0.9,-6.89
-3.12,1984.8,1,-7.36
-3.27,1983.3,1.1,-7.37
-3.25,1982.1,1.2,-7.67
-3.44,1981,1.3,-7.86
-3.2,1979.9,1.4,-8.11
-3.2,1978.8,1.5,-8.11
-3.15,1977.8,1.6,-8.29
-3.09,1976.8,1.7,-8.35
-3.28,1975.7,1.8,-8.35
-3.37,1974.8,1.9,-8.48
-3.28,1973.8,2,-8.44
-3.43,1972.7,2.1,-8.42
-3.33,1971.7,2.2,-8.5
-3.3,1970.9,2.3,-8.52
-3.5,1969.8,2.4,-8.58
-3.4,1968.8,2.5,-8.53
-3.32,1967.7,2.6,-8.56
-3.47,1966.6,2.7,-8.61
-3.39,1965.5,2.8,-8.66
-3.31,1964.8,2.9,-8.55
-3.42,1963.9,3,-8.57
-3.42,1963.2,3.1,-8.58
-3.45,1962.6,3.2,-8.72
-3.38,1961.7,3.3,-8.82
-3.5,1961.1,3.4,-9
-3.44,1960.7,3.5,-9.12
-3.41,1960.2,3.6,-9.26
-3.26,1959.7,3.7,-8.98
-3.25,1958.7,3.8,-8.99
-3.15,1958,3.9,-8.72
-3.33,1957.7,4,-8.72
-3.19,1957,4.1,-8.61
-3.38,1956.7,4.2,-8.55
-3.31,1956.3,4.3,-8.54
-3.44,1955.9,4.4,-8.55
-3.53,1955.6,4.5,-8.5
-3.46,1955.2,4.6,-8.64
-3.48,1954.9,4.7,-8.48
-3.41,1954.4,4.8,-8.36
-3.28,1954.2,4.9,-8.31
-3.28,1953.9,5,-8.55
-3.24,1953.7,5.1,-8.43
-3.28,1953.5,5.2,-8.44
-3.25,1953.3,5.3,-8.48
NA,1953.1,5.4,NA
-3.35,1952.9,5.5,-8.58
-3.39,1952.7,5.6,-8.57
-3.29,1952.6,5.7,-8.48
-3.19,1952.4,5.8,-8.35
-3.35,1952.3,5.9,-8.27
-3.34,1952.2,6,-8.33
-3.13,1952,6.1,-8.17
-3.15,1951.9,6.2,-8.06
-3.36,1951.8,6.3,-7.87
-3.38,1951.7,6.4,-7.84
-3.45,1951.6,6.5,-7.76
