d18O (permil),year (AD),depth (cm),d18OUncertainty (permil)
-2.57,1936,0.5,0.07
-2.42,1916,1.5,NA
-2.55,1906,2,NA
-2.7,1896,2.5,NA
-2.35,1876,3.5,NA
-2.48,1856,4.5,NA
-2.6,1846,5,NA
-2.54,1835,5.5,NA
-2.4,1815,6.5,NA
-2.66,1796,7.5,NA
-2.525,1776,8.5,0.095
-2.38,1756,9.5,NA
-2.51,1746,10,NA
-2.555,1737,10.5,0.025
-2.55,1717,11.5,NA
-2.465,1698,12.5,0.005
-2.56,1679,13.5,NA
-2.625,1661,14.5,0.103
-2.76,1651,15,NA
-2.51,1642,15.5,0.14
-2.335,1624,16.5,0.015
-2.76,1606,17.5,NA
-2.71,1588,18.5,NA
-2.53,1562,20,NA
-2.75,1554,20.5,NA
-2.79,1537,21.5,NA
-2.54,1521,22.5,NA
-2.56,1489,24.5,NA
-2.47,1481,25,NA
-2.44,1458,26.5,NA
-2.67,1443,27.5,NA
-2.73,1429,28.5,NA
-2.83,1414,29.5,NA
-2.57,1400,30.5,NA
-2.71,1386,31.5,NA
-2.98,1372,32.5,0.03
-2.68,1357,33.5,NA
-2.64,1343,34.5,NA
-2.66,1336,35,NA
-2.46,1315,36.5,NA
-2.53,1287,38.5,NA
-2.6,1265,40,NA
-2.66,1258,40.5,NA
-2.54,1243,41.5,NA
-2.335,1228,42.5,0.025
-2.61,1213,43.5,NA
-2.53,1197,44.5,NA
-2.71,1181,45.5,NA
-2.57,1165,46.5,NA
-2.71,1149,47.5,NA
-2.66,1132,48.5,NA
-2.81,1114,49.5,NA
-2.9,1096,50.5,NA
-2.3,1078,51.5,NA
-2.85,1060,52.5,NA
-2.5,1041,53.5,NA
-2.78,1022,54.5,NA
-2.62,1003,55.5,NA
-2.46,983,56.5,NA
-2.56,963,57.5,NA
-2.73,943,58.5,NA
-2.9,922,59.5,NA
-2.78,901,60.5,NA
-2.52,880,61.5,NA
-2.48,859,62.5,NA
-2.45,838,63.5,NA
-2.6,816,64.5,NA
-2.24,794,65.5,NA
-2.61,772,66.5,NA
-2.7,750,67.5,NA
-2.57,728,68.5,NA
-2.39,706,69.5,NA
-2.55,683,70.5,NA
-2.47,661,71.5,NA
-2.59,638,72.5,NA
-2.62,615,73.5,NA
-2.86,593,74.5,NA
-2.86,570,75.5,NA
-2.7,547,76.5,NA
-2.83,524,77.5,NA
-2.58,502,78.5,NA
-2.63,479,79.5,NA
-2.78,433,81.5,NA
-2.57,411,82.5,NA
-2.51,388,83.5,NA
-2.48,366,84.5,NA
-2.9,343,85.5,NA
-2.41,321,86.5,NA
-2.48,299,87.5,NA
-2.53,277,88.5,NA
-2.67,255,89.5,NA
-2.6,233,90.5,NA
-2.38,212,91.5,NA
-2.42,191,92.5,NA
-2.61,169,93.5,NA
-2.62,149,94.5,NA
-2.57,128,95.5,NA
-2.77,108,96.5,NA
-2.47,88,97.5,NA
-2.85,68,98.5,NA
-2.63,48,99.5,NA
-2.59,29,100.5,NA
-2.45,10,101.5,0.14
-2.6,-27,103.5,NA
-2.45,-44,104.5,NA
-2.54,-62,105.5,NA
-2.49,-80,106.5,NA
-2.6,-97,107.5,NA
-2.53,-114,108.5,NA
-2.67,-130,109.5,NA
