d180carbVBDB (permil),year (AD),age (BP),depth (cm),d13CcarbDPDB (permil)
-7.81,2009,-59,0.95,0.89
-5.91,2008.3,-58.3,1.7,3.18
-9.03,2007.8,-57.8,2.2,-0.76
-5.35,2007.4,-57.4000000000001,2.58,3.75
-5.61,2007,-57,2.98,3.87
-5.98,2006.2,-56.2,3.4,3.56
-5.35,2005.4,-55.4000000000001,3.8,4.14
-6.67,2004.4,-54.4000000000001,4.15,2.71
-5.82,2003.2,-53.2,4.45,3.8
-5.88,2002,-52,4.75,3.23
-6.36,2001,-51,5,3.19
-5.4,2000,-50,5.2,3.76
-5.53,1999,-49,5.4,3.68
-5.86,1998,-48,5.6,3.41
-5.6,1996.6,-46.5999999999999,5.88,3.85
-6.58,1995.1,-45.0999999999999,6.18,2.5
-6.63,1994.1,-44.0999999999999,6.38,2.65
-5.78,1993.4,-43.4000000000001,6.53,3.59
-5.31,1992.6,-42.5999999999999,6.68,3.7
-6.66,1991.9,-41.9000000000001,6.83,2.28
-6.64,1991.3,-41.3,6.95,2.52
-6.54,1990.6,-40.5999999999999,7.05,2.27
-5.98,1989.7,-39.7,7.15,2.99
-5.45,1988.8,-38.8,7.25,3.26
-8.81,1987.9,-37.9000000000001,7.35,0.12
-7.7,1987,-37,7.45,2.31
-10.14,1985.6,-35.5999999999999,7.6,-0.42
-6.4,1983.8,-33.8,7.8,2.79
-5.47,1981.6,-31.5999999999999,8.05,3.74
-6.25,1980.7,-30.7,8.15,2.97
-8.15,1979.3,-29.3,8.3,1.07
-7.84,1978,-28,8.45,1.52
-10.1,1976.6,-26.5999999999999,8.6,-0.96
-6.21,1975.3,-25.3,8.75,3.07
-8.65,1974.4,-24.4000000000001,8.85,0.75
-6.52,1973.5,-23.5,8.95,2.57
-7.83,1972.7,-22.7,9.05,1.75
-7.6,1971.6,-21.5999999999999,9.2,1.71
-6.82,1970.6,-20.5999999999999,9.35,2.45
-7.67,1969.9,-19.9000000000001,9.45,1.74
-5.93,1969.2,-19.2,9.55,3.5
-6.66,1968.5,-18.5,9.65,2.58
-9.93,1967.8,-17.8,9.75,-1.83
-5.61,1966.7,-16.7,9.9,3.29
-7.17,1965.3,-15.3,10.05,2.13
-6.51,1963.8,-13.8,10.15,2.64
-5.79,1961.5,-11.5,10.3,3.46
-6.08,1959.3,-9.29999999999995,10.45,2.97
-5.87,1957,-7,10.6,3.14
-5.12,1954.8,-4.79999999999995,10.75,4.26
-8.72,1953.3,-3.29999999999995,10.85,0.47
-5.62,1951.8,-1.79999999999995,10.95,3.36
-8.93,1949.5,0.5,11.1,0.35
-6.68,1947.2,2.79999999999995,11.25,2.21
-7.25,1945,5,11.4,1.8
-4.93,1942.7,7.29999999999995,11.55,3.84
-7.22,1941.2,8.79999999999995,11.65,2.16
-4.96,1939.7,10.3,11.75,4.68
-6.3,1938.2,11.8,11.85,3
-4.91,1936.7,13.3,11.95,4.45
-5.83,1934.7,15.3,12.05,3.56
-4,1932.2,17.8,12.15,4.55
-5.5,1928.5,21.5,12.3,4.11
-5.74,1924.7,25.3,12.45,3.62
-5.91,1921,29,12.6,3.78
-6.12,1916,34,12.8,3.43
-5.44,1912.2,37.8,12.95,4.32
-4.93,1908.5,41.5,13.1,4.69
-5.2,1904.7,45.3,13.25,4.42
-4.83,1902.2,47.8,13.35,4.17
-4.91,1898.5,51.5,13.5,4.13
-4.74,1894.7,55.3,13.65,4.42
-4.44,1892.2,57.8,13.75,4.61
-4.86,1888.5,61.5,13.9,4.33
-4.86,1884.7,65.3,14.1,4.53
-4.7,1882.1,67.9000000000001,14.3,4.46
