d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),d18O (permil)
NA,1950,NA,-9.07,-7.52,-8.04,-9.6
NA,1940,NA,-9.92,-7.57,-7.51,-9.29
NA,1930,NA,-9.78,-7.83,-7.71,-9.06
-8.51,1920,NA,-8.98,-7.48,-7.91,-9.03
-9.14,1910,NA,-9.45,-8.05,-7.62,-9.7
-9.49,1900,NA,-10.41,-7.62,-8.24,-10.42
-9.43,1890,NA,-10.27,-7.7,-7.74,-10.02
-8.85,1880,NA,-9.47,-8.15,-7.5,-9.17
-9.17,1870,NA,-9.8,-10.38,-9.76,-10.35
-8.86,1860,NA,-8.21,-8.53,-8.52,-9.34
-8.93,1850,NA,-7.49,-8.27,-8.36,-8.68
-8.35,1840,NA,-8.01,-9.4,-7.5,-8.42
-8.31,1830,NA,-7.44,-8.91,-8.29,-9.75
-8.29,1820,NA,-7.68,-8.34,-8.19,-10.99
-7.99,1810,NA,-7.57,-9.09,-8.13,-10.68
-7.92,1800,NA,-7.81,-8.23,-7.78,-10.62
-9.16,1790,NA,-9.07,-9,-8.17,-10.86
-10.41,1780,NA,-11.06,-10.22,-10.99,-12.94
-10.17,1770,NA,-8.73,-11.59,-11.5,-12.92
-10.21,1760,NA,-8.83,-11.27,-11.47,-12.62
-11,1750,NA,-9.77,-11.86,-11.62,-13.29
-10.85,1740,NA,-9.71,-11.93,-10.31,-13.47
-10.56,1730,NA,-8.54,-7.19,-7.8,-11.73
-9.57,1720,NA,-8.74,-7.97,-7.75,-10.81
-8.83,1710,NA,-8.46,-7.93,-8.2,-9.85
-8.54,1700,NA,-8.46,-8.77,-8.91,-8.96
-8.15,1690,NA,-8.19,-8.63,-8.44,-8.81
-8.55,1680,NA,-8.32,-8.4,-8.25,-9.27
NA,1670,NA,-8.65,-9.81,-8.58,-10.31
NA,1660,NA,-8.28,-9.3,-8.92,-11.11
NA,1650,NA,-8.06,-7.69,-7.85,-9.85
NA,1640,NA,-7.77,-7.21,-7.38,-9.01
NA,1630,NA,-7.44,-6.66,-8.01,-8.39
NA,1620,NA,-7.61,-7.64,-9.39,-7.93
NA,1610,NA,-7.98,-10.6,-9.9,-8.06
NA,1600,NA,-8.29,-7.15,-8.84,-7.71
NA,1590,NA,-9.69,-8.35,-8.23,-9.11
NA,1580,NA,-10.13,-8.79,-8.53,-9.38
NA,1570,NA,-9.76,-8.66,-8.12,-9.15
NA,1560,NA,-9.76,-7.98,-7.13,-9.05
NA,1550,NA,-9.04,-8.28,-7.22,-8.32
NA,1540,NA,-7.9,-7.86,-7.06,-8.34
NA,1530,NA,-8.25,-7.42,-6.73,-8.49
NA,1520,NA,-8.45,-7.62,-7.46,-8.4
NA,1510,NA,-8.7,-7.45,-8.15,-8.61
NA,1500,NA,-8.82,-8.08,-8.63,-8.74
NA,1490,NA,-9.36,-8.19,-8.88,-9.1
NA,1480,NA,-9.42,-7.31,-7.61,-9.13
NA,1470,NA,-9.86,-7.49,-7.1,-9.1
NA,1460,NA,-10.38,-7.33,-7.79,-9.37
NA,1450,NA,-10.45,-8.94,-8.84,-11.16
NA,1440,NA,-10.25,-9.64,-10.93,-11.75
NA,1430,NA,-10.09,-9.05,-11.07,-11.34
NA,1420,NA,-10,-7.64,-8.88,-9.44
NA,1410,NA,-9.88,-7.42,-6.79,-9.29
NA,1400,NA,-9.08,-7.79,-7.27,-9.05
NA,1390,NA,-9.34,-8.36,-8.36,-9.46
NA,1380,NA,-10.96,-10.27,-9.33,-11.16
NA,1370,NA,-11.72,-11.97,-10.13,-13.02
NA,1360,NA,-11.74,-11.06,-11.39,-13.91
NA,1350,NA,-11.36,-10.71,-11.38,-12.92
NA,1340,NA,-11.44,-10.49,-11.12,-12.14
NA,1330,NA,-11.56,-10.39,-10.74,-12.31
NA,1320,NA,-11.36,-10.73,-10.25,-11.93
NA,1310,NA,-11.05,-10.96,-9.85,-11.99
NA,1300,NA,-11.2,-10.88,-10.13,-12.57
NA,1290,NA,-11.22,-10.78,-9.94,-11.55
NA,1280,NA,-10.3,-9.45,-9.18,-10.97
NA,1270,NA,-9.69,-9.31,-9.44,-9.48
NA,1260,NA,-8.65,-9.99,-10.09,-9.1
NA,1250,NA,-8.39,-11.3,-9.68,-8.9
NA,1240,NA,-8.48,-11.71,-10.9,-9.07
NA,1230,NA,-9.2,-10.41,-10.83,-9.71
NA,1220,NA,-9.69,-9.64,-9.52,-9.64
NA,1210,NA,-9.79,-10.41,-11,-9.98
NA,1200,NA,-9.76,-11.11,-11.03,-10.74
NA,1190,NA,-9.91,-10.79,-10.35,-9.98
NA,1180,NA,-9.92,-10.56,-10.73,-9.69
NA,1170,NA,-9.86,-10.42,-9.37,-9.85
NA,1160,NA,-10.04,-8.31,-7.63,-9.79
NA,1150,NA,-10.12,-8.31,-7.85,-10.08
NA,1140,NA,-9.94,-9.3,-9.01,-10.49
NA,1130,NA,-9.98,-9.4,-9.7,-10.46
