d18O (permil),year (AD),depth (cm),d18O (permil)
-37.15,1970,NA,-29.96
-35.73,1969,NA,-29.42
-39.18,1968,NA,-32.7
-40.27,1967,NA,-32.26
-36.67,1966,NA,-32.19
-34.6,1965,NA,-32.47
-34.64,1964,NA,-31.6
-35.74,1963,NA,-32.89
-37.4,1962,NA,-33.53
-35.3,1961,NA,-32.82
-34.99,1960,NA,-31.91
-35.25,1959,NA,-31.44
-42.46,1958,NA,-33.31
-39.64,1957,NA,-34.53
-36.85,1956,NA,-31.39
-42.2,1955,NA,-34.64
-38.41,1954,NA,-34.93
-35.59,1953,NA,-30.52
-41.72,1952,NA,-29.21
-34.97,1951,NA,-32.54
-37.44,1950,NA,-31.56
-35.73,1949,NA,-30.45
-36.23,1948,NA,-32.62
-34.81,1947,NA,-29.6
-35.73,1946,NA,-33.28
-39.02,1945,NA,-32.84
-37.76,1944,NA,-33.05
-39.6,1943,NA,-31.13
-35.23,1942,NA,-33.63
-37.46,1941,NA,-30.08
-35.21,1940,NA,-29.65
-36.66,1939,NA,-29.01
-36.49,1938,NA,-33.67
-39.33,1937,NA,-30.06
-38.19,1936,NA,-31.07
-38.77,1935,NA,-28.93
-35.17,1934,NA,-27.48
-38.5,1933,NA,-33.89
-36.1,1932,NA,-30.65
-38.68,1931,NA,-29.18
-36.54,1930,NA,-30.09
-34.4,1929,NA,-32.2
-37.37,1928,NA,-33.6
-39.54,1927,NA,-29.73
-35.61,1926,NA,-32.94
-38.83,1925,NA,-28.75
-40.08,1924,NA,-34.04
-35.99,1923,NA,-32.96
-40.81,1922,NA,-33.33
-35.89,1921,NA,-32.66
-39.29,1920,NA,-32.35
-41.56,1919,NA,-32.69
-39.38,1918,NA,-30.02
-36.22,1917,NA,-34.63
-37.63,1916,NA,-29.64
-39.73,1915,NA,-33.54
-39.06,1914,NA,-33.52
-37.13,1913,NA,-30.53
-35.39,1912,NA,-31.83
-37.77,1911,NA,-30.97
-40.16,1910,NA,-32.06
-36.83,1909,NA,-34.13
-38.04,1908,NA,-30.49
-41.49,1907,NA,-34.24
-39.46,1906,NA,-32.26
-39.38,1905,NA,-33.67
-40.25,1904,NA,-32.08
-39.7,1903,NA,-33.46
-38.54,1902,NA,-27.8
-34.03,1901,NA,-30.4
-40.16,1900,NA,-32.78
-39.21,1899,NA,-29.29
-39.92,1898,NA,-30.39
-34.56,1897,NA,-33.36
-36.19,1896,NA,-31.76
-40.23,1895,NA,-27.68
-39.49,1894,NA,-29.44
-36.83,1893,NA,-30.42
-38.04,1892,NA,-34.18
-37.67,1891,NA,-32.82
-39.37,1890,NA,-31.89
-37.94,1889,NA,-29.16
-35.33,1888,NA,-31.85
-37.45,1887,NA,-32.83
-33.99,1886,NA,-32.45
-38.64,1885,NA,-30.94
-39.17,1884,NA,-32.79
-36.63,1883,NA,-32.2
-39.92,1882,NA,-30.34
-36.38,1881,NA,-29.48
-37.53,1880,NA,-30.29
-36.37,1879,NA,-34.91
-38.35,1878,NA,-34.38
-37.72,1877,NA,-33.79
-36.69,1876,NA,-30.59
-37.8,1875,NA,-33.53
-39.31,1874,NA,-33.35
-37.41,1873,NA,-31.24
-36.86,1872,NA,-30.79
-36.71,1871,NA,-29.25
-36.48,1870,NA,-32.72
-37.67,1869,NA,-32.26
-36.76,1868,NA,-32.36
-37,1867,NA,-30.86
-38.3,1866,NA,-31.99
-35.72,1865,NA,-33.03
-38.95,1864,NA,-33.85
-36.96,1863,NA,-34.19
-38.64,1862,NA,-32.3
-38.31,1861,NA,-31.05
-37.7,1860,NA,-31.94
-36.32,1859,NA,-33.12
-38.43,1858,NA,-30.56
-40.51,1857,NA,-31.82
-34.58,1856,NA,-33.81
-36.75,1855,NA,-31.88
-40.01,1854,NA,-33.74
-36.56,1853,NA,-32.58
-39.02,1852,NA,-29.42
-35.82,1851,NA,-32.11
-38.76,1850,NA,-31.71
-40.67,1849,NA,-31.53
-39.16,1848,NA,-34.61
-34.98,1847,NA,-31.54
-38.83,1846,NA,-31
-38.54,1845,NA,-32.53
-38.25,1844,NA,-32.68
-36.01,1843,NA,-34.72
-38.71,1842,NA,-31.35
-38.91,1841,NA,-32.09
-37.2,1840,NA,-33.64
-40.14,1839,NA,-34.27
-37.37,1838,NA,-31.24
-39.22,1837,NA,-31.22
-39.88,1836,NA,-36.38
-40.52,1835,NA,-35.46
-37.05,1834,NA,-32.91
-37.52,1833,NA,-32.55
-38.79,1832,NA,-33.74
-36.37,1831,NA,-30.72
-36.21,1830,NA,-31.16
-36.15,1829,NA,-31.36
-36.11,1828,NA,-32.91
-36.99,1827,NA,-28.53
-39.01,1826,NA,-32.76
-40.44,1825,NA,-31.93
-37.5,1824,NA,-33.21
-38.28,1823,NA,-31.81
-37.16,1822,NA,-27.94
-37.79,1821,NA,-34.22
-37.15,1820,NA,-31.41
-38.79,1819,NA,-31.7
-39.48,1818,NA,-33.36
-40.26,1817,NA,-31.94
-34.43,1816,NA,-30.79
-40.2,1815,NA,-30.99
-37.05,1814,NA,-31.77
-37.09,1813,NA,-33.88
-36.35,1812,NA,-32.78
-38.85,1811,NA,-29.73
-36.04,1810,NA,-31.03
-36.66,1809,NA,-29.34
-36.98,1808,NA,-31.14
-39.4,1807,NA,-31.83
-39.09,1806,NA,-32.93
-36.8,1805,NA,-29.96
-36.55,1804,NA,-33.24
-38.45,1803,NA,-32.64
-40.36,1802,NA,-37.39
-35.87,1801,NA,-34.21
-37.71,1800,NA,-31.81
-39.27,1799,NA,-33.11
-39.11,1798,NA,-33.01
-38.56,1797,NA,-31.6
-35.72,1796,NA,-32.66
-32.43,1795,NA,-31.08
-38.69,1794,NA,-33.04
-36.88,1793,NA,-35.04
-35.23,1792,NA,-31.2
-41.61,1791,NA,-29.35
-38.99,1790,NA,-32.11
-35.39,1789,NA,-31.08
-37.28,1788,NA,-32.34
-34.46,1787,NA,-35.34
-37.89,1786,NA,-30.32
-36.13,1785,NA,-29.69
-34.67,1784,NA,-33.02
-41.88,1783,NA,-30.97
-41.31,1782,NA,-25.63
-38.99,1781,NA,-28.31
