d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1]
-3.22,1920,-3.36,1904
-3.28,1917,-3.67,1901
-2.93,1915,-3.56,1898
-2.76,1911,-3.71,1895
-3.04,1908,-3.28,1892
-2.96,1905,-3.57,1889
-2.85,1902,-3.59,1886
-3.02,1900,-3.41,1883
-3.17,1897,-3.35,1880
-3.24,1894,-3.4,1877
-2.82,1891,-3.66,1874
-3.24,1888,-3.78,1871
-3.13,1885,-3.59,1868
-3.06,1881,-3.42,1865
-2.83,1878,-3.5,1862
-3.18,1875,-3.48,1860
-3.35,1872,-3.32,1857
-3.45,1870,-3.53,1854
-3.24,1868,-3.44,1851
-2.92,1865,-3.49,1848
-3.24,1862,-3.26,1845
-2.95,1859,-3.21,1842
-2.69,1856,-3.33,1839
NA,NA,-3.38,1836
NA,NA,-3.51,1833
