d18O (permil),year (AD),d18O (permil),d18O (permil)
-33.3287332454318,2005,-33.3287332454318,-33.3287332454318
-35.6732429257222,2004,-35.6732429257222,-35.6732429257222
-33.157431127838,2003,-33.157431127838,-33.157431127838
-34.2853975853261,2002,-34.2853975853261,-34.2853975853261
-34.4030784888407,2001,-34.4030784888407,-34.4030784888407
-32.8941728176096,2000,-32.8941728176096,-32.8941728176096
-35.0951081141997,1999,-35.0951081141997,-35.0951081141997
-31.7643686992282,1998,-31.7643686992282,-31.7643686992282
-32.9773277498477,1997,-32.9773277498477,-32.9773277498477
-32.7068366114568,1996,-32.7068366114568,-32.7068366114568
-33.8327036934369,1995,-33.8327036934369,-33.8327036934369
-32.5144714656132,1994,-32.5144714656132,-32.5144714656132
-32.6122156871265,1993,-32.6122156871265,-32.6122156871265
-32.5273188207318,1992,-32.5273188207318,-32.5273188207318
-32.8673780269497,1991,-32.8673780269497,-32.8673780269497
-33.9900843236888,1990,-33.9900843236888,-33.9900843236888
-34.2438379120355,1989,-34.2438379120355,-34.2438379120355
-32.9162235029036,1988,-32.9162235029036,-32.9162235029036
-33.0025220507141,1987,-33.0025220507141,-33.0025220507141
-37.14628661069,1986,-37.14628661069,-37.14628661069
-35.2845548843693,1985,-35.2845548843693,-35.2845548843693
-34.6864060713716,1984,-34.6864060713716,-34.6864060713716
-33.2820385699842,1983,-33.2820385699842,-33.2820385699842
-33.0691689796007,1982,-33.0691689796007,-33.0691689796007
-34.7731101807822,1981,-34.7731101807822,-34.7731101807822
-32.6533362321032,1980,-32.6533362321032,-32.6533362321032
-36.0741940000635,1979,-36.0741940000635,-36.0741940000635
-36.1750535077603,1978,-36.1750535077603,-36.1750535077603
-35.8718667346967,1977,-35.8718667346967,-35.8718667346967
-33.3486978568972,1976,-33.3486978568972,-33.3486978568972
-35.8300007985434,1975,-35.8300007985434,-35.8300007985434
-35.3461489667738,1974,-35.3461489667738,-35.3461489667738
-35.2133158513289,1973,-35.2133158513289,-35.2133158513289
-34.9128244768194,1972,-34.9128244768194,-34.9128244768194
-33.075010720025404,1971,-33.075010720025404,-33.075010720025404
-33.1402593768241,1970,-33.1402593768241,-33.1402593768241
-35.7742063525125,1969,-35.7742063525125,-35.7742063525125
-35.1515328780449,1968,-35.1515328780449,-35.1515328780449
-34.8335208068602,1967,-34.8335208068602,-34.8335208068602
-32.0519633145914,1966,-32.0519633145914,-32.0519633145914
-33.4918303094355,1965,-33.4918303094355,-33.4918303094355
-33.8164390835017,1964,-33.8164390835017,-33.8164390835017
-35.2887886983033,1963,-35.2887886983033,-35.2887886983033
-35.7231793422888,1962,-35.7231793422888,-35.7231793422888
-33.520176517568,1961,-33.520176517568,-33.520176517568
-34.4439449985759,1960,-34.4439449985759,-34.4439449985759
-34.5361065627977,1959,-34.5361065627977,-34.5361065627977
-36.6784907140069,1958,-36.6784907140069,-36.6784907140069
-32.8876206398753,1957,-32.8876206398753,-32.8876206398753
-34.4578231433896,1956,-34.4578231433896,-34.4578231433896
-34.0716516864676,1955,-34.0716516864676,-34.0716516864676
-33.6196484747967,1954,-33.6196484747967,-33.6196484747967
-34.4985074272416,1953,-34.4985074272416,-34.4985074272416
-33.2588443996796,1952,-33.2588443996796,-33.2588443996796
-34.03860136214,1951,-34.03860136214,-34.03860136214
-34.5100961455991,1950,-34.5100961455991,-34.5100961455991
-33.2466780249922,1949,-33.2466780249922,-33.2466780249922
-34.9368667237369,1948,-34.9368667237369,-34.9368667237369
-35.1963838784403,1947,-35.1963838784403,-35.1963838784403
-33.0785480215648,1946,-33.0785480215648,-33.0785480215648
-33.9693687818564,1945,-33.9693687818564,-33.9693687818564
-33.5028453341727,1944,-33.5028453341727,-33.5028453341727
-33.9284255030709,1943,-33.9284255030709,-33.9284255030709
-35.2090921575011,1942,-35.2090921575011,-35.2090921575011
-33.7068743157994,1941,-33.7068743157994,-33.7068743157994
-31.0914818681664,1940,-31.0914818681664,-31.0914818681664
-33.7697088609252,1939,-33.7697088609252,-33.7697088609252
-33.6282830111764,1938,-33.6282830111764,-33.6282830111764
-34.3758082179419,1937,-34.3758082179419,-34.3758082179419
-34.680678417325304,1936,-34.680678417325304,-34.680678417325304
-34.3250077045576,1935,-34.3250077045576,-34.3250077045576
-34.670585987532,1934,-34.670585987532,-34.670585987532
-33.8114136640212,1933,-33.8114136640212,-33.8114136640212
