Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),d18O (per mil),Mg_Ca (mmol/mol) [2-1],year (AD) [2-1],depth (cm) [2-1],temperature (degC) [2-1],dD (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
3.43,1590,14.5,25.26,-0.28,-2.37,3.43,1590,14.5,25.26,-209.6,1710,10
3.53,1550,16.5,25.56,-0.32,-2.48,3.53,1550,16.5,25.56,-204.6,1480,20
3.68,1520,18.5,26.02,0.1,-2.15,3.68,1520,18.5,26.02,-200.3,950,50
3.68,1480,20.5,26.03,-0.04,-2.29,3.68,1480,20.5,26.03,-200.7,780,60
3.29,1440,22.5,24.79,-0.48,-2.47,3.29,1440,22.5,24.79,-202,440,80
3.38,1410,24.5,25.08,-0.14,-2.19,3.38,1410,24.5,25.08,-198.6,-60,110
3.45,1370,26.5,25.31,-0.25,-2.36,3.45,1370,26.5,25.31,-203.5,-390,130
3.55,1340,28.5,25.63,-0.13,-2.3,3.55,1340,28.5,25.63,-196,-720,150
3.65,1300,30.5,25.95,-0.04,-2.28,3.65,1300,30.5,25.95,-198.5,-890,160
3.46,1270,32.5,25.36,-0.03,-2.15,3.46,1270,32.5,25.36,-196.6,-1220,180
3.43,1230,34.5,25.23,-0.23,-2.32,3.43,1230,34.5,25.23,-201.3,-1550,200
3.55,1200,36.5,25.63,-0.05,-2.22,3.55,1200,36.5,25.63,-199.6,-1721,210
3.23,1160,38.5,24.57,-0.34,-2.28,3.23,1160,38.5,24.57,-197.8,-2061,230
3.69,1130,40.5,26.07,-0.08,-2.34,3.69,1130,40.5,26.07,-199,-2406,250
3.59,1090,42.5,25.76,-0.15,-2.35,3.59,1090,42.5,25.76,-200.4,-2582,260
3.5,1060,44.5,25.47,-0.1,-2.23,3.5,1060,44.5,25.47,-202.5,-3120,290
3.69,1020,46.5,26.06,0,-2.26,3.69,1020,46.5,26.06,-200.4,-3681,320
3.53,990,48.5,25.57,-0.09,-2.24,3.53,990,48.5,25.57,-203.8,-4069,340
3.51,950,50.5,25.49,-0.04,-2.18,3.51,950,50.5,25.49,-196.5,-4470,360
3.61,920,52.5,25.8,-0.14,-2.34,3.61,920,52.5,25.8,-201.5,-4886,380
3.54,880,54.5,25.6,-0.18,-2.34,3.54,880,54.5,25.6,-201.5,-5318,400
3.45,850,56.5,25.31,-0.21,-2.31,3.45,850,56.5,25.31,-201.1,-5540,410
3.68,820,58.5,26.04,-0.02,-2.28,3.68,820,58.5,26.04,-204.4,-5998,430
3.45,780,60.5,25.31,-0.17,-2.28,3.45,780,60.5,25.31,-204.5,-6476,450
3.63,750,62.5,25.89,-0.01,-2.24,3.63,750,62.5,25.89,-208.1,-6722,460
3.62,710,64.5,25.85,0,-2.22,3.62,710,64.5,25.85,-198.7,-7494,490
3.74,680,66.5,26.22,-0.11,-2.4,3.74,680,66.5,26.22,-202.7,-8037,510
3.45,640,68.5,25.3,-0.23,-2.33,3.45,640,68.5,25.3,-207.7,-8320,520
3.52,610,70.5,25.54,0.03,-2.12,3.52,610,70.5,25.54,NA,NA,NA
3.62,580,72.5,25.85,-0.01,-2.23,3.62,580,72.5,25.85,NA,NA,NA
3.78,540,74.5,26.33,0.29,-2.03,3.78,540,74.5,26.33,NA,NA,NA
3.88,510,76.5,26.62,0.2,-2.18,3.88,510,76.5,26.62,NA,NA,NA
3.73,480,78.5,26.19,0.1,-2.19,3.73,480,78.5,26.19,NA,NA,NA
3.82,440,80.5,26.43,0.05,-2.29,3.82,440,80.5,26.43,NA,NA,NA
4.09,410,82.5,27.2,0.16,-2.33,4.09,410,82.5,27.2,NA,NA,NA
3.44,370,84.5,25.27,-0.21,-2.3,3.44,370,84.5,25.27,NA,NA,NA
3.95,340,86.5,26.82,-0.01,-2.42,3.95,340,86.5,26.82,NA,NA,NA
3.88,310,88.5,26.62,0.13,-2.24,3.88,310,88.5,26.62,NA,NA,NA
3.81,270,90.5,26.41,-0.05,-2.38,3.81,270,90.5,26.41,NA,NA,NA
NA,240,92.5,NA,NA,-2.3,NA,240,92.5,NA,NA,NA,NA
3.68,210,94.5,26.02,-0.06,-2.31,3.68,210,94.5,26.02,NA,NA,NA
3.64,170,96.5,25.91,-0.03,-2.26,3.64,170,96.5,25.91,NA,NA,NA
3.72,140,98.5,26.15,0.33,-1.95,3.72,140,98.5,26.15,NA,NA,NA
3.72,110,100.5,26.16,0.19,-2.09,3.72,110,100.5,26.16,NA,NA,NA
3.91,70,102.5,26.71,0.18,-2.21,3.91,70,102.5,26.71,NA,NA,NA
3.75,40,104.5,26.24,0.02,-2.28,3.75,40,104.5,26.24,NA,NA,NA
3.6,10,106.5,25.79,0,-2.2,3.6,10,106.5,25.79,NA,NA,NA
3.68,-30,108.5,26.03,-0.1,-2.35,3.68,-30,108.5,26.03,NA,NA,NA
3.78,-60,110.5,26.34,0.06,-2.26,NA,NA,NA,NA,NA,NA,NA
3.98,-90,112.5,26.9,0.2,-2.23,NA,NA,NA,NA,NA,NA,NA
4.03,-130,114.5,27.03,0.09,-2.37,NA,NA,NA,NA,NA,NA,NA
3.9,-160,116.5,26.67,0.04,-2.34,NA,NA,NA,NA,NA,NA,NA
3.87,-190,118.5,26.58,0.23,-2.14,NA,NA,NA,NA,NA,NA,NA
4.21,-230,120.5,27.52,0.31,-2.25,NA,NA,NA,NA,NA,NA,NA
3.91,-260,122.5,26.71,0,-2.39,NA,NA,NA,NA,NA,NA,NA
3.82,-290,124.5,26.45,-0.04,-2.38,NA,NA,NA,NA,NA,NA,NA
3.94,-330,126.5,26.78,0.11,-2.3,NA,NA,NA,NA,NA,NA,NA
3.74,-360,128.5,26.2,0.09,-2.2,NA,NA,NA,NA,NA,NA,NA
4.01,-390,130.5,26.99,0.26,-2.19,NA,NA,NA,NA,NA,NA,NA
3.39,-430,132.5,25.12,-0.62,-2.68,NA,NA,NA,NA,NA,NA,NA
3.56,-460,134.5,25.67,-0.23,-2.41,NA,NA,NA,NA,NA,NA,NA
3.77,-490,136.5,26.29,0.11,-2.2,NA,NA,NA,NA,NA,NA,NA
3.71,-520,138.5,26.13,-0.03,-2.3,NA,NA,NA,NA,NA,NA,NA
3.53,-560,140.5,25.57,0.03,-2.13,NA,NA,NA,NA,NA,NA,NA
3.79,-590,142.5,26.36,0.19,-2.13,NA,NA,NA,NA,NA,NA,NA
3.77,-620,144.5,26.3,0.12,-2.19,NA,NA,NA,NA,NA,NA,NA
3.69,-660,146.5,26.07,-0.24,-2.5,NA,NA,NA,NA,NA,NA,NA
4.28,-690,148.5,27.7,0.21,-2.39,NA,NA,NA,NA,NA,NA,NA
4.25,-720,150.5,27.63,0.28,-2.3,NA,NA,NA,NA,NA,NA,NA
3.47,-760,152.5,25.38,-0.11,-2.22,NA,NA,NA,NA,NA,NA,NA
3.62,-790,154.5,25.86,-0.15,-2.37,NA,NA,NA,NA,NA,NA,NA
3.29,-820,156.5,24.77,-0.24,-2.23,NA,NA,NA,NA,NA,NA,NA
3.84,-850,158.5,26.49,0.15,-2.2,NA,NA,NA,NA,NA,NA,NA
3.81,-890,160.5,26.41,-0.13,-2.46,NA,NA,NA,NA,NA,NA,NA
3.81,-920,162.5,26.43,-0.01,-2.34,NA,NA,NA,NA,NA,NA,NA
4.33,-950,164.5,27.82,0.27,-2.35,NA,NA,NA,NA,NA,NA,NA
3.88,-990,166.5,26.62,0.02,-2.36,NA,NA,NA,NA,NA,NA,NA
3.83,-1020,168.5,26.46,-0.41,-2.75,NA,NA,NA,NA,NA,NA,NA
3.56,-1050,170.5,25.67,-0.19,-2.37,NA,NA,NA,NA,NA,NA,NA
3.82,-1090,172.5,26.45,-0.05,-2.39,NA,NA,NA,NA,NA,NA,NA
3.81,-1120,174.5,26.42,0.1,-2.23,NA,NA,NA,NA,NA,NA,NA
3.6,-1150,176.5,25.77,-0.08,-2.28,NA,NA,NA,NA,NA,NA,NA
3.67,-1190,178.5,25.99,-0.38,-2.62,NA,NA,NA,NA,NA,NA,NA
3.75,-1220,180.5,26.24,0.07,-2.22,NA,NA,NA,NA,NA,NA,NA
3.87,-1250,182.5,26.58,0.24,-2.13,NA,NA,NA,NA,NA,NA,NA
3.83,-1290,184.5,26.47,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.65,-1320,186.5,25.94,0.03,-2.2,NA,NA,NA,NA,NA,NA,NA
3.87,-1350,188.5,26.58,-0.02,-2.39,NA,NA,NA,NA,NA,NA,NA
3.79,-1390,190.5,26.35,-0.07,-2.39,NA,NA,NA,NA,NA,NA,NA
3.62,-1420,192.5,25.85,-0.28,-2.49,NA,NA,NA,NA,NA,NA,NA
3.73,-1450,194.5,26.18,NA,NA,NA,NA,NA,NA,NA,NA,NA
