d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),d18O (permil),Mg_Ca (mmol/mol),temperature (degC)
1.835504,1914.65,0.25,0.82,2.53,0.07,0.91,5.96,2.469672,1.469272,7.505067
1.763441,1897.45,0.75,1.03,2.62,0.14,0.9,5.87,2.51351,1.557671,8.226358
1.836459,1883.32,1.25,0.88,2.71,0.15,0.87,5.57,2.580802,1.445251,7.30156
1.767517,1869.13,1.75,0.64,2.72,0.1,0.85,5.36,2.665768,1.29383,5.935194
1.988177,1855.27,2.25,0.56,2.61,0.18,0.92,6.06,2.554209,1.306468,6.055192
1.767163,1841.08,2.75,0.64,2.58,0.33,0.98,6.76,2.714173,1.271109,5.716461
1.485176,1826.98,3.25,0.7,2.51,-0.1,0.86,5.38,2.485006,1.403039,6.93561
1.847135,1812.92,3.75,0.45,2.57,0.05,0.89,5.73,2.46756,1.294191,5.938634
1.555547,1798.92,4.25,1.07,2.57,0.04,0.88,5.69,2.754446,1.451903,7.358251
1.750681,1785.29,4.75,0.53,2.6,0.05,0.88,5.6,2.624472,1.262326,5.630863
1.683083,1771.36,5.25,0.92,2.57,0.03,0.88,5.64,2.58604,1.465262,7.471329
1.855086,1757.23,5.75,0.75,2.57,-0.04,0.86,5.39,2.611761,1.367829,6.621832
1.710802,1743.38,6.25,0.46,2.52,-0.11,0.85,5.32,2.522113,1.275054,5.75472
1.729912,1729.32,6.75,0.83,2.48,-0.18,0.84,5.18,2.570477,1.42736,7.14778
NA,1715.26,7.25,0.65,2.52,-0.15,0.84,5.16,2.392109,1.425978,7.135817
1.569164,1701.13,7.75,0.77,2.5,-0.04,0.88,5.66,2.346535,1.508088,7.826992
1.741503,1687.32,8.25,0.99,2.47,-0.21,0.83,5.11,2.556913,1.512541,7.863388
1.446979,1673.3,8.75,0.52,2.61,-0.02,0.85,5.3,2.590154,1.274939,5.753608
1.975945,1659.17,9.25,0.64,2.6,-0.11,0.82,5,2.582225,1.329754,6.273304
1.686394,1645.07,9.75,0.74,2.6,-0.03,0.85,5.3,2.582611,1.375177,6.687972
1.76238,1631.02,10.25,0.94,2.53,-0.1,0.85,5.31,2.610241,1.46275,7.450146
1.615674,1617.31,10.75,0.87,2.52,0,0.89,5.73,2.444348,1.510335,7.845368
NA,1603.21,11.25,0.45,2.61,-0.16,0.8,4.76,2.722869,1.187584,4.877339
1.674448,1589.36,11.75,NA,2.58,0.22,0.94,6.36,NA,NA,NA
NA,1582.435,12,0.67,NA,NA,NA,NA,2.566333,1.351875,6.476984
