d18O (permil),year (AD),depth (cm),d13C (permil)
-7.96,2002,0,-12.36
-7.95,2001,0.08,-12.76
-7.86,2000,0.17,-12.21
-7.92,1999,0.25,-12.42
-8.11,1998,0.33,-12.57
-7.95,1997,0.42,-12.55
-7.87,1996,0.5,-12.62
-8.08,1995,0.58,-12.4
-7.92,1994,0.67,-12.34
-7.84,1993,0.75,-12.26
-7.91,1992,0.83,-12.48
-7.9,1991,0.92,-12.36
-7.89,1990,1,-12.38
-7.48,1989,1.06,-10.78
-7.37,1988,1.11,-10.99
-7.43,1987,1.17,-10.81
-7.45,1986,1.22,-10.99
-7.44,1985,1.28,-11.13
-7.39,1984,1.33,-11.08
-7.46,1983,1.39,-11.11
-7.76,1982,1.44,-11.71
-7.85,1981,1.5,-11.99
-7.95,1980,1.56,-12.07
-8.07,1979,1.61,-12.19
-8.11,1978,1.67,-12.27
-8.3,1977,1.72,-12.45
-8.36,1976,1.78,-12.6
-8.52,1975,1.83,-12.63
-8.42,1974,1.89,-12.32
-8.23,1973,1.94,-12.3
-8.25,1972,2,-12.4
-8.47,1971,2.06,-12.63
-8.48,1970,2.11,-12.5
-8.46,1969,2.17,-12.64
-8.39,1968,2.22,-12.59
-8.35,1967,2.28,-12.58
-8.23,1966,2.33,-12.68
-8.23,1965,2.39,-12.45
-8.26,1964,2.44,-12.31
-8.31,1963,2.5,-12.48
-8.15,1962,2.56,-12.24
-8.11,1961,2.61,-12.02
-8.19,1960,2.67,-11.88
-8.44,1959,2.72,-12.02
-8,1958,2.78,-11.55
-8.14,1957,2.83,-11.8
-8.24,1956,2.89,-11.88
-8.08,1955,2.94,-11.79
-8.29,1954,3,-11.93
-8.21,1953,3.05,-11.09
-8.26,1952,3.11,-11.82
-7.98,1951,3.16,-11.8
-7.91,1950,3.21,-11.85
-8.24,1949,3.26,-12.27
-8.16,1948,3.32,-12.18
-8.21,1947,3.37,-12.32
-8.05,1946,3.42,-12.16
-8.14,1945,3.47,-12.13
-8.19,1944,3.53,-12.16
-8.14,1943,3.58,-12.17
-8.06,1942,3.63,-12.05
-8.01,1941,3.68,-12.08
-8.2,1940,3.74,-12.29
-8.09,1939,3.79,-12.18
-8.21,1938,3.84,-12.19
-8.39,1937,3.89,-12.17
-8.53,1936,3.95,-12.23
-8.53,1935,4,-12.33
-8.59,1934,4.06,-11.96
-8.6,1933,4.13,-12.18
-8.82,1932,4.19,-12.37
-8.78,1931,4.25,-12.22
-8.84,1930,4.31,-12.22
-8.79,1929,4.38,-12.15
-9.02,1928,4.44,-12.67
-8.89,1927,4.5,-12.54
-9.06,1926,4.56,-12.91
-9.01,1925,4.63,-12.72
-8.82,1924,4.69,-12.68
-9.26,1923,4.75,-12.72
-8.8,1922,4.81,-12.9
-8.84,1921,4.88,-12.69
-8.9,1920,4.94,-12.56
-8.96,1919,5,-12.48
-8.77,1918,5.05,-12.19
-8.54,1917,5.1,-11.8
-9.05,1916,5.15,-12.41
-8.98,1915,5.2,-12.1
-8.92,1914,5.25,-11.93
-8.75,1913,5.3,-11.59
-8.67,1912,5.35,-11.39
-8.57,1911,5.4,-11.14
-8.64,1910,5.45,-11.52
-8.46,1909,5.5,-11.61
-8.51,1908,5.55,-11.59
-8.66,1907,5.6,-11.85
-8.71,1906,5.65,-11.87
-8.52,1905,5.7,-11.68
-8.55,1904,5.75,-11.82
-8.39,1903,5.8,-11.43
-8.12,1902,5.85,-10.98
-7.89,1900,5.9,-10.77
-8.13,1898,5.95,-10.89
-8.25,1896,6,-11.23
-8.26,1894,6.05,-11.27
-8.28,1893,6.1,-11.43
-8.13,1891,6.14,-11.59
-8.31,1889,6.19,-11.73
-8.2,1887,6.24,-11.22
-8.25,1885,6.29,-11.13
-8.28,1883,6.33,-11.22
-8.19,1882,6.38,-10.88
-8.27,1880,6.43,-11.03
-8.67,1878,6.48,-10.73
-8.31,1876,6.52,-11.13
-8.13,1874,6.57,-11.07
-8.26,1873,6.62,-10.97
-8.43,1871,6.67,-11.03
-8.59,1869,6.71,-11.21
-8.67,1867,6.76,-11.53
-8.57,1865,6.81,-11.36
-8.64,1863,6.86,-10.9
-8.22,1862,6.9,-10.54
-8.38,1860,6.95,-10.6
-8.64,1858,7,-11.54
-8.45,1854,7.1,-11.15
-8.39,1847,7.3,-10.99
-8.72,1839,7.49,-11.29
-8.7,1824,7.89,-10.85
-8.43,1816,8.09,-10.4
-8.45,1809,8.29,-10.44
-8.6,1801,8.48,-11.09
-8.8,1794,8.68,-11.1
-8.95,1786,8.88,-11.02
-9.08,1778,9.08,-11.31
-9.19,1771,9.27,-11.25
-8.93,1763,9.47,-11.77
-8.84,1759,9.59,-11.44
-8.75,1754,9.72,-11.77
-8.38,1749,9.84,-11.71
-8.3,1745,9.96,-11.72
-8.54,1740,10.08,-11.59
-8.41,1735,10.2,-11.99
-8.32,1731,10.33,-12.11
-8.16,1726,10.45,-12.1
-8.12,1721,10.57,-12.06
-8.31,1716,10.69,-11.65
-7.89,1712,10.81,-12.07
-8.16,1707,10.94,-12.09
-8.15,1702,11.06,-11.78
-8.15,1698,11.18,-11.8
-8.3,1693,11.3,-11.54
-8.03,1688,11.42,-11.51
-7.68,1684,11.55,-11.22
-7.99,1679,11.67,-11.67
-7.91,1674,11.79,-11.74
-7.4,1670,11.91,-11.19
-7.71,1665,12.03,-11.32
-8,1660,12.16,-11.5
-7.63,1656,12.28,-10.44
-7.84,1651,12.4,-10.68
-7.86,1646,12.52,-11.54
-8.12,1642,12.64,-11.16
-7.78,1637,12.77,-10.67
-7.95,1632,12.89,-10.87
-8.37,1628,13.01,-11.1
-8.17,1625,13.13,-11.11
-7.98,1623,13.25,-10.73
-8.12,1621,13.37,-11.63
-8.3,1619,13.5,-11.87
-8.31,1617,13.62,-11.72
-8.65,1615,13.74,-11.83
-8.21,1612,13.86,-12.35
-7.98,1610,13.98,-12.21
-8.02,1608,14.11,-12.13
-8.23,1606,14.23,-12.29
-7.82,1604,14.35,-10.87
-8.06,1601,14.47,-11.83
-7.96,1599,14.59,-11.69
-7.81,1597,14.72,-11.38
-7.57,1595,14.84,-10.02
-7.71,1593,14.96,-10.38
-8,1590,15.08,-10.18
-7.73,1588,15.2,-10.51
-8.42,1586,15.33,-10.61
-8.48,1584,15.45,-10.92
-7.95,1582,15.57,-10.41
-8.03,1579,15.69,-10.21
-8.48,1577,15.81,-10.41
-8.01,1575,15.94,-9.95
-7.94,1573,16.06,-9.86
-8.03,1571,16.18,-10.17
-7.63,1568,16.3,-11
-8.02,1566,16.42,-11.16
