d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1],d18O (permil) [2-1]
0.39,1998.21,8.96,1998.29,-5.41
0.35,1998.13,8.9,1998.21,-5.47
0.35,1998.04,8.91,1998.13,-5.49
0.35,1997.96,8.94,1998.04,-5.43
0.36,1997.88,8.92,1997.96,-5.48
0.22,1997.79,8.89,1997.88,-5.53
0.33,1997.71,8.87,1997.79,-5.71
0.38,1997.63,8.81,1997.71,-5.75
0.47,1997.54,8.83,1997.63,-5.66
0.43,1997.46,8.84,1997.54,-5.54
0.4,1997.38,8.89,1997.46,-5.45
0.46,1997.29,8.92,1997.38,-5.41
0.71,1997.21,8.93,1997.29,-5.33
0.5,1997.13,8.91,1997.21,-5.13
0.48,1997.04,8.97,1997.13,-5.2
0.39,1996.96,8.98,1997.04,-5.19
0.5,1996.88,9.01,1996.96,-5.21
0.55,1996.79,8.97,1996.88,-5.2
0.48,1996.71,8.92,1996.79,-5.27
0.53,1996.63,8.92,1996.71,-5.35
0.49,1996.54,8.9,1996.63,-5.34
0.49,1996.46,8.92,1996.54,-5.33
0.52,1996.38,8.89,1996.46,-5.39
0.63,1996.29,8.9,1996.38,-5.34
0.61,1996.21,8.96,1996.29,-5.1
0.61,1996.13,8.94,1996.21,-5.17
0.51,1996.04,8.99,1996.13,-5.04
0.73,1995.96,9.04,1996.04,-5.03
0.51,1995.88,8.98,1995.96,-4.95
0.6,1995.79,9.05,1995.88,-5
0.71,1995.71,9,1995.79,-5.03
0.7,1995.63,8.95,1995.71,-5.03
0.68,1995.54,8.88,1995.63,-5.2
0.53,1995.46,8.87,1995.54,-5.26
0.39,1995.38,8.91,1995.46,-5.3
0.63,1995.29,8.95,1995.38,-5.36
0.48,1995.21,8.93,1995.29,-5.16
0.57,1995.13,8.94,1995.21,-5.29
0.53,1995.04,8.94,1995.13,-5.21
0.45,1994.96,8.89,1995.04,-5.37
0.42,1994.88,8.83,1994.96,-5.58
0.37,1994.79,8.82,1994.88,-5.63
0.4,1994.71,8.82,1994.79,-5.68
0.44,1994.63,8.88,1994.71,-5.51
0.36,1994.54,8.86,1994.63,-5.52
0.48,1994.46,8.87,1994.54,-5.58
0.61,1994.38,8.9,1994.46,-5.38
0.72,1994.29,8.91,1994.38,-5.23
0.78,1994.21,8.93,1994.29,-5.08
0.77,1994.13,8.91,1994.21,-5.07
0.72,1994.04,8.87,1994.13,-5.16
0.41,1993.96,8.87,1994.04,-5.21
0.27,1993.88,8.92,1993.96,-5.41
0.35,1993.79,8.97,1993.88,-5.42
0.2,1993.71,8.9,1993.79,-5.52
0.32,1993.63,8.9,1993.71,-5.66
0.42,1993.54,8.9,1993.63,-5.55
0.6,1993.46,8.94,1993.54,-5.36
0.64,1993.38,8.93,1993.46,-5.19
0.56,1993.29,8.95,1993.38,-5.11
0.56,1993.21,8.99,1993.29,-5.09
0.62,1993.13,8.99,1993.21,-5.08
0.52,1993.04,8.93,1993.13,-5.17
0.67,1992.96,8.9,1993.04,-5.34
0.55,1992.88,8.91,1992.96,-5.17
0.59,1992.79,8.9,1992.88,-5.32
0.66,1992.71,8.9,1992.79,-5.28
0.5,1992.63,8.89,1992.71,-5.23
