d18O (permil),year (AD),Sr_Ca (mmol/mol)
-4.88,1988,8.8996
-4.78,1983,8.9243
-4.83,1978,8.9043
-4.91,1973,8.9658
-4.75,1968,8.9808
-4.69,1963,8.9596
-4.66,1958,8.9563
-4.65,1953,8.9604
-4.78,1948,8.9458
-4.79,1943,8.942
-4.79,1938,8.9599
-4.53,1933,8.9391
-4.63,1928,8.9788
-4.68,1923,8.9971
-4.56,1918,8.954
-4.56,1913,8.9584
-4.74,1908,8.9736
-4.63,1903,8.9352
-4.69,1898,8.9674
-4.77,1893,8.9733
-4.68,1888,8.9356
-4.74,1883,8.9947
-4.79,1878,8.9442
-4.81,1873,8.951
-4.73,1868,8.9542
-4.72,1863,8.9749
-4.74,1858,8.9902
-4.57,1853,9.0111
-4.7,1848,8.9831
-4.59,1843,9.0437
-4.61,1838,8.9768
-4.61,1833,9.0055
-4.74,1828,9.0062
-4.7,1823,9.0019
-4.58,1818,8.9692
-4.57,1813,8.9793
-4.61,1808,9.0204
-4.68,1803,8.9711
-4.65,1798,8.9937
-4.74,1793,8.9927
-4.58,1788,9.0184
-4.62,1783,8.9698
-4.6,1778,8.9512
-4.54,1773,8.974
-4.59,1768,8.9497
-4.64,1763,8.9476
-4.56,1758,8.9387
-4.6,1753,8.9434
-4.59,1748,8.9106
-4.45,1743,8.9488
-4.42,1738,8.9539
-4.39,1733,9.0134
-4.45,1728,8.947
-4.54,1723,8.9717
-4.38,1718,9.0236
-4.22,1713,8.8745
-4.27,1708,8.9186
