d18O (permil),year (AD),depth (cm),d18O (permil)
-4.645,1966.292,NA,-4.645
-5,1966.125,NA,-5
-4.827,1965.958,NA,-4.827
-4.657,1965.792,NA,-4.657
-4.78,1965.625,NA,-4.78
-4.773,1965.458,NA,-4.773
-4.85,1965.292,NA,-4.85
-5.11,1965.125,NA,-5.11
-4.86,1964.958,NA,-4.86
-4.82,1964.792,NA,-4.82
-4.58,1964.625,NA,-4.58
-4.63,1964.458,NA,-4.63
-5.05,1964.292,NA,-5.05
-5.05,1964.125,NA,-5.05
-4.673,1963.958,NA,-4.673
-4.693,1963.792,NA,-4.693
-4.685,1963.625,NA,-4.685
-4.81,1963.458,NA,-4.81
-5.03,1963.292,NA,-5.03
-4.86,1963.125,NA,-4.86
-4.973,1962.958,NA,-4.973
-4.943,1962.792,NA,-4.943
-4.88,1962.625,NA,-4.88
-4.783,1962.458,NA,-4.783
-4.687,1962.292,NA,-4.687
-5.21,1962.125,NA,-5.21
-4.823,1961.958,NA,-4.823
-4.507,1961.792,NA,-4.507
-4.67,1961.625,NA,-4.67
-4.667,1961.458,NA,-4.667
-4.84,1961.292,NA,-4.84
-5.07,1961.125,NA,-5.07
