temperature (degC),year (AD),Uk37 (unitless),notes (unitless),d18O (permil) [1-2],temperature (degC) [1-2],year (AD) [1-2],Mg_Ca (mmol/mol) [1-2],depth (cm) [1-2],d18O (permil) [1-2],d18O (permil) [1-3],temperature (degC) [1-3],year (AD) [1-3],Mg_Ca (mmol/mol) [1-3],depth (cm) [1-3],d18O (permil) [1-3]
14.9,1415,0.5357,MINMC06-1,2.494584925,21.19,272.21,4.66,23.5,1.15,1.856783146,18.38,989.29,3.52,23,1.1
13.6,1405,0.4928,MINMC06-2,2.397993235,19.86,249.99,4.08,24,1.33,2.026204871,18.33,961.43,3.5,23.5,1.28
13.7,1390,0.4961,MINMC06-2,2.410639278,20.4,227.77,4.31,24.5,1.23,2.161972368,18.31,933.57,3.49,24,1.42
13.8,1375,0.4994,MINMC06-2,2.338889608,19.96,183.32,4.12,25.5,1.25,1.948320867,18.34,905.71,3.5,24.5,1.2
13.8,1360,0.4994,MINMC06-2,2.292895879,19.74,161.1,4.03,26,1.25,2.340758203,18.92,877.86,3.71,25,1.47
14.7,1345,0.5291,MINMC06-1,1.946011455,18.85,138.87,3.69,26.5,1.09,2.48053303,19.92,807.14,4.11,26,1.4
14.1,1345,0.5093,MINMC06-2,2.688722458,21.21,116.65,4.67,27,1.34,2.328443475,19.91,764.29,4.1,26.5,1.25
14.4,1330,0.5192,MINMC06-2,2.177538885,19.81,94.43,4.06,27.5,1.12,2.245362582,19.37,721.43,3.89,27,1.28
14.7,1320,0.5291,MINMC06-1,2.130226994,19.06,72.2,3.77,28,1.23,2.519029907,20.97,678.57,4.56,27.5,1.22
13.2,1315,0.4796,MINMC06-2,2.453174471,20.99,49.98,4.57,28.5,1.15,2.448377429,21.16,635.71,4.65,28,1.11
13.6,1300,0.4928,MINMC06-2,2.15843672,19.48,27.76,3.93,29,1.17,2.738963256,21.55,592.86,4.83,28.5,1.32
14.7,1295,0.5291,MINMC06-1,2.3731435,20.22,5.53,4.23,29.5,1.23,2.792553421,21.81,516.67,4.96,29.5,1.32
14.1,1285,0.5093,MINMC06-2,2.224057281,19.65,-16.69,3.99,30,1.2,2.25053303,19.92,483.33,4.1,30,1.17
15.3,1270,0.5489,MINMC06-1,2.553534286,21.33,-38.91,4.73,30.5,1.18,2.261657523,19.4,450,3.9,30.5,1.29
14.5,1270,0.5225,MINMC06-2,2.62107908,21.9,-61.14,5,31,1.13,2.486396034,20.62,416.67,4.4,31,1.26
