d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1]
-4.71,1899,-3.46,-1.86,1967
-5.55,1900,-4.69,-3.25,1968
-3.88,1901,-2.55,-3.98,1969
-4.59,1902,-2.39,-2.74,1970
-5.09,1903,-3.02,-2.07,1971
-4.96,1904,-4.04,-2.52,1972
-5.6,1905,-3.37,-1.72,1973
-4.78,1906,-2.97,-1.71,1974
-5.94,1907,-3.96,-1.21,1975
-3.42,1908,-1.98,-1.38,1976
-6.03,1909,-5.43,-1.79,1977
-4.38,1910,-2.89,-1.7,1978
-4,1911,-2.64,-2.68,1979
-4.07,1912,-2.93,-2.31,1980
-3.52,1913,-2.22,-2.61,1981
-5.75,1914,-3.98,-2,1982
-5.47,1915,-4.72,-2.06,1983
-4.39,1916,-3.38,-2.86,1984
-4.1,1917,-3.4,-2.54,1985
-4.51,1918,-2.97,-1.78,1986
-3.18,1919,-4.77,-1.41,1987
-4.8,1920,-5.21,-1.53,1988
-3.16,1921,-4.96,-1.63,1989
-5.16,1922,-3.85,-1.54,1990
-4.69,1923,-2.62,-1.18,1991
-4.59,1924,-2.84,-1.35,1992
-3.13,1925,-2.52,-1.3,1993
-5.78,1926,-5.69,-2.18,1994
-4.19,1927,-3.46,-1.78,1995
-5.38,1928,-3.47,-1.79,1996
-5.071,1929,-4.018,NA,NA
-4.96,1930,-4.02,NA,NA
-4.51,1931,-3.36,NA,NA
-4.34,1932,-2.77,NA,NA
-5.11,1933,-3.83,NA,NA
-4.28,1934,-3.15,NA,NA
-3.864,1935,-2.9828,NA,NA
-3.499,1936,-2.549,NA,NA
-3.57,1937,-3.02,NA,NA
-3.87,1938,-2.82,NA,NA
-3.51,1939,-3.52,NA,NA
-4.58,1940,-3.25,NA,NA
-6.23,1941,-5.27,NA,NA
-3.57,1942,-3.51,NA,NA
-3.57,1943,-2.38,NA,NA
-3.5,1944,-2.06,NA,NA
-3.56,1945,-2.6,NA,NA
-3.02,1946,-2.46,NA,NA
-3.85,1947,-2.71,NA,NA
-4.06,1948,-3.99,NA,NA
-5,1949,-3.05,NA,NA
-4.78,1950,-3.48,NA,NA
-6.43,1951,-4.38,NA,NA
-4.17,1952,-3.59,NA,NA
-5.15,1953,-4.85,NA,NA
-3.47,1954,-1,NA,NA
-6.09,1955,-5.12,NA,NA
-4.27,1956,-2.66,NA,NA
-4.14,1957,-2.78,NA,NA
-6.28,1958,-4.9,NA,NA
-4.72,1959,-3.99,NA,NA
-4.36,1960,-3.76,NA,NA
-4.94,1961,-2.9,NA,NA
-3.91,1962,-2.67,NA,NA
-3.89,1963,-1.86,NA,NA
-4.31,1964,-2.7,NA,NA
-3.62,1965,-2.419,NA,NA
-4.23,1966,-2.04,NA,NA
-5.35,1967,-3.39,NA,NA
-4.1,1968,-2.78,NA,NA
-4.3,1969,-2.55,NA,NA
-4.77,1970,-4.3,NA,NA
-6.21,1971,-4.75,NA,NA
-7.06,1972,-5.55,NA,NA
-4.38,1973,-2.87,NA,NA
-3.578,1974,-2.049,NA,NA
-5.96,1975,-4.83,NA,NA
-5.32,1976,-4.08,NA,NA
-6.24,1977,-3.61,NA,NA
-7.05,1978,-6.52,NA,NA
-5.56,1979,-2.48,NA,NA
-5.81,1980,-2.82,NA,NA
-4.98,1981,-3.04,NA,NA
-6.14,1982,-2.5,NA,NA
-4.85,1983,-2.99,NA,NA
-6.03,1984,-3.62,NA,NA
-5.82,1985,-3.54,NA,NA
-4.77,1986,-3.5,NA,NA
-6.43,1987,-4,NA,NA
-6.61,1988,-3.92,NA,NA
-5.57,1989,-4.65,NA,NA
-5.92,1990,-5.26,NA,NA
-6.61,1991,-5.28,NA,NA
-6.51,1992,-3.93,NA,NA
-5.7,1993,-4.84,NA,NA
-8.25,1994,-7.53,NA,NA
-5.95,1995,-4.77,NA,NA
-5.75,1996,-3.94,NA,NA
