Depth (cm),year (AD),d18O (per mil)
34,1025,-17.23
35,998,-17.59
41,834,-17.75
57.5,413,-17.07
62.5,295,-17.91
65,237,-17.73
66,215,-17.66
67.5,181,-18.04
69.5,137,-18.46
73.5,52,-17.41
75.5,10,-17.29
77,-20,-17.21
78,-40,-17.43
79.5,-69,-17.38
81,-98,-17.18
82,-117,-16.49
85.5,-182,-16.99
89,-243,-18.04
90,-260,-17.41
93,-309,-17.03
94,-325,-18.13
95.5,-348,-17.61
98,-385,-16.23
99.5,-406,-16.35
101,-427,-17.33
102.5,-447,-17.07
104,-467,-17.57
106,-491,-17.47
109.5,-532,-18.04
111,-548,-18.03
115,-587,-17.47
118,-613,-17.85
124,-655,-18.01
126.5,-669,-17.44
135,-705,-17.43
141.5,-726,-17.51
146.5,-742,-17.47
153,-767,-17.26
157,-786,-18.41
159.5,-800,-17.22
165.5,-843,-17.62
169,-876,-17.71
170.5,-891,-17.63
173,-920,-18.7
177,-973,-18.18
178,-988,-17.77
179,-1004,-17.53
181,-1037,-18.27
183,-1074,-17.73
185,-1113,-17.78
186,-1134,-17.67
187,-1155,-17.82
189,-1201,-18.24
190,-1225,-17.61
191,-1250,-17.94
192,-1276,-17.32
194,-1331,-17.81
195,-1360,-17.78
196,-1390,-17.66
197,-1421,-17.95
198,-1453,-18.05
199,-1485,-17.86
200,-1519,-18
