d18O (permil),year (AD),Sr_Ca (mmol/mol) [2-1],year (AD) [2-1]
-4.15,1983.21,9.08,1983.21
-3.66,1983.13,9.17,1983.13
-3.69,1983.04,9.14,1983.04
-4.07,1982.96,9.14,1982.96
-3.95,1982.88,9.17,1982.88
-4.12,1982.79,9.09,1982.79
-3.92,1982.71,9.08,1982.71
-3.26,1982.63,9.19,1982.63
-3.27,1982.54,9.3,1982.54
-3.48,1982.46,9.21,1982.46
-3.39,1982.38,9.2,1982.38
-3.23,1982.29,9.17,1982.29
-3.17,1982.21,9.2,1982.21
-3.4,1982.13,9.21,1982.13
-3.51,1982.04,9.21,1982.04
-3.74,1981.96,9.16,1981.96
-3.83,1981.88,9.12,1981.88
-3.94,1981.79,9.07,1981.79
-3.93,1981.71,9.07,1981.71
-3.82,1981.63,9.08,1981.63
-3.78,1981.54,9.07,1981.54
-3.65,1981.46,9.11,1981.46
-3.52,1981.38,9.16,1981.38
-3.54,1981.29,9.21,1981.29
-3.33,1981.21,9.22,1981.21
-3.48,1981.13,9.15,1981.13
-3.57,1981.04,9.11,1981.04
-3.6,1980.96,9.1,1980.96
-3.81,1980.88,9.16,1980.88
-3.93,1980.79,9.15,1980.79
-3.95,1980.71,9.08,1980.71
-3.89,1980.63,9.07,1980.63
-3.77,1980.54,9.09,1980.54
-3.58,1980.46,9.14,1980.46
-3.38,1980.38,9.16,1980.38
-3.21,1980.29,9.19,1980.29
-3.08,1980.21,9.21,1980.21
-3.17,1980.13,9.2,1980.13
-3.11,1980.04,9.19,1980.04
-3.31,1979.96,9.19,1979.96
-3.49,1979.88,9.16,1979.88
-3.66,1979.79,9.14,1979.79
-3.8,1979.71,9.11,1979.71
-3.9,1979.63,9.1,1979.63
-3.93,1979.54,9.1,1979.54
-3.83,1979.46,9.07,1979.46
-3.73,1979.38,9.09,1979.38
-3.56,1979.29,9.15,1979.29
-3.1,1979.21,9.24,1979.21
-3.22,1979.13,9.26,1979.13
-3.32,1979.04,9.22,1979.04
-3.41,1978.96,9.16,1978.96
-3.5,1978.88,9.15,1978.88
-3.65,1978.79,9.13,1978.79
-3.76,1978.71,9.08,1978.71
-3.82,1978.63,9.06,1978.63
-3.8,1978.54,9.1,1978.54
-3.7,1978.46,9.14,1978.46
-3.51,1978.38,9.17,1978.38
-3.27,1978.29,9.18,1978.29
-3.01,1978.21,9.18,1978.21
-3.08,1978.13,9.27,1978.13
-3.21,1978.04,9.34,1978.04
-3.38,1977.96,9.24,1977.96
-3.55,1977.88,9.18,1977.88
-3.63,1977.79,9.14,1977.79
-3.64,1977.71,9.13,1977.71
-3.72,1977.63,9.15,1977.63
-3.79,1977.54,9.14,1977.54
-3.65,1977.46,9.13,1977.46
-3.47,1977.38,9.16,1977.38
-3.19,1977.29,9.19,1977.29
-3.03,1977.21,9.2,1977.21
-3.13,1977.13,9.22,1977.13
-3.39,1977.04,9.21,1977.04
-3.69,1976.96,9.17,1976.96
-4.01,1976.88,9.13,1976.88
-4.01,1976.79,9.12,1976.79
-3.83,1976.71,9.16,1976.71
-3.67,1976.63,9.24,1976.63
-3.53,1976.54,9.28,1976.54
-3.47,1976.46,9.23,1976.46
-3.48,1976.38,9.25,1976.38
-3.46,1976.29,9.27,1976.29
-3.44,1976.21,9.22,1976.21
-3.75,1976.13,9.2,1976.13
-3.87,1976.04,9.22,1976.04
-3.95,1975.96,9.18,1975.96
-3.92,1975.88,9.12,1975.88
-3.8,1975.79,9.1,1975.79
-3.99,1975.71,9.12,1975.71
-3.91,1975.63,9.11,1975.63
-3.74,1975.54,9.12,1975.54
-3.66,1975.46,9.13,1975.46
-3.66,1975.38,9.15,1975.38
-3.6,1975.29,9.2,1975.29
-3.16,1975.21,9.25,1975.21
-3.3,1975.13,9.2,1975.13
-3.36,1975.04,9.17,1975.04
-3.33,1974.96,9.18,1974.96
-3.55,1974.88,9.15,1974.88
-3.66,1974.79,9.12,1974.79
-3.66,1974.71,9.08,1974.71
-3.62,1974.63,9.08,1974.63
-3.55,1974.54,9.11,1974.54
-3.44,1974.46,9.16,1974.46
-3.37,1974.38,9.16,1974.38
-3.19,1974.29,9.18,1974.29
-2.92,1974.21,9.22,1974.21
-2.99,1974.13,9.19,1974.13
-3.19,1974.04,9.2,1974.04
-3.37,1973.96,9.2,1973.96
-3.53,1973.88,9.18,1973.88
-3.65,1973.79,9.13,1973.79
-3.6,1973.71,9.14,1973.71
-3.55,1973.63,9.09,1973.63
-3.5,1973.54,9.12,1973.54
-3.59,1973.46,9.14,1973.46
-3.64,1973.38,9.15,1973.38
-3.47,1973.29,9.19,1973.29
-3.3,1973.21,9.26,1973.21
-3.46,1973.13,9.24,1973.13
-3.61,1973.04,9.22,1973.04
