d18O (permil),year (AD),d18O (permil)
31.22,1877,31.24
30.08,1878,31.02
29.93,1879,29.08
31.62,1880,27.07
31.08,1881,30.3
19.36,1882,29.34
28.28,1883,27.26
28,1884,29.09
25.88,1885,28.45
27.65,1886,28.75
28.71,1887,28.35
31.84,1888,28.95
30.51,1889,29.62
30.57,1890,25.96
31.41,1891,29.6
30.18,1892,27.19
31.02,1893,27.33
32.05,1894,30.69
29.87,1895,32.51
31.02,1896,31.8
29.02,1897,29.98
30.79,1898,28.23
31.28,1899,27.51
32.83,1900,30.09
30.39,1901,31.82
32.49,1902,31.7
32.78,1903,33.63
31.08,1904,32.69
29.64,1905,32.14
28.27,1906,30.23
28.68,1907,30.25
29.55,1908,29.35
27.72,1909,29.4
26.52,1910,28.45
28.54,1911,30.75
30.3,1912,31.44
27.76,1913,31.63
30.4,1914,32.44
29,1915,31.29
27.68,1916,28.59
27.98,1917,28.06
28.6,1918,30.22
28.58,1919,30.48
31.09,1920,31.59
29.07,1921,30.61
29.26,1922,29.96
30.21,1923,30.88
29.13,1924,30.23
30.73,1925,32.6
30.42,1926,30.42
27.87,1927,31.49
28.74,1928,30.67
26.97,1929,31.74
28.28,1930,30.14
26.57,1931,28.72
29.24,1932,28.46
29.83,1933,31.07
30.52,1934,32.79
29.45,1935,33.27
30.02,1936,33.11
30.61,1937,30.42
31.04,1938,30.37
30.16,1939,30.84
30.84,1940,28.86
30.79,1941,30.1
31.54,1942,30.16
31.32,1943,31.26
29.33,1944,31.93
30.42,1945,31.9
30.13,1946,31.62
29.92,1947,30.78
29.7,1948,29.82
30.67,1949,30.67
30.86,1950,31.31
30.16,1951,32.3
31.37,1952,30.29
30.72,1953,31.3
28.75,1954,29.91
30.57,1955,29.14
32.08,1956,30.62
32.44,1957,31.8
32.57,1958,31.77
30.05,1959,31.45
31.78,1960,32.14
32.03,1961,30.77
31.18,1962,30.08
31.52,1963,31.98
31.84,1964,29.55
33.67,1965,32.77
32.28,1966,30.92
30.48,1967,31.67
30.75,1968,32.59
30.94,1969,33.66
31.61,1970,33.13
33,1971,32.02
31.18,1972,33.15
32.9,1973,32.07
31.97,1974,28.96
30.12,1975,27.74
29.08,1976,31.25
28.99,1977,29.3
30,1978,30.08
30.17,1979,31.45
30.14,1980,30.65
32.3,1981,31.18
31.93,1982,32.64
30.79,1983,30.58
32.41,1984,28.85
27.79,1985,28.6
29.18,1986,29.66
28.14,1987,29.9
28.47,1988,31.43
31.29,1989,31.49
30.72,1990,31.49
31.8,1991,31.91
30.82,1992,30.3
29.57,1993,32.66
28.25,1994,32.87
29.95,1995,33.83
31.28,1996,31.8
30.89,1997,34
31.69,1998,31.31
