temperature (degC),year (AD),depth (cm),Mg_Ca (mmol/mol),depth (cm) [1-2],d18O (permil) [1-2],temperature (degC) [1-2],year (AD) [1-2],Mg_Ca (mmol/mol) [1-2],d18O (permil) [1-2]
28.51,1890,0,4.95,0,0.12,28.51,1890,4.95,-2.99
28.88,1879.1,1,5.11,1,0.3,28.88,1879.1,5.11,-2.88
28.59,1868.2,2,4.98,2,0.22,28.59,1868.2,4.98,-2.9
28.7,1857.3,3,5.03,3,0.31,28.7,1857.3,5.03,-2.84
28.71,1846.4,4,5.04,4,0.23,28.71,1846.4,5.04,-2.92
28.91,1835.5,5,5.12,5,0.32,28.91,1835.5,5.12,-2.87
28.67,1824.6,6,5.02,6,0.22,28.67,1824.6,5.02,-2.92
27.95,1813.7,7,4.7,7,0.07,27.95,1813.7,4.7,-2.92
28.55,1802.8,8,4.96,8,0.07,28.55,1802.8,4.96,-3.04
28.83,1791.9,9,5.09,9,0.19,28.83,1791.9,5.09,-2.98
28.23,1781,10,4.82,10,0.14,28.23,1781,4.82,-2.91
27.48,1770.1,11,4.51,11,-0.07,27.48,1770.1,4.51,-2.96
28.21,1759.2,12,4.81,12,0.05,28.21,1759.2,4.81,-2.99
28.39,1748.3,13,4.89,13,0.06,28.39,1748.3,4.89,-3.02
28.38,1737.4,14,4.89,14,0.16,28.38,1737.4,4.89,-2.92
28.53,1726.5,15,4.95,15,0.02,28.53,1726.5,4.95,-3.09
28.22,1715.6,16,4.82,16,0.04,28.22,1715.6,4.82,-3
28.15,1704.7,17,4.79,17,-0.01,28.15,1704.7,4.79,-3.04
28.18,1693.8,18,4.8,18,0.01,28.18,1693.8,4.8,-3.03
27.59,1682.9,19,4.55,19,0.31,27.59,1682.9,4.55,-2.6
28.24,1672,20,4.83,20,0.18,28.24,1672,4.83,-2.87
27.86,1661.1,21,4.66,21,0.02,27.86,1661.1,4.66,-2.95
29.09,1650.2,22,5.21,22,0.21,29.09,1650.2,5.21,-3.02
28.67,1639.3,23,5.02,23,0.11,28.67,1639.3,5.02,-3.03
28.83,1628.4,24,5.09,24,0.14,28.83,1628.4,5.09,-3.03
28.55,1617.5,25,4.96,25,0.02,28.55,1617.5,4.96,-3.09
28.15,1606.6,26,4.79,26,0.02,28.15,1606.6,4.79,-3.01
28.67,1584.8,28,5.02,27,NA,NA,1595.7,NA,-3.09
28.46,1573.9,29,4.92,28,0.12,28.67,1584.8,5.02,-3.02
28.43,1563,30,4.91,29,0.13,28.46,1573.9,4.92,-2.97
28.79,1552.1,31,5.07,30,0.27,28.43,1563,4.91,-2.82
28.77,1541.2,32,5.06,31,0.1,28.79,1552.1,5.07,-3.06
28.33,1530.3,33,4.86,32,0.43,28.77,1541.2,5.06,-2.73
29,1519.4,34,5.17,33,0.02,28.33,1530.3,4.86,-3.05
28.14,1508.5,35,4.78,34,0.48,29,1519.4,5.17,-2.73
28.77,1497.6,36,5.06,35,0.07,28.14,1508.5,4.78,-2.96
28.39,1486.7,37,4.89,36,0.34,28.77,1497.6,5.06,-2.82
