dD (permil),year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dD (permil),depth (cm),dDUncertainty (permil)
-231.8,2003.5,7.4,-255.8,-256.1,-247.3,3.8,1.9,3,3.3,-258.7,0,6.3
-238.7,2002,9.5,-260.8,-257.1,-253.1,18.5,3,4.2,4.4,-263,7.4,3.1
-249.7,2001,12.3,-260,-258.1,-247.3,3.9,1.2,1.6,2.1,-260.4,9.5,1.7
-231.8,2000,16.3,-253.5,-254.3,-249.7,4.4,1.6,1.1,0.9,-251.6,12.3,2.1
-238.1,1999,19.4,-254,-254.9,-249.3,2.6,1.7,1.3,1.5,-204.8,16.3,1
-248.1,1998,27.6,-261.1,-261.4,-253.9,2.8,0.4,1.8,2.8,-268.8,19.4,1.8
-241.3,1997,31,-260.7,-257.7,-248.2,9,2.5,0.4,1.3,-262.3,27.6,4
-250.4,1995.5,38.2,-265.5,-265.3,-256.1,6.5,1.5,2.6,3.2,-266.4,31,4.5
-252.4,1993.5,43.8,-266.8,-266.7,-258,6.4,2.2,4.2,4.6,-266,38.2,2.1
-236.3,1991.5,47.6,-261.4,-258.9,-247.5,2.7,0.4,3.6,3.7,-264.4,43.8,1.9
-243.8,1990,52.9,-261,-262.2,-256.2,4.9,0.3,0.5,1.7,-260.4,47.6,2.8
-229.2,1989,55.7,-261.8,-258.7,-254.9,12.1,2.2,1.2,3.1,-259.8,52.9,13.2
-241.1,1987.5,59.8,-257.3,-255.1,-250.7,4.2,1.7,1.4,2.3,-261.5,55.7,1.2
-226.5,1986,62.2,-253.9,-252,-242.6,5.8,3.6,3.1,10.2,-254,59.8,9.9
-230.6,1985,64.3,-251.9,-251.5,-244,5.7,1.7,2.9,5.6,-248.1,62.2,3
-221,1984,67.1,-247.9,-253.2,-237.6,14.5,6.5,1.3,13.5,-246.8,64.3,5.9
-233.2,1982.5,70,-253.6,-249.8,-243.5,7.2,0.8,1.2,2.5,-247.4,67.1,0.9
