dD (permil),dDUncertainty (permil),year (AD),depth (cm),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty (permil),dD (permil),dDUncertainty ()
NA,NA,2008,0,-159,0.4,-150,1.3,-146,6.9,NA,NA,-159,0.5
NA,NA,2007,1,-158,4.1,-149,0.1,-143,5.2,NA,NA,-155,3.1
NA,NA,2006,2,NA,NA,-144,3.2,-153,4.5,NA,NA,NA,NA
NA,NA,2004,4,-144,0.2,-152,4.5,-140,NA,NA,NA,-159,0.8
NA,NA,2002,6,-130,0.1,-151,0.1,-145,3.7,NA,NA,-164,1.9
NA,NA,2000,8,-168,0.9,-155,0.9,-152,1.4,-149,NA,-168,0.8
NA,NA,1997,10,-162,0.6,-157,0.5,-155,2.2,-150,0.2,-165,1.6
NA,NA,1995,12,-153,0.4,-153,1.5,-155,3.1,NA,NA,-164,2.9
NA,NA,1993,14,-158,0.2,-155,0.8,-151,2.4,-148,NA,-168,0.9
NA,NA,1991,16,-151,2.2,-147,0.8,-151,5.8,NA,NA,-152,0.1
NA,NA,1989,18,-143,0.5,-130,2.7,-132,5.5,NA,NA,-146,1.4
NA,NA,1987,20,-154,0.3,-152,3.2,NA,NA,NA,NA,-161,1.3
NA,NA,1985,22,-151,0.7,-140,0.6,NA,NA,NA,NA,-152,0.4
NA,NA,1983,24,-151,1.2,-142,1.1,NA,NA,NA,NA,-150,2.1
NA,NA,1980,26,-153,0.1,-151,1.7,NA,NA,NA,NA,-163,2
NA,NA,1978,28,-149,0.4,NA,NA,NA,NA,NA,NA,-159,1.8
NA,NA,1976,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1974,32,-133,2.8,NA,NA,NA,NA,NA,NA,-133,1.2
NA,NA,1972,34,-159,0.2,-153,0.4,-149,0.3,-148,1.6,-163,0.5
NA,NA,1970,36,-160,2.7,-154,3.1,-150,0.8,-147,3.2,-168,0.5
NA,NA,1968,38,-161,1.4,-154,1.2,-151,0.6,-149,NA,-162,2
NA,NA,1966,40,-161,1.6,-159,1,-155,0.4,-150,2.4,-165,1
NA,NA,1964,42,-131,0.1,-127,1.6,NA,NA,NA,NA,-138,0
NA,NA,1961,44,-134,0.7,-135,2.6,-134,1.3,NA,NA,-148,1.5
NA,NA,1958,46,-152,1.3,-146,2.6,NA,NA,NA,NA,-193,0.6
NA,NA,1955,48,-143,4.1,-155,3.1,-129,2.7,NA,NA,-168,2.2
NA,NA,1952,50,-144,0.9,-159,0.4,-132,2.6,NA,NA,-165,1.5
NA,NA,1949,52,-164,3.6,NA,3.3,-144,5.1,NA,NA,-167,0
NA,NA,1946,54,-164,1.9,-158,1.7,-154,1.9,-149,1.4,-167,0.2
NA,NA,1943,56,-163,0.4,-158,1.7,-155,0.7,-143,3.1,-173,0.7
NA,NA,1940,58,-162,4.3,-158,0.9,-146,0.5,-147,1.3,-171,0.1
NA,NA,1937,60,-158,3.2,-160,2.1,-154,2.3,-143,5.6,-164,0.8
NA,NA,1934,62,-151,1.9,-148,1.2,-159,0.1,-150,1.9,-167,1.4
NA,NA,1931,64,-165,1.1,-163,0.5,-152,0.8,-153,7,-167,0.8
NA,NA,1928,66,-165,0.3,-164,2.1,-156,1.5,-153,1,-167,0.6
NA,NA,1925,68,-162,1,-170,0.1,-150,0.6,-149,0.1,-171,0.8
NA,NA,1922,70,-162,1,-167,0,-157,0.5,-153,1.6,-166,1.1
NA,NA,1919,72,-161,0.4,-156,0.6,-151,2.3,-151,1.8,-163,0.9
NA,NA,1914,74,-162,1.3,-159,1.3,-154,0.9,-150,2.5,-165,0.6
NA,NA,1909,76,-168,1.8,-170,2.9,-155,2.8,-151,7.3,-174,1.1
NA,NA,1904,78,-166,0.5,-171,1.5,-155,1,-149,2,-172,1.4
NA,NA,1899,80,-161,0.8,-159,0.1,-154,3.4,-149,0.9,-165,1.2
NA,NA,1894,82,-167,0.2,-173,2.9,-162,0.7,-153,2,-172,1.4
NA,NA,1889,84,-157,1.1,-162,1.7,-156,1.2,-164,0.6,-161,1.7
NA,NA,1883,86,-142,1,-130,1.1,-134,1.7,NA,NA,-143,0.3
NA,NA,1878,88,-163,0.1,-156,0.1,-150,0.1,NA,NA,-165,0.1
NA,NA,1873,90,-160,1.4,-153,0.6,-149,0,-143,NA,-158,2.6
NA,NA,1871,91,-164,0.2,-160,1.4,-157,3.1,-151,4.5,-165,3.5
NA,NA,1868,92,-163,1.2,-160,0.7,-152,1.1,-151,2.2,-165,0.9
NA,NA,1865,93,-152,1.2,-153,0.5,-138,0.8,NA,NA,-154,0.6
NA,NA,1860,95,-165,1.5,-161,1.7,-150,3.2,-147,1.8,-168,0.1
NA,NA,1858,96,-167,0.7,-160,1.5,-150,2.4,-150,NA,-176,0
NA,NA,1855,97,-164,0.2,-156,0.4,-152,2.3,-160,0.6,-167,0.1
NA,NA,1852,98,-160,0.5,-152,0.2,-150,0.5,-150,2.6,-169,0.7
NA,NA,1850,99,-155,2.1,-152,1.5,-148,1.8,NA,NA,-163,1.6
NA,NA,1847,100,-159,1.3,-158,0.2,-160,0.3,-139,5.4,-168,2.2
NA,NA,1845,101,-164,1,-161,0.8,-157,2.9,-140,1.4,-171,0.7
NA,NA,1842,102,-169,2.6,-165,3.4,-162,0.8,-158,2.3,-180,1.8
NA,NA,1840,103,-166,0,-161,1.5,-153,6.8,NA,NA,-174,0.8
NA,NA,1837,104,-154,0.4,-148,0.2,-157,3.7,NA,NA,-159,2.5
NA,NA,1834,105,-151,1.1,-148,0.4,-149,2.7,-146,2.1,-158,2.8
NA,NA,1832,106,-166,0.1,-151,2,-148,0.6,-149,6.5,-172,1.7
NA,NA,1829,107,-163,0.7,-152,2.6,-149,0.3,-146,NA,-166,0.7
NA,NA,1827,108,-167,1.6,-154,1.2,-152,1.2,-143,0.8,-173,1.6
NA,NA,1824,109,-158,6.1,-163,0.9,-154,0.7,-148,4.4,-179,2.4
NA,NA,1822,110,-167,0.7,-158,7.1,-156,0.6,-152,0.7,-174,1.6
NA,NA,1819,111,-166,3.5,-161,0.9,-155,1,-150,1.8,-179,1.9
NA,NA,1816,112,-160,3.5,-154,1,-153,3.3,-157,6.5,-168,0.2
NA,NA,1814,113,-169,0.5,-158,3.1,-154,0.1,-152,1.6,-177,0.5
NA,NA,1811,114,-173,0.9,-160,0.9,-152,0.4,-147,0,-186,0.8
NA,NA,1809,115,-171,2.7,-159,6.6,-155,9.5,-136,NA,-172,3.9
NA,NA,1806,116,-166,5.7,-151,7.8,NA,NA,NA,NA,-174,2.1
NA,NA,1803,117,-171,1.1,-158,5.1,-156,3.3,-147,1.2,-180,1.3
NA,NA,1801,118,-168,0.5,-155,3.9,-155,0.3,-144,3.8,-180,1.4
NA,NA,1798,119,-165,0.3,-157,0.3,-151,2.2,-149,1.2,-179,2.5
NA,NA,1796,120,-160,0.9,-153,0.4,-147,1.8,-143,0.9,-172,2.5
NA,NA,1793,121,-148,1,-163,1.3,-158,1.4,-149,0.9,-171,1.1
NA,NA,1791,122,-143,0.5,-159,0.7,-150,0.8,-146,2.2,-178,0.1
NA,NA,1788,123,-165,0.9,-158,0.2,-147,0.7,-141,0.8,-174,0.7
NA,NA,1785,124,-165,1.7,-152,1.2,-150,2.1,-150,0.9,-176,1
NA,NA,1783,125,-166,1.1,-159,1.1,-148,6.8,-143,0.1,-179,2.4
NA,NA,1780,126,-146,0.2,-147,1.8,-155,1.5,-152,2.3,-171,0.5
NA,NA,1778,127,-161,0.3,-150,1.2,NA,NA,NA,NA,-165,1
NA,NA,1775,128,-167,0.3,-156,2.5,-151,0.4,-146,6.9,-170,1.7
NA,NA,1772,129,-165,0,-156,2.5,-156,0.3,-153,2.8,-172,0
NA,NA,1770,130,-140,1.5,NA,NA,-160,1.4,-156,0.1,-174,2.2
NA,NA,1767,131,-167,2.1,-154,1.3,-149,0.3,-148,4.2,-171,1.8
NA,NA,1765,132,-168,0.2,-149,0.8,-148,1,-141,0.1,-161,0.9
NA,NA,1762,133,-157,1.5,-144,3.7,-140,1.4,-145,2.2,-148,0.9
NA,NA,1760,134,-163,1,-146,1.2,-142,3.7,-156,6.5,-149,1.8
NA,NA,1757,135,-171,0.3,-156,0.2,-149,0.1,-142,6.5,-172,0.7
NA,NA,1750,136,-169,0.4,-153,1.6,-152,0.7,-144,5.4,-168,0.2
NA,NA,1744,137,-173,4,-165,1.5,-160,7.4,NA,NA,-185,1.7
NA,NA,1737,138,-162,0.4,-144,1,-146,1.2,-147,NA,-150,0.8
NA,NA,1730,139,-160,2.9,-139,0.7,-142,1.7,NA,NA,-145,0.5
NA,NA,1723,140,-164,0.3,-143,2,-145,0.6,-145,5.5,-156,1.1
NA,NA,1717,141,-170,0.1,-153,2.8,-153,2.9,-148,0.3,-175,3.3
NA,NA,1710,142,-170,1.5,-150,6.1,-156,2,-149,0.1,-175,2.6
NA,NA,1703,143,-157,1.9,-140,0.9,-147,2.1,NA,NA,-142,4.9
NA,NA,1697,144,-165,6.3,-145,0.9,-145,3.6,-158,NA,-145,0.6
NA,NA,1690,145,-160,2.9,-141,0.3,-146,2.2,NA,NA,-144,3.5
NA,NA,1683,146,-168,1.2,-149,1.1,-152,0.6,-151,0.8,-161,0.2
NA,NA,1676,147,-158,0.1,-144,0.6,-149,1.3,-159,1.9,-146,0.5
NA,NA,1670,148,-159,2.2,-159,5.6,-144,0.4,NA,NA,-147,0.3
NA,NA,1663,149,-154,1.4,-146,0.5,-156,1.2,-158,4.3,-155,1.2
NA,NA,1656,150,-168,0.1,-161,1.4,-154,1.5,-151,6.5,-158,3.1
NA,NA,1650,151,-173,1.8,-161,0.4,-159,1.6,-158,1.6,-175,3.7
NA,NA,1643,152,-169,5.7,-160,2.3,-158,0.7,-154,5.2,-176,0.3
NA,NA,1636,153,-175,0.1,-161,4.4,-156,4.2,-152,0.2,-178,1.5
NA,NA,1629,154,-173,1.3,-160,3,-165,8.7,-147,3.3,-175,3.9
NA,NA,1623,155,-175,1.2,-159,2.2,-156,1.6,-145,0,-185,1.7
NA,NA,1616,156,-172,1.3,-157,1.3,-153,1.2,-147,4.6,-182,0.4
NA,NA,1609,157,-173,1,-161,7.6,-156,NA,-147,9.2,-184,1.1
NA,NA,1603,158,-174,0.1,-162,0.6,-165,3.7,-165,6.8,-179,2.9
NA,NA,1596,159,-172,1.3,-158,6.2,-167,3.1,-156,1,-173,4.4
NA,NA,1589,160,-169,0.9,-160,0.6,-155,0.8,-155,3.7,-172,0.5
NA,NA,1582,161,-172,0.6,-159,1.4,-154,0.2,-145,1.1,-179,0.4
NA,NA,1576,162,NA,NA,-157,1.6,-151,2.3,NA,NA,-177,1.9
NA,NA,1569,163,-171,1.4,-165,0.4,-161,0.2,-156,0.8,-176,1
NA,NA,1562,164,-169,1.5,-160,1.7,-147,0.9,-144,2.5,-171,1.9
NA,NA,1558,165,-167,0.4,-166,2.8,-157,3,-147,5.2,-174,1.8
NA,NA,1555,166,-170,1.4,-160,0.7,-152,1.3,-153,0.9,-170,0.6
NA,NA,1552,167,-184,1,-164,2.7,-148,1.5,-149,5.6,-182,0.7
NA,NA,1550,168,-164,1.9,-164,1.5,-147,1.4,NA,NA,-146,5.7
NA,NA,1547,169,-170,3.5,-161,2.5,-145,1.7,NA,NA,-159,3
NA,NA,1544,170,-168,0.6,-149,1.3,-148,0.2,-156,8.9,-164,0.6
NA,NA,1541,171,-172,1.3,-154,0.1,-154,3.3,-147,0.3,-182,0.7
NA,NA,1539,172,NA,NA,NA,NA,-149,2.4,-166,8.7,-167,0.6
NA,NA,1536,173,-168,1.2,-146,1.3,-153,0.1,NA,NA,-165,2
NA,NA,1533,174,-163,0.2,-147,1.7,-150,1.2,-159,1.8,-153,0.1
NA,NA,1531,175,-162,0.9,-145,0.6,-148,3.7,-150,1.4,-161,0.1
NA,NA,1528,176,-170,1.7,-149,0.3,-147,0.2,-147,2,-168,0.1
NA,NA,1525,177,-168,0.4,-150,3,-150,0.5,-149,0.3,-172,0.7
NA,NA,1522,178,-172,0.7,-155,3.5,-150,0.1,-144,0.5,-177,0.9
NA,NA,1520,179,-171,0,-154,1.6,-151,0.1,-147,1.4,-174,0
NA,NA,1517,180,-168,2.2,-150,1.4,-150,0.4,-151,1.9,-169,0.5
NA,NA,1514,181,-168,1.3,-152,0.9,-150,0,-147,2,-171,3
NA,NA,1512,182,-158,1.2,-145,1.2,-150,1.2,NA,NA,-159,0.9
NA,NA,1509,183,-165,1.2,-148,1.8,-145,3.9,-142,3.2,-159,1.6
NA,NA,1506,184,-161,1.2,-139,4.6,-145,0.6,-142,NA,-158,2.5
NA,NA,1504,185,-163,1.7,-147,2.6,-148,2.8,NA,NA,-152,1.1
NA,NA,1501,186,-165,1.7,-145,3.3,-147,2.7,-134,0.1,-159,1.4
NA,NA,1498,187,-162,0.9,-144,4,-148,1.7,NA,NA,-156,1.2
NA,NA,1495,188,-165,1,-147,0.6,-150,2.1,-181,4.4,-155,1.7
NA,NA,1493,189,NA,NA,-140,4,-148,0.9,-182,6,-162,0.1
NA,NA,1490,190,-161,1.7,-150,0.6,-157,9.9,NA,NA,-160,3.4
NA,NA,1487,191,-168,2.6,-148,1,-147,1.5,-145,6.4,-165,0.6
NA,NA,1485,192,-168,0.1,-142,0.4,-139,0.7,-139,7.8,-175,3.1
NA,NA,1482,193,-170,2,-151,0.5,-146,5.4,-143,2.7,-166,1.6
NA,NA,1479,194,-166,1.3,-143,5.5,-144,0.6,-150,9.3,-159,1
NA,NA,1477,195,NA,NA,NA,NA,-152,1.4,-164,NA,-160,1.8
NA,NA,1474,196,-152,0.3,-146,3,-151,4.8,-188,9.3,-150,1.4
NA,NA,1471,197,-151,2.6,-144,2.3,-148,2.4,-152,0.4,-154,1.1
NA,NA,1468,198,-151,0.9,-148,0.2,-148,1.1,NA,NA,-147,1.3
NA,NA,1466,199,NA,NA,-147,0.2,-162,0,NA,NA,-148,0.8
NA,NA,1463,200,NA,NA,-145,0.9,-157,4.2,NA,NA,-149,1.7
NA,NA,1460,201,-166,0.5,-163,7.3,-160,2.5,NA,NA,-161,0.9
NA,NA,1458,202,-168,0.6,-151,0.3,-157,1.5,-182,2.2,-156,0.2
NA,NA,1455,203,-158,4.5,-140,1.6,-151,2.7,-369,NA,-150,2
NA,NA,1452,204,-148,1.9,-119,0.1,-131,3.1,NA,NA,-138,1.4
NA,NA,1449,205,-159,1.3,-148,1.5,-141,0,NA,NA,-151,4.2
NA,NA,1447,206,-165,4.3,-157,0,-157,5.2,NA,NA,-162,0.4
NA,NA,1444,207,-168,2.6,-155,0.7,-154,4.3,NA,NA,-169,3.4
NA,NA,1441,208,-156,2.2,-145,0.8,-146,1.6,-200,9.1,-148,1.6
NA,NA,1439,209,-159,0.7,-147,0.4,-149,0.2,-199,5.5,-161,1
NA,NA,1436,210,-160,1.4,-143,1.3,-140,2.6,NA,NA,-148,4
NA,NA,1433,211,-165,0.2,-143,0.1,-141,0.6,NA,NA,-158,0.6
NA,NA,1431,212,-167,0.1,-148,3,-151,1.4,-165,1.7,-162,0.1
NA,NA,1428,213,-150,3.7,-139,1.3,-155,2.8,NA,NA,-144,2.8
NA,NA,1425,214,-162,1.1,-148,1.4,-147,0.6,NA,NA,-159,1.6
NA,NA,1423,215,-165,0.6,-151,2.3,-148,3.9,NA,NA,-168,3.4
NA,NA,1420,216,-168,0,-156,0.8,-156,2.3,-169,0.7,-171,3.2
NA,NA,1417,217,-169,0.7,-156,1.8,-169,2.9,-164,0.3,-177,3.9
NA,NA,1415,218,-164,0.6,-144,0.2,NA,NA,-147,4.9,-160,0.5
NA,NA,1412,219,-165,4.5,-152,2.4,-172,8.4,-179,3.4,-174,0.2
NA,NA,1410,220,-165,0.3,-148,0.3,-157,6.1,-158,5.8,-165,1.1
NA,NA,1407,221,-155,2.1,-143,1.6,-149,3.1,NA,NA,-155,1.5
NA,NA,1404,222,-160,0.3,-147,1.3,-149,0.9,NA,NA,-152,0.4
NA,NA,1402,223,-163,3.6,-145,1.8,-143,2.6,-160,9.4,-160,2.1
NA,NA,1399,224,-166,0.2,-149,2.8,-148,0.2,-155,5.1,-165,2.7
NA,NA,1396,225,-166,3.2,-152,1.7,-147,0.5,-148,8.7,-162,1.8
NA,NA,1394,226,-169,0.8,-157,1.8,-153,1.2,-165,9.9,-169,1.9
NA,NA,1391,227,-168,0.8,-154,1.2,-153,0.8,-155,1.2,-168,1.6
NA,NA,1388,228,-169,1.1,-154,1.9,-149,2.1,-150,9.2,-172,0.6
NA,NA,1386,229,-169,0.8,-155,4.5,-165,1,-155,2.6,-169,0.9
NA,NA,1383,230,-172,2,-157,1.3,-168,0.4,-161,6.8,-174,2.2
NA,NA,1380,231,-172,0.5,-158,1.5,-150,1.5,NA,NA,-174,1.2
NA,NA,1378,232,NA,NA,NA,NA,-177,2.2,-155,0.5,-171,0.8
NA,NA,1375,233,-176,3.6,-162,1.1,NA,NA,-161,8.7,-180,2.4
NA,NA,1372,234,-174,0.7,-162,0.6,-156,1.8,-157,8,-180,0.3
NA,NA,1370,235,-170,0.4,-157,1.1,-161,0.8,NA,NA,-172,0.4
NA,NA,1367,236,-164,1.7,-153,1.2,-150,1.1,NA,NA,-163,0.4
NA,NA,1364,237,-166,1.9,-148,1.5,-173,8.6,-156,3.3,-166,0.5
NA,NA,1362,238,-155,0.2,-142,0.5,-150,0.4,NA,NA,-151,2.3
NA,NA,1359,239,NA,NA,NA,NA,-143,4.3,NA,NA,-160,0.9
NA,NA,1357,240,-162,0.3,-146,1.3,NA,NA,-182,9.3,-162,0.4
NA,NA,1354,241,-160,0.6,-142,1.8,-162,0.4,NA,NA,-158,0.3
NA,NA,1351,242,-160,1.5,-144,0.4,-145,0,-154,2.6,-161,2.8
NA,NA,1349,243,-162,0.2,-148,0.8,-143,0.2,-155,4.4,-161,4.5
NA,NA,1346,244,-162,0.1,-148,0.8,-149,0.6,NA,NA,-168,1.8
