d18O (permil),year (AD),depth (m)
-28.2,1736,NA
-32.3,1737,NA
-32.4,1738,NA
-31.9,1739,NA
-31.8,1740,NA
-28.4,1741,NA
-28.8,1742,NA
-33.3,1743,NA
-34,1744,NA
-30.3,1745,NA
-29.9,1746,NA
-28.9,1747,NA
-24.6,1748,NA
-27.5,1749,NA
-28.6,1750,NA
-32.3,1751,NA
-33.5,1752,NA
-34.2,1753,NA
-32.2,1754,NA
-31.2,1755,NA
-32.1,1756,NA
-30.7,1757,NA
-30.7,1758,NA
-32.1,1759,NA
-32.1,1760,NA
-32.6,1761,NA
-30.5,1762,NA
-30,1763,NA
-32.2,1764,NA
-28.8,1765,NA
-28.1,1766,NA
-29.8,1767,NA
-33.1,1768,NA
-35.9,1769,NA
-32.4,1770,NA
-31.7,1771,NA
-31.8,1772,NA
-30.9,1773,NA
-32.1,1774,NA
-28.8,1775,NA
-32.5,1776,NA
-31.5,1777,NA
-33.2,1778,NA
-35.8,1779,NA
-27.2,1780,NA
-30.2,1781,NA
-31.8,1782,NA
-31.2,1783,NA
-29.9,1784,NA
-30.2,1785,NA
-29.5,1786,NA
-30.8,1787,NA
-34.5,1788,NA
-34.5,1789,NA
-34.1,1790,NA
-33.2,1791,NA
-33.9,1792,NA
-30.8,1793,NA
-28.8,1794,NA
-28.8,1795,NA
-28.6,1796,NA
-33.3,1797,NA
-29.4,1798,NA
-31.7,1799,NA
-31.1,1800,NA
-30.5,1801,NA
-30.3,1802,NA
-34.1,1803,NA
-30.6,1804,NA
-32.8,1805,NA
-27.6,1806,NA
-27.5,1807,NA
-25.8,1808,NA
-33,1809,NA
-31.6,1810,NA
-32.4,1811,NA
-31.8,1812,NA
-28.9,1813,NA
-31.6,1814,NA
-31.7,1815,NA
-33.2,1816,NA
-29.7,1817,NA
-32.8,1818,NA
-34.3,1819,NA
-31.7,1820,NA
-25.8,1821,NA
-30.4,1822,NA
-30.9,1823,NA
-31.3,1824,NA
-29.6,1825,NA
-31.5,1826,NA
-30.4,1827,NA
-32.8,1828,NA
-31.4,1829,NA
-30.7,1830,NA
-24.8,1831,NA
-31.5,1832,NA
-30.3,1833,NA
-33.4,1834,NA
-31.2,1835,NA
-30.6,1836,NA
-26.8,1837,NA
-31.1,1838,NA
-29.4,1839,NA
-29.8,1840,NA
-33.5,1841,NA
-32.1,1842,NA
-31.8,1843,NA
-29.8,1844,NA
-29.9,1845,NA
-30.5,1846,NA
-30.7,1847,NA
-30.7,1848,NA
-28.4,1849,NA
-32.7,1850,NA
-32.3,1851,NA
-32.8,1852,NA
-36.9,1853,NA
-34.3,1854,NA
-34.7,1855,NA
-32,1856,NA
-32.2,1857,NA
-28.3,1858,NA
-30.2,1859,NA
-31,1860,NA
-34.9,1861,NA
-33.9,1862,NA
-32.8,1863,NA
-35.1,1864,NA
-33.5,1865,NA
-33.3,1866,NA
-32.6,1867,NA
-36.1,1868,NA
-31.3,1869,NA
-34.4,1870,NA
-31.2,1871,NA
-33,1872,NA
-31.5,1873,NA
-32.4,1874,NA
-32.4,1875,NA
-33.4,1876,NA
-31.6,1877,NA
-33.1,1878,NA
-33.5,1879,NA
-31.6,1880,NA
-37.5,1881,NA
-33.5,1882,NA
-33.2,1883,NA
-32.3,1884,NA
-30.9,1885,NA
-31.2,1886,NA
-32.6,1887,NA
-37.5,1888,NA
-31.7,1889,NA
-32.5,1890,NA
-32.1,1891,NA
-35.3,1892,NA
-32.2,1893,NA
-27.7,1894,NA
-31.5,1895,NA
-33.1,1896,NA
-32.9,1897,NA
-33.5,1898,NA
-32.8,1899,NA
-32.7,1900,NA
-33.8,1901,NA
-33.1,1902,NA
-31.9,1903,NA
-31.6,1904,NA
-36.1,1905,NA
-32.3,1906,NA
-31.3,1907,NA
-32.6,1908,NA
-34.8,1909,NA
-32.1,1910,NA
-33.8,1911,NA
-32.8,1912,NA
-33.4,1913,NA
-34.5,1914,NA
-34.9,1915,NA
-33.3,1916,NA
-36.3,1917,NA
-35.6,1918,NA
-35.4,1919,NA
-33.4,1920,NA
-30.6,1921,NA
-33.6,1922,NA
-34.5,1923,NA
-37.6,1924,NA
-35.8,1925,NA
-32.6,1926,NA
-33.4,1927,NA
-33.5,1928,NA
-33.4,1929,NA
-35.5,1930,NA
-33.5,1931,NA
-29.1,1932,NA
-33.6,1933,NA
-34.2,1934,NA
-34.9,1935,NA
-38.2,1936,NA
-34.5,1937,NA
-33.5,1938,NA
-35.2,1939,NA
-35.9,1940,NA
-32.6,1941,NA
-33.1,1942,NA
-34.3,1943,NA
-34.1,1944,NA
-34.5,1945,NA
-31.8,1946,NA
-34.6,1947,NA
-33.9,1948,NA
-31.2,1949,NA
-34.5,1950,NA
-28,1951,NA
-29.7,1952,NA
-34.2,1953,NA
-33.5,1954,NA
-28.2,1955,NA
-31.9,1956,NA
-35.4,1957,NA
-33.4,1958,NA
-35.4,1959,NA
-31.8,1960,NA
-32.6,1961,NA
-36.1,1962,NA
-33,1963,NA
-34.3,1964,NA
-33.8,1965,NA
-35,1966,NA
-31.6,1967,NA
-34.6,1968,NA
-31.5,1969,NA
-26.3,1970,NA
-27.9,1971,NA
-32.9,1972,NA
-28.2,1973,NA
-35.8,1974,NA
-34.8,1975,NA
-34,1976,NA
-34.5,1977,NA
-31.3,1978,NA
-32.2,1979,NA
-31.3,1980,NA
-25.5,1981,NA
-31.2,1982,NA
-30.7,1983,NA
-33.5,1984,NA
-30.5,1985,NA
-31.1,1986,NA
-33.2,1987,NA
