dD (permil),year (AD)
-194.69,2006.897
-146.48,2006.791
-182.91,2006.686
-218.34,2006.58
-223.3,2006.474
-209.39,2006.369
-208.46,2006.263
-201.88,2006.158
-186.56,2006.052
-188.53,2005.963
-195.39,2005.889
-204.43,2005.816
-210.87,2005.742
-218.45,2005.669
-224.2,2005.595
-224.22,2005.522
-228.17,2005.449
-224.6,2005.375
-217.96,2005.302
-193.72,2005.228
-165.75,2005.155
-139.31,2005.081
-130.49,2005.008
-129.79,2004.952
-130.22,2004.91
-137.01,2004.868
-158.75,2004.827
-168.3,2004.785
-176.06,2004.743
-180.16,2004.701
-183.81,2004.66
-192.25,2004.618
-200.48,2004.576
-212.24,2004.535
-217.86,2004.493
-222.51,2004.451
-227.06,2004.409
-220.15,2004.368
-209.47,2004.326
-202.62,2004.284
-198.89,2004.242
-195.86,2004.201
-193.37,2004.159
-194.57,2004.117
-194.47,2004.076
-195.5,2004.034
-197.76,2003.987
-206.87,2003.92
-233.5,2003.852
-250.99,2003.785
-257.08,2003.717
-253.09,2003.649
-240.63,2003.582
-233.25,2003.514
-227.1,2003.447
-227.59,2003.379
-219.45,2003.21
-220.32,2003.167
-221.73,2003.125
-221.56,2003.082
-221.21,2003.04
-221.78,2002.998
-220.86,2002.97
-220.15,2002.941
-217.84,2002.912
-216.62,2002.883
-217.54,2002.855
-216.94,2002.826
-219.28,2002.797
-220.21,2002.768
-221.77,2002.74
-223.43,2002.711
-224.15,2002.682
-224.67,2002.654
-224.6,2002.625
-224.58,2002.596
-224.76,2002.567
-224.25,2002.539
-223.4,2002.51
-223.48,2002.481
-223.84,2002.452
-224.19,2002.424
-224.15,2002.395
-225.76,2002.366
-229.01,2002.338
-233.65,2002.309
-241.05,2002.28
-249.89,2002.251
-259.62,2002.223
-269.53,2002.194
-276.18,2002.165
-280.05,2002.136
-274.07,2002.108
-253.22,2002.079
-246.1,2002.05
-240.72,2002.022
-236.36,2001.984
-233.63,2001.92
-233.62,2001.857
-235.05,2001.793
-235.72,2001.73
-233.62,2001.671
-239.39,2001.613
-240.1,2001.555
-236.13,2001.496
-231.15,2001.438
-226.32,2001.38
-221.68,2001.322
-216.21,2001.263
-213.89,2001.205
-212.28,2001.147
-213.32,2001.088
-213.76,2001.03
-214.82,2000.98
-215.64,2000.939
-216.71,2000.899
-217.75,2000.858
-218.12,2000.817
-219.12,2000.776
-220.09,2000.735
-220.43,2000.695
-218.23,2000.654
-223.91,2000.613
-225.48,2000.572
-224.69,2000.531
-223.85,2000.491
-222.51,2000.45
-223.29,2000.409
-224.16,2000.368
-223.89,2000.327
-223.71,2000.287
-225.29,2000.246
-225.28,2000.205
-226.09,2000.164
-228.57,2000.123
-229.66,2000.083
-229.7,2000.042
-230.59,2000.001
-232.65,1999.958
-236.51,1999.915
-241.03,1999.872
-244.34,1999.829
-247.15,1999.786
-250.91,1999.743
-253.84,1999.7
-255.53,1999.657
-256.07,1999.614
-256.45,1999.571
-255.49,1999.529
-253.39,1999.486
-254.44,1999.443
-244.56,1999.4
-251.4,1999.357
-248.49,1999.314
-240.18,1999.271
-210.85,1999.085
-213.48,1999.039
-212.47,1998.993
-211.07,1998.951
-214.13,1998.909
-217.27,1998.867
-225.4,1998.825
-230.09,1998.783
-237.02,1998.741
-240.53,1998.699
-244.41,1998.658
-247.78,1998.616
-248.26,1998.574
-248.54,1998.532
-247.76,1998.49
-245.87,1998.448
-243.43,1998.406
-242.75,1998.364
-242.48,1998.322
-242.67,1998.28
-243.79,1998.238
-246.67,1998.196
-248.02,1998.154
-246.56,1998.112
-243.7,1998.07
-240.56,1998.028
-236.59,1997.984
-233.11,1997.935
-229.41,1997.886
-226.69,1997.837
-225.48,1997.788
-224.8,1997.739
-224.29,1997.69
-224.01,1997.641
-222.75,1997.592
-220.37,1997.543
-214.7,1997.494
-207.7,1997.445
-202.76,1997.396
-196.64,1997.347
-192.41,1997.298
-189.18,1997.249
-188.87,1997.2
-188.93,1997.151
-188.99,1997.102
-189.92,1997.053
-191.13,1997.004
-188.44,1996.93
-191.57,1996.893
-193.3,1996.856
-193.28,1996.819
-189.13,1996.783
-186.55,1996.746
-184.7,1996.709
-187.12,1996.672
-193.26,1996.599
-196.51,1996.562
-200.15,1996.525
-202.75,1996.488
-205.24,1996.451
-202.62,1996.414
-205.1,1996.378
-206.9,1996.341
-207.24,1996.304
-207.66,1996.267
-206.25,1996.23
-204.78,1996.194
-202.17,1996.157
-199.48,1996.12
-196.53,1996.083
-193.84,1996.046
-193.82,1996.009
-193.71,1995.974
-194.32,1995.939
-194.53,1995.904
-195.36,1995.868
-196.87,1995.833
-199.09,1995.798
-201.14,1995.763
-203.99,1995.728
-207.7,1995.693
-211.98,1995.658
-215.36,1995.622
-217.61,1995.587
-218.66,1995.552
-218.64,1995.517
-217.58,1995.482
-216.32,1995.447
-214.63,1995.412
-214.31,1995.376
-213.91,1995.341
-213.4,1995.306
-213.17,1995.271
-214.13,1995.236
-215.26,1995.201
-216.07,1995.166
-216.91,1995.13
-217.85,1995.095
-216.3,1995.06
-217.38,1995.025
-216.89,1994.992
-213.52,1994.966
-213,1994.92
-211.1,1994.874
-210.1,1994.827
-211.4,1994.781
-213.5,1994.735
-218.5,1994.689
-226.9,1994.643
-235.5,1994.597
-243.6,1994.551
-249.2,1994.505
-255.5,1994.459
-255.7,1994.413
-251.1,1994.367
-246.2,1994.321
-239.8,1994.275
-230.4,1994.229
-225,1994.183
-222.8,1994.137
-224.3,1994.091
-228.7,1994.045
-231.6,1993.998
-229,1993.94
-224.3,1993.882
-220.3,1993.824
-219.3,1993.766
-220.3,1993.708
-222.5,1993.65
-227.3,1993.592
-230.7,1993.534
-231.5,1993.476
-220.9,1993.418
-208,1993.359
-177.14,1993.201
-168.73,1993.167
-162.51,1993.133
-159.03,1993.1
-155.1,1993.066
-152.98,1993.032
-152.34,1992.999
-152.47,1992.962
-154.57,1992.925
-156.51,1992.888
-159.17,1992.851
-163.93,1992.815
-169.6,1992.778
-178.36,1992.741
-188.38,1992.704
-198.98,1992.667
-205.49,1992.631
-210.59,1992.594
-213.63,1992.557
-215.53,1992.52
-216.31,1992.483
-214.74,1992.446
-212.16,1992.41
-210.59,1992.373
-205.8,1992.336
-199.92,1992.299
-197.1,1992.262
-193.53,1992.226
-190.85,1992.189
-187.16,1992.152
-184.43,1992.115
-180.84,1992.078
-178.35,1992.041
-177.35,1992.005
-176.83,1991.948
-178.36,1991.889
-181.36,1991.829
-183.63,1991.77
-184.19,1991.71
-184.41,1991.651
-188.3,1991.591
-192.65,1991.532
-197.65,1991.472
-199.22,1991.413
-200.47,1991.353
-200.72,1991.294
-200.09,1991.234
-198.63,1991.175
-198.49,1991.115
-198.91,1991.056
-197.92,1990.997
-199.87,1990.937
-201.81,1990.878
-205.95,1990.818
-212.79,1990.759
-225.71,1990.699
-225.07,1990.64
-225.31,1990.58
-225.69,1990.521
-225.25,1990.461
-221.2,1990.402
-218.03,1990.342
-215.41,1990.283
-212.57,1990.223
-211.39,1990.164
-209.49,1990.104
-208.62,1990.045
-208.42,1989.992
-208.06,1989.962
-208.51,1989.931
-210.02,1989.9
-211.6,1989.869
-213.67,1989.838
-215.35,1989.807
-218.28,1989.776
-220.17,1989.745
-222.04,1989.714
-225.61,1989.683
-227.82,1989.652
-229.93,1989.621
-233.85,1989.59
-236.63,1989.559
-241.32,1989.529
-245.44,1989.498
-250.24,1989.467
-254.62,1989.436
-257.18,1989.405
-260.01,1989.374
-262.24,1989.343
-261.93,1989.312
-260.92,1989.281
-248.43,1989.25
-237.42,1989.219
-228.71,1989.188
-218.84,1989.157
-207.84,1989.126
-197.64,1989.095
-187.23,1989.065
-179.08,1989.034
-173.51,1989.003
-169.82,1988.95
-170.41,1988.894
-172.78,1988.839
-177.52,1988.784
-184.04,1988.729
-191.24,1988.673
-198.63,1988.618
-204.48,1988.563
-207.78,1988.508
-210.8,1988.453
-211.72,1988.397
-211.41,1988.342
-207.06,1988.181
-207.67,1988.1
-207.52,1988.019
-208.09,1987.946
-211.33,1987.876
-215.94,1987.805
-222.1,1987.734
-228.79,1987.664
-233.9,1987.593
-238.57,1987.522
-242.06,1987.452
-243.08,1987.381
-242.48,1987.311
-240.99,1987.24
-238.88,1987.169
-238.15,1987.099
-220.47,1987.028
-220.61,1986.97
-225.94,1986.921
-230.65,1986.872
-233.06,1986.823
-233.72,1986.774
-232.54,1986.725
-229.6,1986.676
-226.03,1986.626
-224.69,1986.577
-224.3,1986.528
-224.02,1986.479
-223.61,1986.43
-223.57,1986.381
-223.26,1986.332
-221.86,1986.283
-218.84,1986.233
-213.82,1986.184
-207.46,1986.135
-199.9,1986.086
-196.02,1986.037
-195.51,1985.983
-194.43,1985.926
-196.31,1985.868
-197.97,1985.811
-202.08,1985.753
-204.59,1985.695
-206.85,1985.638
-210.27,1985.58
-214.18,1985.523
-219.25,1985.465
-222.97,1985.407
-225.82,1985.35
-226.61,1985.292
-227,1985.235
-225.37,1985.177
-222.11,1985.119
-218.48,1985.062
-216.4,1985.004
-215.3,1984.939
-215.06,1984.874
-215.61,1984.809
-217.59,1984.744
-219.53,1984.678
-219.55,1984.613
-218.68,1984.548
-216.61,1984.482
-212.85,1984.417
-206.97,1984.352
-200.68,1984.286
-194.25,1984.221
-190.03,1984.156
-187.62,1984.091
-185.22,1984.025
-184.91,1983.976
-186.6,1983.937
-188.96,1983.898
-193.37,1983.858
-197.27,1983.819
-200.91,1983.78
-205.65,1983.741
-212.07,1983.702
-218.12,1983.663
-223.93,1983.623
-226.2,1983.584
-224.47,1983.545
-225.66,1983.506
-227.06,1983.47
-233.39,1983.434
-231.92,1983.398
-228.15,1983.362
-219.76,1983.326
-216.21,1983.29
-214.89,1983.254
-213.53,1983.218
-213.13,1983.182
-210.78,1983.146
-211.07,1983.11
-210.13,1983.074
-209.3,1983.038
-207.74,1983.002
-208.08,1982.958
-208.64,1982.913
-209.56,1982.868
-211.01,1982.823
-212.39,1982.778
-213.81,1982.733
-217.07,1982.688
-218.98,1982.643
-221.15,1982.598
-221.56,1982.553
-221.66,1982.508
-220.29,1982.463
-218.47,1982.418
-214.97,1982.373
-208.72,1982.328
-208.15,1982.283
-202.02,1982.238
-194.27,1982.193
-189.36,1982.148
-184.5,1982.103
-180.47,1982.058
-177.87,1982.013
-174.88,1981.967
-174.31,1981.92
-175.09,1981.874
-175.83,1981.827
-178.32,1981.78
-181.47,1981.733
-185.73,1981.686
-190.01,1981.64
-193.03,1981.593
-195.62,1981.546
-197.96,1981.499
-197.63,1981.452
-196.65,1981.406
-187.6,1981.262
-188.6,1981.215
-186.2,1981.167
-183.9,1981.119
-181.7,1981.071
-180.8,1981.023
-181,1980.985
-182.5,1980.955
-184.6,1980.925
-186.5,1980.895
-189.3,1980.866
-192.7,1980.836
-194.9,1980.806
-199.6,1980.776
-202.9,1980.746
-205.7,1980.716
-206.8,1980.687
-209.7,1980.657
-210.3,1980.627
-210.5,1980.597
-212.1,1980.567
-212.3,1980.537
-211.9,1980.508
-209.5,1980.478
-209.5,1980.448
-206.3,1980.418
-205.9,1980.388
-204.5,1980.358
-204.3,1980.329
-203.1,1980.299
-201.9,1980.269
-197.1,1980.239
-192.2,1980.209
-190.4,1980.179
-185.8,1980.15
-182,1980.12
-180.1,1980.09
-177.6,1980.06
-176.1,1980.03
-174.4,1980
-176,1979.936
-174,1979.871
-175.7,1979.805
-180.3,1979.74
-184,1979.675
-188.2,1979.61
-191,1979.527
-198.1,1979.445
-200.7,1979.363
-203.3,1979.28
-204.5,1979.198
-206.4,1979.116
-211.5,1979.033
-216.5,1978.964
-222,1978.902
-226.9,1978.841
-231.1,1978.78
-234.3,1978.718
-236.6,1978.657
-237.3,1978.596
-237.8,1978.534
-238,1978.473
-237.1,1978.412
-235.1,1978.35
-231.2,1978.289
-227.9,1978.228
-223.3,1978.167
-219.8,1978.105
-217.2,1978.044
-212.6,1977.976
-210.8,1977.894
-210.2,1977.811
-209.7,1977.728
-210,1977.645
-210.6,1977.562
-208.6,1977.479
-206.2,1977.397
-201.5,1977.314
-195.7,1977.231
-189.9,1977.148
-185.3,1977.065
-183.3,1976.989
-183.5,1976.939
-183.8,1976.888
-189.4,1976.837
-194.1,1976.785
-199.6,1976.733
-203.8,1976.681
-207.9,1976.63
-211.5,1976.578
-215.2,1976.526
-219.3,1976.474
-222.3,1976.422
-227.1,1976.371
-229.1,1976.319
-229.9,1976.267
-221.6,1976.215
-209.6,1976.163
-203.1,1976.112
-194.4,1976.06
-189.8,1976.008
-187.3,1975.933
-188.4,1975.853
-191.9,1975.774
-195.9,1975.694
-200.1,1975.614
-203.1,1975.535
-206.4,1975.455
-206.2,1975.375
-208.6,1975.296
-210.2,1975.216
-213.7,1975.136
-219.5,1975.057
-226.7,1974.977
-234.1,1974.898
-241.5,1974.819
-244.3,1974.74
-246,1974.66
-245.4,1974.581
-241,1974.502
-236.7,1974.423
-228.1,1974.361
-217.6,1974.298
-208,1974.236
-203.3,1974.174
-201.7,1974.111
-200.3,1974.049
-199.7,1973.989
-201.8,1973.937
-202.9,1973.885
-204.9,1973.833
-207.2,1973.781
-211.4,1973.728
-214.7,1973.676
-217,1973.624
-219.2,1973.572
-220.6,1973.52
-222.1,1973.468
-222.3,1973.416
-222.1,1973.364
-221.2,1973.312
-220.7,1973.26
-220,1973.207
-215.8,1973.155
-204.4,1973.103
-199.6,1973.051
-198.3,1972.999
-196.7,1972.96
-198,1972.921
-197.1,1972.882
-198.4,1972.843
-200.1,1972.804
-203.4,1972.765
-206.1,1972.726
-207.3,1972.687
-211.9,1972.648
-217.7,1972.609
-224.7,1972.57
-230,1972.53
-235.2,1972.491
-240.1,1972.452
-244.2,1972.413
-245.1,1972.374
-244.1,1972.335
-240.1,1972.296
-229.8,1972.257
-222,1972.218
-216.4,1972.179
-197.6,1972.082
-192.8,1972.034
-189,1971.98
-190,1971.913
-194.3,1971.846
-201.8,1971.778
-209.2,1971.711
-216,1971.644
-219.5,1971.577
-222.4,1971.51
-223,1971.443
-221.6,1971.375
-219.9,1971.308
-218.1,1971.241
-215.5,1971.174
-212.3,1971.107
-213.2,1971.04
-210.2,1970.961
-208.4,1970.865
-204.7,1970.769
-202.4,1970.673
-197.9,1970.577
-195.7,1970.481
-190.7,1970.385
-188.4,1970.289
