d18O (permil),year (AD),depth (mm),year (AD) [1-2],d18O (permil) [1-2],depth (mm) [1-2],d18O (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],d18O (permil) [1-3]
NA,2010.833333,NA,2010.833333,-6.447,0.3,NA,NA,1977,-5.579
NA,2010.75,NA,2010.75,-6.43,0.6,NA,0.115,-2,-5.364
NA,2010.666667,NA,2010.666667,-6.059,0.9,NA,0.025,-2,-5.575
NA,2010.583333,NA,2010.583333,-5.981,1.2,NA,0.081,-2,-5.575
NA,2010.5,NA,2010.5,-6.099,1.4,NA,0.242,-2,-5.506
NA,2010.416667,NA,2010.416667,-5.99,1.7,NA,0.065,-2,-5.543
NA,2010.333333,NA,2010.333333,-5.826,2,NA,0.033,-2,-5.517
NA,2010.25,NA,2010.25,-5.537,2.5,NA,-0.196,-2,-5.778
NA,2010.166667,NA,2010.166667,-5.473,2.8,NA,0.187,-2,-5.432
NA,2010.083333,NA,2010.083333,-5.415,3,NA,0.059,-2,-5.756
NA,2010,NA,2010,-5.278,3.3,NA,-0.217,-2,-5.813
NA,2009.916667,NA,2009.916667,-5.14,3.5,NA,-0.221,-2,-5.956
NA,2009.833333,NA,2009.833333,-5.6,4.8,NA,NA,NA,NA
NA,2009.75,NA,2009.75,-6.07,5.8,NA,NA,NA,NA
NA,2009.666667,NA,2009.666667,-5.972,6.7,NA,NA,NA,NA
NA,2009.583333,NA,2009.583333,-5.684,7.1,NA,NA,NA,NA
NA,2009.5,NA,2009.5,-5.581,7.6,NA,NA,NA,NA
NA,2009.416667,NA,2009.416667,-5.648,8,NA,NA,NA,NA
NA,2009.333333,NA,2009.333333,-5.066,8.4,NA,NA,NA,NA
NA,2009.25,NA,2009.25,-4.679,8.8,NA,NA,NA,NA
NA,2009.166667,NA,2009.166667,-4.595,9.3,NA,NA,NA,NA
NA,2009.083333,NA,2009.083333,-3.944,10.1,NA,NA,NA,NA
NA,2009,NA,2009,-4.6,11,NA,NA,NA,NA
NA,2008.916667,NA,2008.916667,-5.439,11.4,NA,NA,NA,NA
NA,2008.833333,NA,2008.833333,-5.91,11.8,NA,NA,NA,NA
NA,2008.75,NA,2008.75,-5.954,12.2,NA,NA,NA,NA
NA,2008.666667,NA,2008.666667,-5.585,12.5,NA,NA,NA,NA
NA,2008.583333,NA,2008.583333,-4.782,13,NA,NA,NA,NA
NA,2008.5,NA,2008.5,-4.895,13.5,NA,NA,NA,NA
NA,2008.416667,NA,2008.416667,-4.767,13.9,NA,NA,NA,NA
NA,2008.333333,NA,2008.333333,-4.859,14.4,NA,NA,NA,NA
NA,2008.25,NA,2008.25,-4.981,14.9,NA,NA,NA,NA
NA,2008.166667,NA,2008.166667,-4.234,15.4,NA,NA,NA,NA
NA,2008.083333,NA,2008.083333,-4.37,16,NA,NA,NA,NA
NA,2008,NA,2008,-4.568,16.2,NA,NA,NA,NA
NA,2007.916667,NA,2007.916667,-4.764,16.5,NA,NA,NA,NA
NA,2007.833333,NA,2007.833333,-5.063,16.8,NA,NA,NA,NA
NA,2007.75,NA,2007.75,-5.696,17.4,NA,NA,NA,NA
NA,2007.666667,NA,2007.666667,-5.316,18.3,NA,NA,NA,NA
NA,2007.583333,NA,2007.583333,-4.047,19.1,NA,NA,NA,NA
NA,2007.5,NA,2007.5,-4.827,20,NA,NA,NA,NA
NA,2007.416667,NA,2007.416667,-4.896,20.9,NA,NA,NA,NA
NA,2007.333333,NA,2007.333333,-5.349,21.5,NA,NA,NA,NA
NA,2007.25,NA,2007.25,-3.937,22.1,NA,NA,NA,NA
NA,2007.166667,NA,2007.166667,-4.778,22.8,NA,NA,NA,NA
NA,2007.083333,NA,2007.083333,-4.998,23.5,NA,NA,NA,NA
NA,2007,NA,2007,-5.483,23.9,NA,NA,NA,NA
NA,2006.916667,NA,2006.916667,-5.714,24.2,NA,NA,NA,NA
NA,2006.833333,NA,2006.833333,-5.769,24.6,NA,NA,NA,NA
NA,2006.75,NA,2006.75,-5.929,25.6,NA,NA,NA,NA
NA,2006.666667,NA,2006.666667,-6.342,26.6,NA,NA,NA,NA
NA,2006.583333,NA,2006.583333,-5.207,27.5,NA,NA,NA,NA
NA,2006.5,NA,2006.5,-5.097,28.5,NA,NA,NA,NA
NA,2006.416667,NA,2006.416667,-5.267,29.5,NA,NA,NA,NA
NA,2006.333333,NA,2006.333333,-5.078,29.7,NA,NA,NA,NA
NA,2006.25,NA,2006.25,-4.885,30,NA,NA,NA,NA
NA,2006.166667,NA,2006.166667,-4.631,30.3,NA,NA,NA,NA
NA,2006.083333,NA,2006.083333,-4.713,30.7,NA,NA,NA,NA
NA,2006,NA,2006,-5.204,31.1,NA,NA,NA,NA
NA,2005.916667,NA,2005.916667,-5.307,31.7,NA,NA,NA,NA
NA,2005.833333,NA,2005.833333,-5.783,32.4,NA,NA,NA,NA
NA,2005.75,NA,2005.75,-6.078,32.6,NA,NA,NA,NA
NA,2005.666667,NA,2005.666667,-6.343,32.9,NA,NA,NA,NA
NA,2005.583333,NA,2005.583333,-6.408,33.2,NA,NA,NA,NA
NA,2005.5,NA,2005.5,-6.392,33.5,NA,NA,NA,NA
NA,2005.416667,NA,2005.416667,-6.251,33.7,NA,NA,NA,NA
NA,2005.333333,NA,2005.333333,-5.986,34.2,NA,NA,NA,NA
NA,2005.25,NA,2005.25,-5.606,36.9,NA,NA,NA,NA
NA,2005.166667,NA,2005.166667,-5.092,38,NA,NA,NA,NA
NA,2005.083333,NA,2005.083333,-5.277,38.3,NA,NA,NA,NA
-5.4283,2005,0,2005,-5.407,38.7,NA,NA,NA,NA
-5.3221,2004.916667,0.9,2004.916667,-5.284,40.4,NA,NA,NA,NA
-5.9089,2004.833333,1.6,2004.833333,-5.837,41.9,NA,NA,NA,NA
-5.7453,2004.75,1.9,2004.75,-6.227,42.2,NA,NA,NA,NA
-5.5691,2004.666667,2.1,2004.666667,-6.487,42.4,NA,NA,NA,NA
-5.3737,2004.583333,2.3,2004.583333,-6.505,42.7,NA,NA,NA,NA
-5.2313,2004.5,2.6,2004.5,-6.41,42.9,NA,NA,NA,NA
-5.2867,2004.416667,2.8,2004.416667,-6.344,43.2,NA,NA,NA,NA
-5.2983,2004.333333,3.1,2004.333333,-6.292,43.4,NA,NA,NA,NA
-4.5281,2004.25,5.2,2004.25,-5.524,45.2,NA,NA,NA,NA
-4.6678,2004.166667,7.3,2004.166667,-5.545,46.7,NA,NA,NA,NA
-5.0485,2004.083333,9.4,2004.083333,-5.149,47.9,NA,NA,NA,NA
-5.1865,2004,10.3,2004,-5.216,48.7,NA,NA,NA,NA
-5.4761,2003.916667,11.2,2003.916667,-5.586,49.4,NA,NA,NA,NA
-5.4669,2003.833333,11.7,2003.833333,-5.422,50,NA,NA,NA,NA
-5.4404,2003.75,12,2003.75,-6.388,50.5,NA,NA,NA,NA
-5.5362,2003.666667,12.2,2003.666667,-6.329,51,NA,NA,NA,NA
-5.6385,2003.583333,12.4,2003.583333,-6.269,52,NA,NA,NA,NA
-5.6483,2003.5,12.7,2003.5,-5.957,53,NA,NA,NA,NA
-5.6094,2003.416667,12.9,2003.416667,-6.447,54,NA,NA,NA,NA
-5.4305,2003.333333,13.3,2003.333333,-5.918,54.9,NA,NA,NA,NA
-5.0635,2003.25,14.2,2003.25,-5.817,55.9,NA,NA,NA,NA
-4.7026,2003.166667,15.1,2003.166667,-5.598,56.8,NA,NA,NA,NA
-4.307,2003.083333,16,2003.083333,-5.578,57.5,NA,NA,NA,NA
-4.2218,2003,16.5,2003,-5.534,58,NA,NA,NA,NA
