d18O (permil),year (AD),depth (cm),dD (permil),deuteriumExcess (permil)
-14.98,1977,NA,-114,5.9
-14.39,1976,NA,-108.1,7
-13.42,1975,NA,-101.3,6
-14.04,1974,NA,-103.6,8.7
-14,1973,NA,-104.5,7.5
-13.9,1972,NA,-104.3,6.9
-14.24,1971,NA,-107.4,6.6
-14.19,1970,NA,-106.1,7.4
-14.32,1969,NA,-106.9,7.7
-14.09,1968,NA,-106.9,5.8
-14.43,1967,NA,-108.2,7.2
-16.33,1966,NA,-123.7,6.9
-15.72,1965,NA,-118.8,7
-12.68,1964,NA,-97.2,4.3
-12.64,1963,NA,-96,5.1
-13.7,1962,NA,-101.9,7.7
-14.68,1961,NA,-110.6,6.8
-13.73,1960,NA,-103.2,6.7
-13.59,1959,NA,-101.5,7.2
-13.89,1958,NA,-104.1,7
-13.8,1957,NA,-102.4,8
-14.26,1956,NA,-107.8,6.3
-13.83,1955,NA,-102.1,8.5
-14.07,1954,NA,-102.2,10.4
-14.23,1953,NA,-104.8,9
-13.8,1952,NA,-102.3,8.1
-14.12,1951,NA,-104.4,8.5
-13.68,1950,NA,-101,8.5
-13.01,1949,NA,-96.9,7.2
-13.31,1948,NA,-98.1,8.4
-13.5,1947,NA,-99.4,8.6
-12.66,1946,NA,-96.7,4.6
-12.21,1945,NA,-96.5,1.1
-12.32,1944,NA,-94.5,4.1
-12.04,1943,NA,-95.3,1.1
-12.21,1942,NA,-96.4,1.3
-12.52,1941,NA,-98.9,1.2
-12.38,1940,NA,-96.8,2.3
-13.8,1939,NA,-101.6,8.8
-13.11,1938,NA,-100.6,4.2
-13.62,1937,NA,-100.2,8.7
-14.46,1936,NA,-106.1,9.6
-14.16,1935,NA,-102.3,11
-15.61,1934,NA,-114,10.9
-14.48,1933,NA,-105.2,10.7
-14.9,1932,NA,-108.6,10.6
-15.29,1931,NA,-112.1,10.2
-14.9,1930,NA,-108.6,10.6
-14.36,1929,NA,-104.9,10
-14.17,1928,NA,-104.1,9.2
-14.5,1927,NA,-107.7,8.3
-15.02,1926,NA,-110.2,9.9
-15.2,1925,NA,-111.1,10.5
-15.62,1924,NA,-115.8,9.1
-15.65,1923,NA,-115.1,10.1
-15.61,1922,NA,-116,8.9
-15.68,1921,NA,-115.9,9.5
-15.08,1920,NA,-110.5,10.2
-15.2,1919,NA,-111.1,10.5
-15.15,1918,NA,-110.2,11.1
-14.71,1917,NA,-108.5,9.2
-14.61,1916,NA,-108.1,8.7
-15.31,1915,NA,-113.1,9.4
-14.9,1914,NA,-109,10.2
-14.96,1913,NA,-110,9.7
-14.61,1912,NA,-108.8,8.1
-14.78,1911,NA,-110,8.2
-15.43,1910,NA,-115.2,8.2
-15.29,1909,NA,-113.4,8.9
-15.29,1908,NA,-113.4,8.9
-15.68,1907,NA,-116.7,8.7
-16.43,1906,NA,-120.1,11.3
-16.02,1905,NA,-118.2,10
-15.82,1904,NA,-116.8,9.8
-15.55,1903,NA,-114.9,9.5
-16.12,1902,NA,-119.4,9.6
-16.81,1901,NA,-124.3,10.2
-16.03,1900,NA,-118.1,10.1
-15.69,1899,NA,-116.1,9.4
-15.94,1898,NA,-118.9,8.7
-14.86,1897,NA,-110.3,8.5
-15.25,1896,NA,-113.9,8.1
