d18O (permil),year (AD),d18OUncertainty (permil),d18O (permil) [1-2],year (AD) [1-2],count_analyses_B3 () [1-2],d18OUncertainty (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],count_analyses_C2 () [1-3],d18O (permil) [1-4],year (AD) [1-4],count_analyses_C3 () [1-4],d18O (permil) [1-5],year (AD) [1-5],count_analyses_C5 () [1-5],notes_C5 () [1-5],d18O (permil) [1-6],year (AD) [1-6],count_analyses_C6 () [1-6],d18O (permil) [1-6]
-6.1,2010,NA,-6.06,1990,2,0.1,-5.05,-7980,1,-4.74,-18530,1,-5.12,-8100,1,NA,0.02,-9830,2,-4.86
-6.17,1910,0.09,-6.35,1960,2,0.02,-5.11,-8040,1,-5.06,-18610,1,-5,-8130,1,NA,0,-9940,2,-4.62
-6,1810,0.1,-6.25,1900,2,0.05,-5.07,-8110,1,-4.94,-18690,1,-5,-8170,1,NA,0.01,-10050,2,-4.86
-6.02,1710,0.01,-6.17,1850,2,0.04,-4.76,-8180,1,-5.17,-18760,1,-4.94,-8210,1,NA,0.02,-10150,2,-4.88
-6.41,1610,0.07,-6.08,1790,2,0.01,-4.95,-8260,1,-5.05,-18840,1,-4.8,-8250,1,NA,0.02,-10250,2,-4.92
-6.36,1510,0.14,-6.02,1740,2,0.01,-4.69,-8330,1,-5.26,-18920,1,-4.93,-8290,1,NA,0.04,-10330,2,-5
-6.18,1410,0.12,-6.04,1690,2,0.01,-4.73,-8410,1,-5.14,-18990,1,-4.97,-8330,1,NA,0.01,-10400,2,-4.78
-6.32,1310,0.25,-6.24,1630,2,0.06,-4.57,-8480,1,-4.59,-19070,1,-4.9,-8370,1,NA,0.02,-10420,2,-4.78
-6.17,1210,0.13,-6.61,1560,2,0.06,-4.52,-8550,1,-4.79,-19150,1,-4.72,-8410,1,NA,0.04,-10470,3,-4.92
-6.15,1110,0.15,-6.39,1460,2,0.01,-4.42,-8630,1,-5.31,-19220,1,-4.8,-8450,1,NA,0,-10520,2,-5.06
-6.06,1010,0.23,-6.23,1370,2,0.01,-4.42,-8660,1,-4.92,-19300,1,-4.79,-8500,1,NA,0.01,-10570,2,-4.94
-6.27,910,0.2,-5.98,1280,2,0.01,-4.29,-8680,1,-5.22,-19380,1,-4.7,-8540,1,NA,0.01,-10620,2,-4.93
-6.22,810,0.14,-6.06,1190,2,0.04,-4.43,-8690,1,-5.33,-19450,1,-4.9,-8580,1,NA,0.01,-10660,2,-4.93
-6.1,710,0,-5.98,1090,2,0.03,-4.76,-8710,1,-5.04,-19530,1,-4.67,-8620,1,NA,0,-10710,2,-5
-6.09,610,0,-5.82,1010,2,0.02,-4.7,-8720,1,-5.15,-19610,1,-4.85,-8660,1,NA,0.04,-10760,2,-4.87
-6.01,510,0.01,-6.04,930,2,0.01,-4.63,-8740,1,-5.24,-19680,1,-4.63,-8700,1,NA,0,-10810,2,-4.9
-6.05,410,0.05,-6.14,860,2,0.08,-4.54,-8750,1,-5.09,-19760,1,-4.68,-8740,1,NA,0.01,-10860,2,-4.92
-6.28,310,0.06,-6.04,780,2,0.04,-4.81,-8770,1,-4.98,-19840,1,-4.63,-8780,1,NA,0,-10900,2,-4.82
-6.56,210,0.19,-6.11,700,2,0.01,-4.51,-8780,1,-5.01,-19910,1,-4.54,-8820,1,NA,0.04,-10940,2,-4.69
-6.45,110,0.16,-6.08,630,2,0,-4.31,-8800,1,-5.24,-19990,1,-4.68,-8880,1,NA,0.01,-10970,2,-4.6
-6.41,10,0.16,-6.1,550,2,0,-4.44,-8810,1,-5.23,-20070,1,-4.56,-8940,1,NA,0.01,-11000,2,-4.66
-6.38,-90,0.04,-5.96,480,2,0.01,-4.39,-8830,1,-5.27,-20140,1,-4.69,-9000,1,NA,0.01,-11080,2,-4.66
-6.41,-190,0.21,-6.1,410,2,0.03,-4.37,-8840,1,-5.18,-20220,1,-4.41,-9170,1,NA,0.03,-11150,3,-4.55
-6.22,-290,0.07,-6.29,340,2,0,-4.47,-8860,1,-5.18,-20290,1,-4.41,-9230,1,NA,0.01,-11230,2,-4.52
-6.22,-390,0.12,-6.4,270,2,0.03,-4.38,-8900,1,-5.05,-20360,1,-4.47,-9290,1,NA,0,-11310,2,-4.52
-6.21,-490,0.13,-6.37,200,2,0.01,-4.23,-8950,1,-5.13,-20440,1,-4.32,-9360,1,NA,0.05,-11390,3,-4.58
-6.28,-590,0.12,-6.27,130,2,0.02,-4.23,-9000,1,-4.75,-20510,1,-4.26,-9420,1,NA,0,-11470,2,-4.63
-6.09,-690,0.08,-6.32,60,2,0.01,-4.19,-9050,1,-5.09,-20590,1,-4.34,-9480,1,NA,0,-11550,2,-4.59
-6.12,-790,0.03,-6.23,-10,2,0.04,-4.22,-9100,1,-5.33,-20660,1,-4.57,-9540,1,NA,0.01,-11630,2,-4.51
-6.05,-890,NA,-6.31,-70,2,0.04,-4.28,-9160,1,-5.04,-20740,1,-4.65,-9630,1,NA,0.02,-11710,2,-4.52
-6.07,-990,NA,-6.37,-120,2,0.04,-4.15,-9210,1,-4.9,-20810,1,-4.69,-9740,1,NA,0.01,-11790,2,-4.64
-6.13,-1090,NA,-6.23,-180,3,0.01,-4.27,-9260,1,-4.93,-20890,1,-4.91,-9850,1,NA,0.01,-11870,2,-4.61
-6.23,-1190,NA,-5.97,-250,2,0.01,-4.18,-9310,1,-5.1,-20960,1,-4.83,-9950,1,NA,0.01,-11940,2,-4.54
-6.06,-1290,NA,-6.32,-330,2,0.01,-4.33,-9360,1,-4.9,-21040,1,-4.86,-10060,1,NA,0,-12020,2,-4.59
-6.03,-1390,NA,-6.35,-420,2,0.01,-4.44,-9410,1,-4.99,-21110,1,-4.77,-10170,1,NA,0.04,-12100,2,-4.68
-6.02,-1490,NA,-6.04,-500,2,0.01,-4.57,-9470,1,-5.06,-21190,1,-4.85,-10280,1,NA,0.01,-12180,2,-4.48
-6.05,-1590,NA,-6.16,-590,2,0.01,-4.67,-9520,1,-4.97,-21260,1,-4.71,-10390,1,NA,0.02,-12260,2,-4.64
-6.11,-1690,0.07,-6.14,-670,2,0.05,-4.57,-9570,1,-4.91,-21340,1,-4.69,-10500,1,NA,0.03,-12340,2,-4.54
-6.09,-1790,0.15,-5.99,-690,2,0.03,-4.66,-9620,1,-4.76,-21410,1,-4.86,-10610,1,NA,0.01,-12420,2,-4.55
-6.09,-1890,0.22,-6.13,-750,2,0.03,-4.55,-9670,1,-5.49,-21480,1,-4.79,-10720,1,NA,0.01,-12500,2,-4.44
-6.39,-1990,0.03,-6.05,-840,2,0.02,-4.41,-9720,1,-5.09,-21520,1,-4.78,-10830,1,NA,0.03,-12810,3,-4.84
-6.38,-2090,0.02,-6.04,-940,2,0.04,-4.6,-9780,1,-4.19,-23970,1,-4.72,-10910,1,NA,0.01,-13090,2,-4.69
-5.98,-2190,0.29,-6.11,-1070,2,0.01,-5.12,-9830,1,-4.03,-24120,1,-4.6,-10970,1,NA,0.01,-13120,2,-4.91
-6.09,-2290,0.08,-6.23,-1190,2,0,-4.47,-9880,1,-4.15,-24280,1,-4.58,-11040,1,NA,NA,-13120,1,-4.93
-6.05,-2390,0.15,-6.02,-1310,2,0.01,-4.86,-9930,1,-4.25,-24430,1,-4.67,-11100,1,NA,NA,-13290,1,-5.02
-6.08,-2490,0.12,-6.03,-1430,2,0.03,-4.89,-9980,1,-4.49,-24580,1,-4.67,-11160,1,NA,NA,-13520,1,-5.18
-5.87,-2590,0.28,-6.02,-1540,2,0.01,-4.58,-10030,1,-4.52,-24740,1,-4.59,-11230,1,NA,NA,-13750,1,-5
-6.03,-2690,0.04,-6.07,-1630,2,0.01,-4.49,-10070,1,-4.36,-24890,1,-4.56,-11290,1,NA,NA,-13970,1,-4.99
-5.89,-2790,0.11,-6.23,-1720,2,0.01,-4.6,-10110,1,-4.33,-25050,1,-4.61,-11360,1,NA,NA,-14200,1,-5.17
-5.96,-2890,0.23,-6.25,-1820,2,0.03,-4.46,-10150,1,-4.33,-25200,1,-4.5,-11420,1,NA,NA,-14430,1,-5.24
-5.84,-2990,0.31,-6.32,-1910,2,0.03,-4.64,-10190,1,-4.34,-25350,1,-4.67,-11480,1,NA,NA,-14480,1,-5.19
-5.99,-3090,0.23,-6.36,-2000,2,0.02,-4.79,-10460,1,-4.45,-25510,1,-4.59,-11550,1,NA,NA,-14530,1,-5.13
-5.91,-3190,0.24,-6.4,-2090,2,0.01,-4.9,-10620,1,-4.22,-25660,1,-4.48,-11610,1,NA,NA,-14590,1,-5.22
-6.05,-3290,0.25,-6.26,-2200,2,0.01,-4.72,-10770,1,-4.06,-25820,1,-4.54,-11670,1,NA,0.14,-14640,2,-5.25
-6.03,-3390,0.22,-6.14,-2310,2,0.01,-4.66,-10960,1,NA,NA,NA,-4.48,-11740,1,NA,NA,-14690,1,-5.09
-6.08,-3490,0.12,-6.23,-2430,2,0.05,-4.65,-11030,1,NA,NA,NA,-4.43,-12360,1,NA,NA,-14740,1,-5.26
-6.05,-3590,0.17,-6.17,-2540,2,0.01,-4.69,-11100,1,NA,NA,NA,-4.45,-12450,1,NA,NA,-14800,1,-5.25
-6.28,-3690,0.03,-6.11,-2650,2,0.02,-4.78,-11180,1,NA,NA,NA,-4.56,-12550,1,NA,NA,-14860,1,-5.2
-6.38,-3790,0.04,-6,-2760,2,0.01,-4.62,-11250,1,NA,NA,NA,-4.49,-12640,1,NA,NA,-14930,1,-5.43
-6.27,-3890,0.07,-5.99,-2850,2,0.01,-4.41,-11320,1,NA,NA,NA,-4.95,-12740,1,NA,NA,-15000,1,-5.5
-6.18,-3990,0.02,-6.25,-2900,2,0.05,-4.62,-11390,1,NA,NA,NA,-4.96,-12830,1,NA,NA,-15070,1,-5.55
-6.37,-4090,0.12,-6.16,-2960,2,0.03,-4.55,-11460,1,NA,NA,NA,-4.89,-12930,1,NA,NA,-15130,1,-5.49
-6.15,-4190,0.04,-6.15,-3000,2,0.01,-4.4,-11540,1,NA,NA,NA,-4.86,-13050,1,NA,NA,-15200,1,-5.48
