d18O (permil),year (AD),depth (m)
-27.36,1940,NA
-26.99,1920,NA
-27.17,1900,NA
-27.8,1880,NA
-28.49,1860,NA
-27.96,1840,NA
-27.99,1820,NA
-28.07,1800,NA
-27.8,1780,NA
-27.62,1760,NA
-28.34,1740,NA
-27.82,1720,NA
-28.76,1700,NA
-28.6,1680,NA
-27.83,1660,NA
-28.17,1640,NA
-27.7,1620,NA
-28.06,1600,NA
-27.85,1580,NA
-28.34,1560,NA
-27.71,1540,NA
-28.07,1520,NA
-28.19,1500,NA
-27.94,1480,NA
-27.19,1460,NA
-27.49,1440,NA
-27.85,1420,NA
-28.06,1400,NA
-27.75,1380,NA
-27.6,1360,NA
-27.97,1340,NA
-28.43,1320,NA
-27.26,1300,NA
-28.27,1280,NA
-27.91,1260,NA
-27.99,1240,NA
-27.8,1220,NA
-28.18,1200,NA
-27.37,1180,NA
-28.12,1160,NA
-26.74,1140,NA
-27.28,1120,NA
-27.92,1100,NA
-28.25,1080,NA
-27.76,1060,NA
-27.48,1040,NA
-27.69,1020,NA
-27.82,1000,NA
-27.61,980,NA
-27.4,960,NA
-27.85,940,NA
-27.03,920,NA
-28,900,NA
-27.32,880,NA
-26.8,860,NA
-27.09,840,NA
-28.03,820,NA
-27.29,800,NA
-26.97,780,NA
-27.76,760,NA
-27.53,740,NA
-28.15,720,NA
-27.55,700,NA
-26.48,680,NA
-26.85,660,NA
-27.67,640,NA
-28.01,620,NA
-27.88,600,NA
-27.58,580,NA
-28.05,560,NA
-27.61,540,NA
-27.86,520,NA
-27.6,500,NA
-27.6,480,NA
-27.25,460,NA
-27.2,440,NA
-27.11,420,NA
-27,400,NA
-27.71,380,NA
-27.46,360,NA
-27.65,340,NA
-27.17,320,NA
-27.41,300,NA
-27.23,280,NA
-27.29,260,NA
-26.51,240,NA
-27.19,220,NA
-26.9,200,NA
-27.08,180,NA
-27.59,160,NA
-28.22,140,NA
-27.56,120,NA
-27.18,100,NA
-27.43,80,NA
-27.74,60,NA
-27.76,40,NA
-29,20,NA
-27.31,0,NA
-27.56,-20,NA
-26.73,-40,NA
-27.3,-60,NA
-26.54,-80,NA
-27.33,-100,NA
-27.39,-120,NA
-27.75,-140,NA
-27.72,-160,NA
-27,-180,NA
-27.32,-200,NA
-27.79,-220,NA
-27.39,-240,NA
-27.83,-260,NA
-27.94,-280,NA
-28.11,-300,NA
-28.16,-320,NA
-26.51,-340,NA
-26.49,-360,NA
-26.87,-380,NA
-27.08,-400,NA
-27.16,-420,NA
-27.18,-440,NA
-27.22,-460,NA
-27.21,-480,NA
-27.41,-500,NA
-26.78,-520,NA
-27.07,-540,NA
-26.69,-560,NA
-27.26,-580,NA
-27.9,-600,NA
-28.33,-620,NA
-28.72,-640,NA
-27.57,-660,NA
-28.54,-680,NA
-27.25,-700,NA
-27.1,-720,NA
-27.05,-740,NA
-26.56,-760,NA
-26.55,-780,NA
-27.79,-800,NA
-27.17,-820,NA
-27.53,-840,NA
-27.81,-860,NA
-26.95,-880,NA
-26.71,-900,NA
-27.02,-920,NA
-26.53,-940,NA
-26.79,-960,NA
-26.5,-980,NA
-27.22,-1000,NA
-27.22,-1020,NA
-26.69,-1040,NA
-27.45,-1060,NA
-25.87,-1080,NA
-27.36,-1100,NA
-27.53,-1120,NA
-27.61,-1140,NA
-26.31,-1160,NA
-26.98,-1180,NA
-26.82,-1200,NA
-26.7,-1220,NA
-26.2,-1240,NA
-27.25,-1260,NA
-26.99,-1280,NA
-26.83,-1300,NA
-26.78,-1320,NA
-27.61,-1340,NA
-27.56,-1360,NA
-26.55,-1380,NA
-27.86,-1400,NA
-27.16,-1420,NA
-27.38,-1440,NA
-26.66,-1460,NA
-26.55,-1480,NA
-26.72,-1500,NA
-27.27,-1520,NA
-27.23,-1540,NA
-27.6,-1560,NA
-27.2,-1580,NA
-26.71,-1600,NA
-26.93,-1620,NA
-28.05,-1640,NA
-27.88,-1660,NA
-27.45,-1680,NA
-27.18,-1700,NA
-26.98,-1720,NA
-26.76,-1740,NA
-26.88,-1760,NA
-27.73,-1780,NA
-27.58,-1800,NA
-27.37,-1820,NA
-27.39,-1840,NA
-27.42,-1860,NA
-27.22,-1880,NA
-27.07,-1900,NA
-27.18,-1920,NA
-27.24,-1940,NA
-27.23,-1960,NA
-27.23,-1980,NA
-27.29,-2000,NA
-27.3,-2020,NA
-27.16,-2040,NA
-27.15,-2060,NA
-27.14,-2080,NA
-27.13,-2100,NA
-27.14,-2120,NA
-27.15,-2140,NA
-27.01,-2160,NA
-26.2,-2180,NA
-26.35,-2200,NA
-26.5,-2220,NA
-26.91,-2240,NA
-26.89,-2260,NA
-26.92,-2280,NA
-27.44,-2300,NA
-27.84,-2320,NA
-28.07,-2340,NA
-26.96,-2360,NA
-27.09,-2380,NA
-27.21,-2400,NA
-27.12,-2420,NA
-27.2,-2440,NA
-27.27,-2460,NA
-27.19,-2480,NA
-27.46,-2500,NA
-27.63,-2520,NA
-26.73,-2540,NA
-27,-2560,NA
-27.2,-2580,NA
-26.57,-2600,NA
-26.75,-2620,NA
-26.93,-2640,NA
-26.87,-2660,NA
-26.94,-2680,NA
-27.1,-2700,NA
-26.57,-2720,NA
-25.68,-2740,NA
-26.01,-2760,NA
-26.52,-2780,NA
-26.76,-2800,NA
-27.13,-2820,NA
-27.13,-2840,NA
-27.14,-2860,NA
-27.26,-2880,NA
-27.56,-2900,NA
-26.99,-2920,NA
-26.32,-2940,NA
-26.59,-2960,NA
-26.69,-2980,NA
-25.97,-3000,NA
-26.1,-3020,NA
-26.71,-3040,NA
-26.72,-3060,NA
-26.74,-3080,NA
-26.75,-3100,NA
-26.75,-3120,NA
-26.84,-3140,NA
-26.95,-3160,NA
-27.04,-3180,NA
-26.55,-3200,NA
-26.35,-3220,NA
-26.33,-3240,NA
-26.48,-3260,NA
-26.7,-3280,NA
-26.93,-3300,NA
-27.01,-3320,NA
-26.65,-3340,NA
-26.88,-3360,NA
-27.02,-3380,NA
-27.15,-3400,NA
-26.91,-3420,NA
-26.62,-3440,NA
-26.3,-3460,NA
-26.43,-3480,NA
-26.49,-3500,NA
-26.53,-3520,NA
-25.94,-3540,NA
-26.15,-3560,NA
-26.56,-3580,NA
-26.96,-3600,NA
-26.72,-3620,NA
-26.37,-3640,NA
-26.53,-3660,NA
-26.54,-3680,NA
-26.55,-3700,NA
-26.62,-3720,NA
-26.59,-3740,NA
-26.21,-3760,NA
-25.91,-3780,NA
-25.78,-3800,NA
-26.55,-3820,NA
-26.7,-3840,NA
-26.99,-3860,NA
-26.77,-3880,NA
-26.56,-3900,NA
-26.22,-3920,NA
-26.3,-3940,NA
-26.41,-3960,NA
-26.63,-3980,NA
-27.2,-4000,NA
-27.38,-4020,NA
-26.34,-4040,NA
-26.33,-4060,NA
-26.29,-4080,NA
-26.82,-4100,NA
-27.26,-4120,NA
-26.42,-4140,NA
-26.27,-4160,NA
-27.12,-4180,NA
-27.1,-4200,NA
-27.03,-4220,NA
-26.59,-4240,NA
-26.13,-4260,NA
-26.34,-4280,NA
-26.44,-4300,NA
-26.72,-4320,NA
-26.74,-4340,NA
-26.3,-4360,NA
-25.99,-4380,NA
-26.14,-4400,NA
-26.15,-4420,NA
-26.49,-4440,NA
-26.65,-4460,NA
-26.05,-4480,NA
-26.04,-4500,NA
-26.16,-4520,NA
-26.23,-4540,NA
-26.51,-4560,NA
-26.87,-4580,NA
-26.72,-4600,NA
-26.16,-4620,NA
-26.25,-4640,NA
-26.93,-4660,NA
-26.81,-4680,NA
-25.96,-4700,NA
-26.57,-4720,NA
-26.01,-4740,NA
-26.56,-4760,NA
-26.69,-4780,NA
-26.19,-4800,NA
-25.85,-4820,NA
-26.08,-4840,NA
-26.13,-4860,NA
-26.22,-4880,NA
-26.09,-4900,NA
-26.13,-4920,NA
-26.11,-4940,NA
-25.94,-4960,NA
-26.55,-4980,NA
-27.2,-5000,NA
-27.13,-5020,NA
-26.77,-5040,NA
-26.61,-5060,NA
-26.65,-5080,NA
-25.47,-5100,NA
-26.69,-5120,NA
-26.89,-5140,NA
-26.89,-5160,NA
-26.68,-5180,NA
-25.32,-5200,NA
-27.02,-5220,NA
-27.02,-5240,NA
-26.25,-5260,NA
-26.19,-5280,NA
-26.3,-5300,NA
-26.12,-5320,NA
-25.86,-5340,NA
-25.96,-5360,NA
-26.91,-5380,NA
-26.9,-5400,NA
-25.84,-5420,NA
-26.16,-5440,NA
-26.63,-5460,NA
-27.39,-5480,NA
-26.3,-5500,NA
-26.03,-5520,NA
-25.86,-5540,NA
-26.53,-5560,NA
-26.38,-5580,NA
-26.19,-5600,NA
-26.47,-5620,NA
-26.64,-5640,NA
-26.59,-5660,NA
-26.28,-5680,NA
-27.06,-5700,NA
-26.72,-5720,NA
-26.34,-5740,NA
-25.56,-5760,NA
-25.55,-5780,NA
-26.04,-5800,NA
-26.18,-5820,NA
-25.61,-5840,NA
-25.1,-5860,NA
-25.64,-5880,NA
-26,-5900,NA
-26.08,-5920,NA
