d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-6.935,1928,3,-6.912,1850,6
-6.945,1925,4,-7.13725,1846,9
-7.13,1922,5,-7.21812,1842,12
-7.152,1919,6,-7.18144,1838,15
-7.017,1916,7,-6.97929,1833,18
-6.978,1913,8,-7.06475,1829,21
-7.108,1910,9,-7.4022,1825,24
-7.091,1907,1,-7.2012,1821,27
-7.059,1904,11,NA,1817,3
-7.066,1901,12,-6.96375,1813,33
-7.015,1897,13,-6.93978,1809,36
-7.167,1894,14,-7.17087,1805,39
-7.046,1891,15,-7.28544,1800,42
-7.159,1888,16,-6.89689,1796,45
-7.169,1885,17,-7.29478,1792,48
-7.092,1882,18,-7.1821,1788,51
-7.104,1879,19,-7.31888,1784,54
-6.889,1876,2,-7.28271,1780,57
-6.957,1873,21,NA,1774,6
-6.982,1870,23,-6.87714,1771,63
-6.851,1867,24,-6.64186,1766,66
-6.922,1864,25,-8.08889,1761,69
-6.959,1861,27,-7.4375,1755,72
-7.002,1858,28,-7.09833,1750,75
-6.972,1855,29,-7.52975,1744,78
-6.971,1852,31,-7.588,1739,81
-7.06,1849,32,NA,1733,84
-7.123,1846,34,-7.3347,1728,87
-6.98,1842,35,-7.06629,1723,9
-7.064,1839,36,NA,1717,93
-7.029,1836,38,-7.049,1712,96
-7.089,1833,39,-7.27144,1706,99
-7,1830,4,-6,1701,102
-7.026,1827,42,-7.079,1695,105
-7.136,1824,43,-7.2732,1690,108
-7.005,1821,44,-6.90038,1685,111
-7.072,1818,46,NA,1679,114
-7.132,1815,47,-7.4682,1674,117
-7.073,1812,48,-7.094,1668,12
-7.07,1809,5,-7.41167,1663,123
-6.975,1806,51,-7.30278,1657,126
-7.44,1803,52,-6.94186,1652,129
-6.798,1800,54,NA,1646,132
-6.9,1797,55,-6.987,1641,135
-6.902,1794,56,-7.2136,1636,138
-6.939,1790,58,-7.3438,1630,141
-7.022,1787,59,-7.344,1625,144
-6.974,1784,6,-7.10063,1619,147
-7.176,1782,61,-7.28229,1614,15
-7.005,1780,62,-7.66137,1608,153
-7.038,1778,63,NA,1603,156
-7.071,1775,64,-6.9384,1598,159
-7.133,1773,64,-7.50357,1592,162
-7.101,1771,65,-7.21333,1587,165
-7.008,1768,66,-7.52567,1581,168
-6.947,1766,67,-7.3691,1576,171
-6.987,1764,68,-7.1902,1570,174
-7.064,1762,69,-7.35056,1565,177
-6.975,1759,69,-7.3376,1559,18
-6.991,1757,7,-7.59771,1554,183
-6.999,1755,71,-7.22063,1549,186
-6.976,1753,72,-7.56,1543,189
-7.043,1750,73,-7.31433,1538,192
-7.294,1748,73,-7.28,1532,195
-7.049,1746,74,-7.41314,1527,198
-7.324,1744,75,-7.45456,1521,201
-7.433,1741,76,-7.45944,1516,204
-7.324,1739,77,NA,1511,207
-7.171,1737,77,-7.31478,1505,21
-7.037,1734,78,-7.13144,1502,213
-6.977,1732,79,-7.1522,1498,216
-7.058,1730,8,-7.4274,1495,219
-7.107,1728,81,-7.65657,1491,222
-7.25,1725,81,-7.29722,1488,225
-7.171,1723,82,-7.65289,1485,228
-7.06,1721,83,-7.22989,1481,231
-7.123,1719,84,-7.58622,1478,234
-7.154,1716,85,-7.33743,1474,237
-7.268,1714,85,-7.28056,1471,24
-7.331,1712,86,-7.62344,1468,243
-7.165,1709,87,-7.19775,1464,246
-7.151,1707,88,-7.444,1461,249
-7.136,1705,89,-7.58733,1457,252
-7.041,1703,89,-7.291,1454,255
-7.124,1700,9,-7.308,1451,258
-7.175,1698,91,-7.47938,1447,261
-7.042,1696,92,-7.2431,1444,264
-7.192,1694,93,-7.3099,1440,267
-7.175,1691,93,-7.05544,1437,27
-7.268,1689,94,-7.4074,1434,273
-7.067,1687,95,-7.4101,1430,276
-7.159,1684,96,-7.41075,1427,279
-7.261,1682,97,-7.29778,1423,282
-7.146,1680,97,-7.60675,1420,285
-7.259,1678,98,-7.2095,1417,288
-7.13,1675,99,-7.24656,1413,291
-6.79,1673,1,-7.00475,1410,294
-7.103,1671,101,-7.30962,1406,297
-7.01,1664,103,-6.96378,1403,3
-7.413,1658,106,-7.03722,1400,303
-7.15,1651,108,-7.20263,1396,306
NA,1645,111,NA,1393,309
-7.168,1638,113,-7.13017,1389,312
-6.746,1632,116,-7.046,1386,315
-7.208,1625,118,-6.94775,1383,318
-7.07,1619,121,-7.28178,1379,321
-7.004,1613,123,-6.99344,1376,324
-7.046,1606,126,-6.84133,1372,327
-7.167,1600,128,-7.0116,1369,33
-7.155,1593,131,-7.20533,1366,333
