d18O (permil),year (AD),d13C (permil),d18O (permil) [1-2],year (AD) [1-2],d13C (permil) [1-2]
-4.93,1260,-4.59,-2.42,-1598,-4.66
-5.24,1218,-4.95,-2.88,-1525,-5.01
-4.94,1204,-5.41,-2,-1489,-4.99
-5.01,1163,-4.63,-2.33,-1453,-5.07
-5.02,1135,-4.05,-2.69,-1416,-4.91
-5.06,1080,-3.28,-2.38,-1380,-5.03
-5.25,1052,-3.4,-2.16,-1344,-4.99
-5.2,1011,-4.21,-2.72,-1308,-5.05
-5.04,969,-2.83,-2.72,-1271,-5.05
-5.07,927,-3.23,-2.57,-1235,-5.07
-5,886,-2.67,-2.42,-1199,-5.04
-4.69,844,-3.71,-2.81,-1162,-5.03
-4.92,803,-3.42,-2.37,-1126,-4.89
-4.65,747,-3.34,-1.87,-1054,-4.84
-4.97,706,-4.25,-1.89,-1017,-4.98
-5,650,-3.85,-2.37,-981,-5.21
-4.78,623,-4.67,-2.28,-945,-5.06
-5.25,595,-4.05,-2.38,-909,-5.02
-5.01,540,-4.59,-1.8,-836,-5.17
-5.17,512,-4.81,-1.72,-800,-5.13
-5.11,484,-4.41,-1.53,-776,-4.45
-4.91,429,-4.68,-1.98,-764,-5.15
-4.82,373,-3.85,-2.18,-727,-4.87
-5.03,332,-3.58,-2.73,-727,-5.09
-5.18,290,-4.05,-2.37,-691,-4.98
-4.79,249,-3.93,-2.51,-691,-5.15
-5.19,207,-4.43,-1.43,-655,-4.8
-4.81,138,-3.97,-2.39,-619,-4.8
-4.98,96,-3.79,-1.75,-594,-4.6
-4.96,41,-3.81,-2.25,-582,-5.26
-4.46,-28,-3.07,-2.44,-546,-5.24
-4.76,-97,-3.14,-2.32,-546,-5.21
-4.78,-153,-4.03,-2.16,-510,-4.99
-4.76,-208,-4.53,-2.6,-498,-5.29
-5.16,-250,-3.74,-3.18,-474,-5.32
-5.06,-305,-3.86,-2.82,-437,-5.04
-4.79,-347,-3.22,-2.47,-437,-5.09
-4.84,-374,-3.47,-3.42,-401,-5.19
-4.8,-430,-3.87,-3.51,-389,-5.35
-4.9,-458,-3.26,-2.68,-365,-5.27
-4.91,-513,-3.29,-2.62,-341,-5.01
-4.77,-554,-2.63,-3.42,-316,-4.81
-4.72,-610,-2.13,-2.78,-292,-5.12
-4.87,-651,-1.98,-4.37,-232,-5.34
-4.91,-721,-1.97,-3.15,-220,-5.02
-4.95,-776,-1.57,-3.54,-159,-4.02
-5.01,-818,-1.94,-3.18,-147,-5.39
-4.66,-859,-1.8,-3.32,-87,-4.96
-4.84,-901,-1.83,-3.31,-75,-4.98
-4.5,-942,-2.06,-3.21,22,-5.14
-4.71,-998,-2.22,-3.31,46,-4.87
-4.85,-1053,-1.93,-3.3,95,-5.14
-4.98,-1095,-2.24,-4.38,143,-5.28
-4.75,-1150,-2.11,NA,NA,NA
-4.69,-1192,-2.07,NA,NA,NA
-4.9,-1233,-2.08,NA,NA,NA
-4.78,-1275,-1.67,NA,NA,NA
-4.68,-1330,-1.9,NA,NA,NA
-4.73,-1372,-2.38,NA,NA,NA
-4.62,-1427,-2.23,NA,NA,NA
-5,-1469,-3.27,NA,NA,NA
-4.86,-1496,-3.1,NA,NA,NA
-4.81,-1538,-3.4,NA,NA,NA
-4.9,-1579,-2.94,NA,NA,NA
-4.87,-1607,-2.86,NA,NA,NA
-4.57,-1649,-3.14,NA,NA,NA
