d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-6102,-198618,5,-6751,-1905513,4
-6987,-2002417,1,-6971,-1903265,2
-6841,-2001113,15,-6876,-1900455,4
-7136,-1999809,2,-6824,-1897645,6
-6968,-1998505,25,-6771,-1894835,8
-6972,-197966,3,-696,-1892025,1
-6713,-1995897,35,-6967,-1889215,12
-6899,-1994593,4,-6819,-1886405,14
-672,-1993289,45,-7041,-1883595,16
-6938,-1991985,5,-7027,-1880785,18
-6728,-197314,55,-7,-1877975,2
-6558,-1989377,6,-7076,-1875165,22
-6786,-1988073,65,-6944,-1872356,24
-7179,-1986769,7,-7282,-1869546,26
-6968,-1985465,75,-7154,-1866736,28
NA,-196662,8,-7338,-1863926,3
-6935,-1982857,85,NA,-1859430,332
-7304,-1981554,9,-7174,-1854934,364
-7037,-1980250,95,-7164,-1850438,396
-7007,-1978946,1,-7004,-1845942,428
-6912,-1977642,105,-6792,-1841446,46
-6687,-1976338,11,-697,-1836950,492
-6781,-1975034,115,-7349,-1832454,524
-6985,-1973730,12,-7559,-1827958,556
-6844,-1972426,125,-7486,-1823462,588
-681,-1971122,13,-7344,-1818967,62
-7013,-1969818,135,-7328,-1815922,642
-7018,-1968514,14,-7463,-1812878,663
-6843,-1967210,145,-7364,-1809834,685
-6917,-1965906,15,-7497,-1806790,707
-6708,-1964602,155,-7606,-1803746,728
-6743,-1963298,16,-7534,-1800702,75
-6801,-1961994,165,-7444,-1796955,777
-6754,-1960690,17,-7526,-1793209,803
NA,-1959386,175,-7801,-1789462,83
-6473,-1958082,185,-7643,-1785715,857
-6855,-1956778,195,-7518,-1781969,883
-6793,-1955474,205,-7332,-1778222,91
-6896,-1954170,215,-7208,-1774518,936
-6847,-1952866,225,-7195,-1770814,963
-6706,-1951562,235,-736,-1767110,989
-6731,-1950258,245,-8106,-1763406,1015
-6696,-1948954,255,-7613,-1759702,1042
-688,-1947650,265,-7494,-1755998,1068
-6885,-1946346,275,-757,-1752294,1095
-6887,-1945042,285,-7601,-1748590,1121
