d18O (permil),year (AD),depth (cm)
-19.78,-4529,289
-19.89,-4551,290
-19.79,-4572,291
-19.38,-4594,292
-19.94,-4616,293
-19.79,-4638,294
-19.9,-4660,295
-19.59,-4682,296
-19.52,-4704,297
-19.53,-4726,298
-19.81,-4748,299
-19.81,-4770,300
-20.07,-4792,301
-19.77,-4814,302
-19.73,-4836,303
-19.1,-4858,304
-19.45,-4880,305
-19.48,-4902,306
-19.4,-4924,307
-19.63,-4946,308
-19.62,-4968,309
-19.45,-4990,310
-19.71,-5012,311
-19.54,-5034,312
-19.75,-5056,313
-19.84,-5078,314
-19.41,-5100,315
-19.44,-5122,316
-19.42,-5144,317
-19.48,-5166,318
-19.38,-5188,319
-18.92,-5210,320
-19.57,-5232,321
-19.56,-5254,322
-18.94,-5276,323
-18.99,-5298,324
-19.59,-5320,325
-19.75,-5342,326
-19.79,-5364,327
-19.08,-5386,328
-19.35,-5408,329
-19.99,-5430,330
-19.91,-5452,331
-19.17,-5474,332
-19.59,-5496,333
-19.54,-5518,334
-18.8,-5540,335
-19.57,-5562,336
-19.64,-5606,338
