d18O (permil),year (AD),temperature (degC),depth (cm),d18O (permil),temperature (degC)
1.02,1925.2,27.54,0.75,-1.48,27.54
0.77,1875.6,26.67,1.75,-1.55,26.67
0.56,1826,25.87,2.75,-1.61,25.87
1.11,1776,27.78,3.75,-1.44,27.78
0.91,1727,27.39,4.75,-1.56,27.39
0.83,1677,26.98,5.75,-1.55,26.98
0.83,1628,26.75,6.75,-1.51,26.75
0.95,1578,27.34,7.75,-1.51,27.34
0.71,1529,26.83,8.75,-1.65,26.83
0.64,1479,27.04,9.75,-1.76,27.04
0.76,1429,26.72,10.75,-1.58,26.72
0.77,1407,26.7,11.75,-1.56,26.7
0.94,1384,27.54,12.75,-1.55,27.54
0.63,1361,26.04,13.75,-1.57,26.04
0.44,1338,26.62,14.75,-1.88,26.62
0.59,1315,26.43,15.75,-1.69,26.43
0.58,1292,26.46,16.75,-1.7,26.46
0.61,1269,26.43,17.75,-1.66,26.43
0.68,1247,26.98,18.75,-1.71,26.98
0.54,1224,26.13,19.75,-1.68,26.13
0.57,1201,26.18,20.75,-1.66,26.18
0.52,1178,26.88,21.75,-1.84,26.88
0.69,1155,27.06,22.75,-1.71,27.06
0.59,1132,25.93,23.75,-1.59,25.93
0.59,1121,27.11,24.25,-1.82,27.11
0.68,1109,26.35,24.75,-1.58,26.35
0.52,1098,26.83,25.25,-1.83,26.83
0.6,1086,26.75,25.75,-1.74,26.75
0.51,1075,26.26,26.25,-1.73,26.26
0.51,1064,26.48,26.75,-1.77,26.48
0.55,1052,26.4,27.25,-1.72,26.4
0.45,1041,26.29,27.75,-1.8,26.29
0.53,1029,26.91,28.25,-1.84,26.91
0.53,1018,26.51,28.75,-1.77,26.51
0.66,1006,26.54,29.25,-1.64,26.54
0.71,995,26.35,29.75,-1.55,26.35
