d18O (permil),year (AD),temperature (degC),Mg_Ca (mmol/mol),depth (cm),d18O (permil),temperature (degC) [2-1],year (AD) [2-1]
NA,1821,NA,NA,2.5,-3.496,27.474,1780.82
NA,1796,NA,NA,4.5,-3.36,27.4707,1757.76
-0.5265833333,1771,27.47,4.5045,6.5,-3.082,27.0606,1727.6
-0.6105833333,1745,27.47,4.5032,8.5,-3.166,27.6077,1695.07
-0.729,1720,27.06,4.34,10.5,-3.199,27.5085,1662.53
-0.5624166667,1694,27.61,4.559,12.5,-3.147,27.192,1630
-0.36825,1669,27.51,4.5185,14.5,-2.932,26.2032,1597.47
-0.4729166667,1641,27.19,4.3916,16.5,-2.97,26.9515,1564.93
-0.7461666667,1606,26.2,4.0177,18.5,-3.037,26.3115,1532.4
-0.6979166667,1570,26.95,4.2976,20.5,-3.145,27.573,1499.87
-0.60725,1535,26.31,4.057,22.5,-2.921,26.9845,1467.33
-0.50475,1500,27.57,4.4512,24.5,-3.081,27.7545,1434.8
-0.6066666667,1464,26.98,4.3104,26.5,-3.06,27.7292,1402.27
-0.51625,1429,27.75,4.6197,28.5,-3.13,26.7207,1368.45
-0.5394166667,1394,27.73,4.6092,30.5,-3.149,27.8134,1333.34
-0.7648333333,1358,26.72,4.2704,32.5,-3.164,27.6275,1298.23
-0.44675,1323,27.81,4.6442,34.5,-3.073,27.9114,1263.12
-0.50925,1288,27.63,4.5672,36.5,-3.098,27.3477,1228.01
-0.4649166667,1252,27.91,4.6853,38.5,-3.112,27.7333,1192.91
-0.6685833333,1217,27.35,4.6148,40.5,-3.199,27.5867,1157.8
-0.7384166667,1182,27.73,4.6109,42.5,-3.348,26.3595,1122.69
-0.6955833333,1146,27.59,4.5504,44.5,-3.276,27.2501,1087.58
-0.5838333333,1111,26.36,4.0746,46.5,-2.908,27.9649,1052.47
-0.5204166667,1076,27.25,4.3151,48.5,-3.03,27.471,1017.37
-0.3835,1040,27.96,4.708,50.5,-3.041,27.8242,982.26
-0.7515833333,1005,27.47,4.5033,52.5,-3.307,27.5561,947.15
-0.6466666667,970,27.82,4.6487,54.5,-3.275,28.0844,912.04
-0.6838333333,934,27.56,4.3637,56.5,-3.258,27.3852,876.94
-0.4005,899,28.08,4.7589,58.5,-3.083,26.8316,841.83
-0.45325,864,27.39,4.4686,60.5,-2.992,27.2171,806.72
-0.7549166667,828,26.83,4.2514,62.5,-3.177,27.8401,771.61
-0.5906666667,793,27.22,4.2963,64.5,-3.094,27.4669,736.5
-0.3425,758,27.84,4.6554,66.5,-2.975,26.7189,701.4
-0.4955833333,722,27.47,4.5016,68.5,-3.051,27.1446,666.29
-0.6918333333,687,26.72,4.2085,70.5,-3.091,27.0381,631.18
-0.5403333333,652,27.14,4.3028,72.5,-3.027,27.6511,596.07
-0.7411666667,616,27.04,4.3312,74.5,-3.207,27.5334,560.96
-0.5980833333,581,27.65,4.5769,76.5,-3.191,27.7437,525.86
-0.6210833333,546,27.53,4.5286,78.5,-3.189,27.5405,490.75
-0.5163333333,510,27.74,4.5396,80.5,-3.128,26.982,455.64
-0.509,475,27.54,4.5316,82.5,-3.079,27.1383,420.53
-1.049666667,440,26.98,4.3094,84.5,-3.503,26.8987,385.42
-0.7743333333,404,27.14,4.3704,86.5,-3.261,27.532,350.32
-0.5403333333,369,26.9,4.2772,88.5,-2.977,27.0581,315.21
-0.6400833333,334,27.53,4.5281,90.5,-3.208,26.6777,280.1
-0.569,298,27.06,4.339,92.5,-3.039,27.4778,244.99
-0.6951666667,263,26.68,4.193,94.5,-3.086,27.8015,209.88
-0.4985,228,27.48,4.6797,96.5,-3.056,28.118,174.78
-0.3968333333,192,27.8,4.6392,98.5,-3.021,NA,NA
NA,175,NA,NA,99.5,-3.312,NA,NA
NA,133.5,28.12,4.7733,101.5,NA,NA,NA
NA,112.75,27.44,4.4889,102.5,NA,NA,NA
NA,92,NA,NA,103.5,-2.876,NA,NA
-0.3873333333,71,27.86,4.6657,104.5,-3.024,NA,NA
NA,50,NA,NA,105.5,-3.171,NA,NA
NA,29,27.41,4.4769,106.5,NA,NA,NA
NA,8,NA,NA,107.5,-2.963,NA,NA
NA,-13,27.5,4.5145,108.5,NA,NA,NA
NA,-34,NA,NA,109.5,-2.89,NA,NA
NA,-55,27.56,4.5414,110.5,NA,NA,NA
-0.40575,-97,27.81,4.4512,112.5,-3.032,NA,NA
NA,-118,NA,NA,113.5,-3.344,NA,NA
NA,-139.5,28.06,4.7464,114.5,NA,NA,NA
NA,-161,NA,NA,115.5,-3.232,NA,NA
NA,-182,26.97,4.3037,116.5,NA,NA,NA
NA,-203,NA,NA,117.5,-3.18,NA,NA
NA,-224,27.76,4.6229,118.5,NA,NA,NA
-0.2533333333,-266,27.86,4.5193,120.5,-2.89,NA,NA
NA,-287,NA,NA,121.5,-3.038,NA,NA
NA,-308,28.3,4.8539,122.5,NA,NA,NA
NA,-329,NA,NA,123.5,-3.06,NA,NA
NA,-350,26.89,4.273,124.5,NA,NA,NA
NA,-371,NA,NA,125.5,-2.799,NA,NA
NA,-392,27.67,4.5859,126.5,NA,NA,NA
-0.28075,-434,27.69,4.3864,128.5,-2.882,NA,NA
NA,-455,NA,NA,129.5,-3.092,NA,NA
NA,-476.5,27.45,4.4937,130.5,NA,NA,NA
NA,-498,NA,NA,131.5,-3.321,NA,NA
NA,-519,27.71,4.5992,132.5,NA,NA,NA
NA,-540,NA,NA,133.5,-2.892,NA,NA
-0.3760833333,-603,27.29,4.4356,136.5,-2.894,NA,NA
NA,-624,NA,NA,137.5,-3.062,NA,NA
NA,-645,27.91,4.684,138.5,NA,NA,NA
NA,-666,NA,NA,139.5,-3.148,NA,NA
NA,-687,27.12,4.3623,140.5,NA,NA,NA
NA,-708,NA,NA,141.5,-2.8,NA,NA
NA,-729,28.05,4.7443,142.5,NA,NA,NA
-0.4543333333,-771,27.14,4.3722,144.5,-2.941,NA,NA
NA,-793,NA,NA,145.5,-2.919,NA,NA
NA,-814,27.31,4.4399,146.5,NA,NA,NA
NA,-835,NA,NA,147.5,-2.845,NA,NA
NA,-856,28.12,4.7753,148.5,NA,NA,NA
NA,-877,NA,NA,149.5,-3.155,NA,NA
-0.2651666667,-940,27.28,4.4272,152.5,-2.781,NA,NA
NA,-961,NA,NA,153.5,-2.787,NA,NA
NA,-982,27.96,4.7072,154.5,NA,NA,NA
NA,-1003,NA,NA,155.5,-3.127,NA,NA
NA,-1024,27.49,4.51,156.5,NA,NA,NA
NA,-1045,NA,NA,157.5,-2.803,NA,NA
NA,-1066.333333,27.32,4.4423,158.5,NA,NA,NA
-0.599,-1109,27.42,4.3222,160.5,-3.144,NA,NA
NA,-1130,NA,NA,161.5,-2.913,NA,NA
NA,-1151,27.11,4.3598,162.5,NA,NA,NA
NA,-1172,NA,NA,163.5,-2.94,NA,NA
NA,-1193,27.76,4.6224,164.5,NA,NA,NA
NA,-1214,NA,NA,165.5,-3.425,NA,NA
NA,-1235,27.38,4.4681,166.5,NA,NA,NA
-0.4856666667,-1277,27.34,4.5756,168.5,-3.014,NA,NA
NA,-1298,NA,NA,169.5,-3.009,NA,NA
NA,-1319,27.9,4.6792,170.5,NA,NA,NA
NA,-1340,NA,NA,171.5,-2.84,NA,NA
NA,-1361,27.24,4.41,172.5,NA,NA,NA
NA,-1382,NA,NA,173.5,-3.187,NA,NA
NA,-1403.333333,27.96,4.707,174.5,NA,NA,NA
-0.42525,-1446,27.75,4.955,176.5,-3.039,NA,NA
NA,-1467,NA,NA,177.5,-2.882,NA,NA
NA,-1488,27.56,4.6544,178.5,NA,NA,NA
NA,-1509,NA,NA,179.5,-2.963,NA,NA
NA,-1530,27.46,4.4976,180.5,NA,NA,NA
NA,-1551,NA,NA,181.5,-2.899,NA,NA
NA,-1572,27.87,4.6755,182.5,NA,NA,NA
-0.5070833333,-1614,27.65,4.6988,184.5,-3.1,NA,NA
NA,-1635,NA,NA,185.5,-2.919,NA,NA
NA,-1656,27.39,4.4705,186.5,NA,NA,NA
NA,-1677,NA,NA,187.5,-3.153,NA,NA
NA,-1698,28.66,5.01,188.5,NA,NA,NA
NA,-1719,NA,NA,189.5,-3.179,NA,NA
NA,-1740.333333,27.81,4.6429,190.5,NA,NA,NA
-0.5605833333,-1783,27.71,4.6867,192.5,-3.166,NA,NA
NA,-1804,NA,NA,193.5,-3.001,NA,NA
NA,-1825,28.05,4.7428,194.5,NA,NA,NA
NA,-1846,NA,NA,195.5,-2.844,NA,NA
NA,-1867,27.92,4.6907,196.5,NA,NA,NA
NA,-1888,NA,NA,197.5,-3.029,NA,NA
NA,-1909,27,4.3179,198.5,NA,NA,NA
-0.57325,-1951,27.63,4.4112,200.5,-3.162,NA,NA
NA,-1972,NA,NA,201.5,-2.914,NA,NA
NA,-1993,28.26,4.8331,202.5,NA,NA,NA
NA,-2014,NA,NA,203.5,-3.074,NA,NA
NA,-2035.5,27.63,4.5676,204.5,NA,NA,NA
NA,-2057,NA,NA,205.5,-3.03,NA,NA
-0.5080833333,-2120,27.53,4.3543,208.5,-3.076,NA,NA
NA,-2141,NA,NA,209.5,-2.891,NA,NA
NA,-2162,27.82,4.6489,210.5,NA,NA,NA
NA,-2183,NA,NA,211.5,-3.146,NA,NA
NA,-2204,27.84,4.6558,212.5,NA,NA,NA
NA,-2225,NA,NA,213.5,-3.007,NA,NA
NA,-2246,27.93,4.6932,214.5,NA,NA,NA
-0.4319166667,-2288,27.67,4.5666,216.5,-3.029,NA,NA
NA,-2309,NA,NA,217.5,-2.762,NA,NA
NA,-2330,27.76,4.6236,218.5,NA,NA,NA
NA,-2351,NA,NA,219.5,-3.026,NA,NA
NA,-2372.5,28.26,4.8361,220.5,NA,NA,NA
NA,-2394,NA,NA,221.5,-2.96,NA,NA
NA,-2415,28.18,4.7984,222.5,NA,NA,NA
-0.5265,-2457,27.48,4.7234,224.5,-3.084,NA,NA
NA,-2478,NA,NA,225.5,-3.013,NA,NA
NA,-2499,27.38,4.4646,226.5,NA,NA,NA
NA,-2520,NA,NA,227.5,-3.167,NA,NA
NA,-2541,28.34,4.7973,228.5,NA,NA,NA
NA,-2562,NA,NA,229.5,-3.198,NA,NA
NA,-2583,27.46,4.5007,230.5,NA,NA,NA
-0.293,-2625,28.26,4.6182,232.5,-3.013,NA,NA
NA,-2646,NA,NA,233.5,-3.104,NA,NA
NA,-2667.5,27.55,4.5362,234.5,NA,NA,NA
NA,-2689,NA,NA,235.5,-3.192,NA,NA
NA,-2710,28.82,5.086,236.5,NA,NA,NA
NA,-2731,NA,NA,237.5,-3.16,NA,NA
NA,-2752,27.84,4.6561,238.5,NA,NA,NA
-0.4688333333,-2794,27.68,4.5893,240.5,-3.068,NA,NA
NA,-2815,NA,NA,241.5,-3.151,NA,NA
NA,-2836,27.97,4.7085,242.5,NA,NA,NA
NA,-2857,NA,NA,243.5,-3.115,NA,NA
NA,-2878,27.54,4.531,244.5,NA,NA,NA
NA,-2899,NA,NA,245.5,-2.963,NA,NA
NA,-2920,27.4,4.4764,246.5,NA,NA,NA
-0.5005833333,-2962,27.35,4.4564,248.5,-3.031,NA,NA
NA,-2983,NA,NA,249.5,-3.222,NA,NA
NA,-3004.5,27.81,4.6408,250.5,NA,NA,NA
NA,-3026,NA,NA,251.5,-2.936,NA,NA
NA,-3047,27.41,4.4788,252.5,NA,NA,NA
NA,-3068,NA,NA,253.5,-3.219,NA,NA
NA,-3089,27.85,4.6591,254.5,NA,NA,NA
-0.4435833333,-3131,27.71,4.6019,256.5,-3.049,NA,NA
NA,-3152,NA,NA,257.5,-3.127,NA,NA
NA,-3173,26.98,4.3071,258.5,NA,NA,NA
NA,-3194,NA,NA,259.5,-3.205,NA,NA
NA,-3215,27.48,4.5076,260.5,NA,NA,NA
NA,-3236,NA,NA,261.5,-2.99,NA,NA
NA,-3257,27.14,4.3712,262.5,NA,NA,NA
-0.5284166667,-3299,28.09,4.7612,264.5,-3.213,NA,NA
NA,-3321,NA,NA,265.5,-3.002,NA,NA
NA,-3342,28.67,5.0161,266.5,NA,NA,NA
NA,-3363,NA,NA,267.5,-3.08,NA,NA
NA,-3384,27.27,4.4232,268.5,NA,NA,NA
NA,-3405,NA,NA,269.5,-2.772,NA,NA
NA,-3426.666667,28.45,4.9176,270.5,NA,NA,NA
-0.3086666667,-3470,27.82,4.647,272.5,-2.937,NA,NA
NA,-3494,NA,NA,273.5,-3.005,NA,NA
NA,-3518.5,26.55,4.1465,274.5,NA,NA,NA
NA,-3543,NA,NA,275.5,-3.131,NA,NA
NA,-3567.5,27.78,4.6297,276.5,NA,NA,NA
NA,-3592,NA,NA,277.5,-3.177,NA,NA
NA,-3616.333333,27.04,4.3322,278.5,NA,NA,NA
-0.4583333333,-3665,28.46,4.9213,280.5,-3.22,NA,NA
NA,-3690,NA,NA,281.5,-2.969,NA,NA
NA,-3714,27.34,4.4518,282.5,NA,NA,NA
NA,-3738,NA,NA,283.5,-3.167,NA,NA
NA,-3762.5,27.53,4.5268,284.5,NA,NA,NA
NA,-3787,NA,NA,285.5,-2.983,NA,NA
NA,-3811.666667,27.21,4.398,286.5,NA,NA,NA
-0.38125,-3861,28.23,4.821,288.5,-3.095,NA,NA
NA,-3885,NA,NA,289.5,-2.914,NA,NA
NA,-3909.5,27.26,4.4175,290.5,NA,NA,NA
NA,-3934,NA,NA,291.5,-3.163,NA,NA
NA,-3958.5,27.32,4.4441,292.5,NA,NA,NA
NA,-3983,NA,NA,293.5,-3.24,NA,NA
NA,-4007.333333,26.93,4.2884,294.5,NA,NA,NA
-0.196,-4056,29.34,5.3271,296.5,-3.141,NA,NA
NA,-4080,NA,NA,297.5,-3.021,NA,NA
NA,-4104.5,27.68,4.5882,298.5,NA,NA,NA
NA,-4129,NA,NA,299.5,-3.197,NA,NA
NA,-4153.5,26.76,4.2239,300.5,NA,NA,NA
NA,-4178,NA,NA,301.5,-3.012,NA,NA
NA,-4202.5,27.4,4.4727,302.5,NA,NA,NA
NA,-4227,NA,NA,303.5,-3.133,NA,NA
NA,-4251.333333,27.16,4.3774,304.5,NA,NA,NA
-0.4078333333,-4300,28.52,4.9513,306.5,-3.182,NA,NA
NA,-4325,NA,NA,307.5,-3.105,NA,NA
NA,-4349.5,26.99,4.3137,308.5,NA,NA,NA
NA,-4374,NA,NA,309.5,-2.966,NA,NA
NA,-4398.333333,26.93,4.2899,310.5,NA,NA,NA
-0.198,-4447,28.98,5.1592,312.5,-3.068,NA,NA
NA,-4471,NA,NA,313.5,-2.967,NA,NA
NA,-4495.5,27.36,4.4602,314.5,NA,NA,NA
NA,-4520,NA,NA,315.5,-3.145,NA,NA
NA,-4569,NA,NA,317.5,-2.946,NA,NA
NA,-4593.333333,27.31,4.4402,318.5,NA,NA,NA
-0.2025833333,-4642,29.39,5.3521,320.5,-3.158,NA,NA
NA,-4667,NA,NA,321.5,-3.02,NA,NA
NA,-4691.5,27.42,4.4842,322.5,NA,NA,NA
NA,-4716,NA,NA,323.5,-3.071,NA,NA
NA,-4740.5,27.53,4.5278,324.5,NA,NA,NA
NA,-4765,NA,NA,325.5,-2.877,NA,NA
NA,-4789.333333,27.59,4.5536,326.5,NA,NA,NA
NA,-4838,NA,NA,328.5,-2.993,NA,NA
NA,-4862,NA,NA,329.5,-3.049,NA,NA
NA,-4886.5,27.28,4.4263,330.5,NA,NA,NA
NA,-4911,NA,NA,331.5,-3.171,NA,NA
NA,-4935.5,27.82,4.6466,332.5,NA,NA,NA
NA,-4960,NA,NA,333.5,-3.014,NA,NA
NA,-4984.333333,27.24,4.411,334.5,NA,NA,NA
-0.6604166667,-5033,28.33,4.8654,336.5,-3.395,NA,NA
NA,-5058,NA,NA,337.5,-3.233,NA,NA
NA,-5082.5,28.05,4.7442,338.5,NA,NA,NA
NA,-5107,NA,NA,339.5,-3.32,NA,NA
NA,-5131,27.18,4.3886,340.5,NA,NA,NA
NA,-5155,NA,NA,341.5,-3.105,NA,NA
-0.1315833333,-5229,28.79,5.0696,344.5,-2.962,NA,NA
NA,-5253,NA,NA,345.5,-2.919,NA,NA
NA,-5277.5,26.53,4.1387,346.5,NA,NA,NA
NA,-5302,NA,NA,347.5,-3.049,NA,NA
NA,-5326.5,28.08,4.7573,348.5,NA,NA,NA
NA,-5351,NA,NA,349.5,-3.069,NA,NA
NA,-5375.333333,28.12,4.7726,350.5,NA,NA,NA
-0.25125,-5424,28.71,5.0361,352.5,-3.065,NA,NA
NA,-5449,NA,NA,353.5,-3.007,NA,NA
NA,-5473,28.12,4.775,354.5,NA,NA,NA
NA,-5497,NA,NA,355.5,-3.085,NA,NA
NA,-5521.5,28.35,4.8745,356.5,NA,NA,NA
NA,-5546,NA,NA,357.5,-3.202,NA,NA
-0.027,-5620,28.14,4.7847,360.5,-2.722,NA,NA
NA,-5644,NA,NA,361.5,-2.849,NA,NA
NA,-5668.5,27.58,4.5465,362.5,NA,NA,NA
NA,-5693,NA,NA,363.5,-3.24,NA,NA
NA,-5717.5,27.65,4.5761,364.5,NA,NA,NA
NA,-5742,NA,NA,365.5,-3.277,NA,NA
NA,-5766.333333,27.57,4.5444,366.5,NA,NA,NA
NA,-5815,NA,NA,368.5,-2.994,NA,NA
NA,-5839,NA,NA,369.5,-3.002,NA,NA
NA,-5863.5,28.16,4.7911,370.5,NA,NA,NA
NA,-5888,NA,NA,371.5,-3.101,NA,NA
NA,-5912.5,27.74,4.6124,372.5,NA,NA,NA
NA,-5937,NA,NA,373.5,-3.001,NA,NA
NA,-5961.333333,28.32,4.861,374.5,NA,NA,NA
NA,-6010,NA,NA,376.5,-2.904,NA,NA
NA,-6035,NA,NA,377.5,-2.881,NA,NA
NA,-6059.5,28.09,4.7618,378.5,NA,NA,NA
NA,-6084,NA,NA,379.5,-3.033,NA,NA
