d18O (permil),year (AD),depth (cm)
-8.58,NA,343
-8.39,NA,375
-8.86,NA,407
-8.14,NA,439
-8.24,NA,471
-7.93,NA,503
-7.62,NA,535
-7.57,NA,552
-7.89,NA,855
-8.01,NA,887
-7.5,NA,919
-8.33,NA,951
-7.89,NA,980
-8.25,NA,1015
-7.8,NA,1047
-7.54,NA,1079
-7.21,NA,1111
-7.7,NA,1143
-7.6,NA,1175
-7.73,NA,1207
-7.82,NA,1239
-7.33,NA,1271
-7.88,NA,1313
-7.58,NA,1336
-7.9,NA,1367
-7.51,NA,1399
-7.69,NA,1431
-7.65,NA,1463
-8.37,NA,1495
-8.18,NA,1527
-8.54,NA,1559
-8.65,NA,1593
-8.61,NA,1623
-8.72,NA,1655
-8.66,NA,1687
-6.88,NA,1704
-6.37,NA,1751
-6.78,NA,1783
-6.74,NA,1815
-6.37,NA,1851
-6.93,NA,1880
-6.91,NA,1911
-6.55,NA,1943
-6.88,NA,1980
-6.87,NA,2007
-7.6,NA,2039
-7.33,NA,2071
-6.66,NA,2105
-6.84,NA,2133
