d18O (permil),year (AD),d13C (permil),d18O (permil) [1-2],year (AD) [1-2],d13C (permil) [1-2],d18O (permil) [1-3],year (AD) [1-3],d13C (permil) [1-3]
-6.30076,2040,-7.55,-5.98066,904,-8.21,-5.47625,23,-6.78
-5.76726,1988,-7.74,-6.01946,808,-7.89,-5.56356,-11,-6.97
-5.45685,1936,-8.03,-5.87396,712,-7.62,-5.19495,-34,-6.65
-5.21435,1885,-6.9,-5.84486,584,-7.84,-5.66056,-57,-6.72
-5.64116,1833,-7.83,-5.90306,504,-7.99,-5.50535,-80,-6.58
-5.67996,1781,-8,-5.96126,392,-7.9,-5.51505,-103,-6.78
-5.52476,1729,-7.71,-5.90306,264,-7.74,-5.32105,-126,-6.42
-5.60236,1626,-7.51,-5.91276,-56,-8.05,-5.32105,-149,-6.67
-5.32105,1574,-7.6,-5.68966,-248,-7.75,-5.29195,-172,-6.78
-5.68966,1523,-7.59,-5.98066,-632,-7.43,-5.50535,-194,-6.67
-5.71876,1471,-7.89,-5.91276,-776,-7.45,-5.39865,-217,-5.87
-5.63146,1419,-7.42,-5.75756,-1017,-7.64,-5.30165,-240,-6.37
-5.49565,1367,-7.31,-5.77696,-1145,-6.55,-5.62176,-263,-6.49
-5.41805,1316,-7.51,-5.92246,-1177,-7.3,-5.33075,-309,-6.12
-5.22405,1264,-7.2,-6.15526,-1305,-6.37,-5.29195,-332,-6.22
-5.35985,1212,-7.21,-6.09706,-1465,-6.33,-5.33075,-355,-6.02
-5.45685,1160,-7.53,-6.03886,-1577,-5.98,-5.14645,-377,-5.81
-5.47625,1109,-7.26,-6.28136,-1657,-5.78,-5.45685,-400,-6.08
-5.53446,1057,-7.59,-6.36866,-1945,-5.88,-5.49565,-423,-6.5
-5.65086,1005,-7.55,-6.38806,-2167,-5.75,-5.69936,-446,-6.45
-5.58296,953,-7.6,-6.82457,-2433,-6.27,-5.75756,-469,-6.31
-5.68966,902,-7.51,-6.96037,-2655,-6.72,-5.36955,-492,-5.98
-5.68966,850,-7.61,-6.97977,-2876,-6.36,-5.12705,-515,-6.29
-5.73816,850,-7.46,-6.05826,-3098,-6.29,-5.76726,-538,-6.04
-5.8060600000000004,770,-7.48,-6.61117,-3146,-6.19,-5.43745,-560,-6.15
-5.59266,690,-7.19,-6.54327,-3203,-6.8,-5.55386,-583,-6.19
-5.98066,610,-7.36,-6.58207,-3259,-6.87,-5.58296,-618,-5.98
-5.94186,530,-7.24,-6.13586,-3291,-6.3,-5.35985,-629,-6.25
-5.78666,410,-7.23,-5.81576,-3348,-5.74,-5.35985,-652,-6
-5.51505,330,-6.97,-5.63146,-3400,-6.74,-5.66056,-686,-6.02
-6.39776,250,-7.96,-5.67996,-3461,-6.7,-5.40835,-698,-6.29
-5.74786,210,-7.2,-5.95156,-3509,-7.45,-5.53446,-721,-5.86
-6.02916,170,-7.43,-6.07766,-3573,-7.42,-5.26285,-743,-6.08
-5.58296,130,-7.21,-6.00976,-3622,-7.35,-5.59266,-766,-5.9
-5.99036,50,-7.32,-5.66056,-3654,-7.34,-5.38895,-789,-5.84
-5.85456,-30,-7.21,-6.08736,-3702,-7.37,-5.17555,-812,-5.7
-6.09706,-110,-7.16,-5.49565,-3803,-7.02,-5.60236,-846,-5.88
-5.73816,-190,-6.92,-5.54416,-3831,-7.4,-5.17555,-876,-5.56
-5.59266,-270,-6.8,-5.73816,-3883,-7.88,-5.25315,-904,-5.4
-5.66056,-350,-6.62,-5.73816,-3924,-8.33,-5.31135,-927,-5.54
-5.95156,-390,-6.44,-5.97096,-3964,-8.75,-5.69936,-949,-5.67
-5.96126,-478,-6.21,-5.83516,-4010,-8.88,-5.39865,-972,-5.53
-6.27166,-566,-6.08,-5.84486,-4068,-9.04,-5.08825,-995,-5.68
-5.54416,-710,-5.64,-5.95156,-4130,-9.03,-5.30165,-1018,-5.69
-5.93216,-750,-6.1,-5.86426,-4171,-9.15,-5.57326,-1052,-6.1
