d18O (permil),year (AD),depth (cm),core ()
1.2,1998.2,0.4,MC
1.27,1995.9,1.05,MC
1.26,1993.9,1.55,MC
1.16,1991.8,2.05,MC
1.23,1989.8,2.55,MC
1.22,1987.6,3.05,MC
0.95,1985.5,3.55,MC
1.05,1983.2,4.05,MC
1.13,1980.9,4.55,MC
1.16,1978.5,5.05,MC
1.27,1976,5.55,MC
1.13,1973.5,6.05,MC
1.1,1970.5,6.55,MC
1.27,1967.8,7.05,MC
1.21,1965,7.55,MC
1.22,1962.4,8.05,MC
1.08,1959.1,8.55,MC
1.05,1956,9.05,MC
1.27,1953.1,9.55,MC
1.08,1949.5,10.05,MC
1.03,1946.1,10.55,MC
1.13,1942.7,11.05,MC
1.21,1939.5,11.55,MC
1.35,1935.5,12.05,MC
1.27,1931.8,12.55,MC
1.32,1928,13.05,MC
1.18,1928,13.55,MC
1.27,1920.2,14.05,MC
1.27,1916.1,14.55,MC
1.1,1912,15.05,MC
1.24,1907.8,15.55,MC
1.2,1903.5,16.05,MC
1.43,1899.1,16.55,MC
1.24,1894.6,17.05,MC
1.31,1890,17.55,MC
1.25,1885.4,18.05,MC
1.16,1880.6,18.55,MC
1.25,1875.7,19.05,MC
1.11,1870.8,19.55,MC
1.21,1865.7,20.05,MC
1.38,1860.5,20.55,MC
1.13,1855.1,21.05,MC
1.23,1849.7,21.6,MC
1.2,1844.1,22.05,MC
1.13,1838.3,22.55,MC
1.28,1832.4,23.05,MC
1.2,1826.2,23.55,MC
1.18,1819.9,24.05,MC
1.31,1813.4,24.55,MC
1.23,1806.6,25.05,MC
1.24,1799.6,25.55,MC
1.26,1792.4,26.05,MC
1.18,1784.8,26.55,MC
1.34,1776.9,27.05,MC
1.06,1768.7,27.55,MC
1.29,1760.2,28.05,MC
1.29,1751.2,28.55,MC
0.98,1741.8,29.05,MC
1.18,1732,29.55,MC
1.32,1721.7,30.05,MC
1.34,1710.9,30.55,MC
1.44,1699.5,31.05,MC
1.35,1687.5,31.55,MC
1.28,1674.9,32.05,MC
1.3,1670.9,0.5,SC
1.34,1665.4,1,SC
1.45,1659.9,1.5,SC
1.25,1648.8,2.5,SC
1.25,1643.4,3,SC
1.29,1637.9,3.5,SC
1.25,1632.4,4,SC
1.2,1626.9,4.5,SC
1.13,1616,5.5,SC
1.14,1610.5,6,SC
1.31,1605,6.5,SC
1.21,1599.6,7,SC
1.31,1588.7,8,SC
1.28,1577.8,9,SC
1.25,1567,10,SC
1.39,1556.2,11,SC
1.33,1545.4,12,SC
1.25,1534.6,13,SC
1.35,1523.8,14,SC
1.29,1513.1,15,SC
1.25,1502.4,16,SC
1.32,1491.7,17,SC
1.36,1481,18,SC
1.37,1459.7,20,SC
1.24,1449.1,21,SC
1.27,1438.5,22,SC
1.28,1427.9,23,SC
1.22,1417.3,24,SC
1.35,1406.8,25,SC
