d18O (permil),year (AD),d13C (permil),d18O (permil) [2-1],year (AD) [2-1],d13C (permil) [2-1]
-5.7032,1974.25,-1.9072,-5.5291,1974.25,-2.0355
-5.6593,1974.17,-2.1394,-5.4548,1974.17,-2.2429
-5.7083,1974.08,-2.1414,-5.5817,1974.08,-2.353
-5.7032,1974,-2.489,-5.7123,1974,-2.5437
-5.9973,1973.92,-2.0566,-5.6704,1973.92,-2.1958
-5.9348,1973.83,-2.1802,-5.7871,1973.83,-2.4166
-6.0965,1973.75,-1.8485,-5.8383,1973.75,-2.323
-5.8963,1973.67,-1.6661,-5.7653,1973.67,-2.3178
-5.9114,1973.58,-1.5363,-5.6612,1973.58,-1.8945
-5.8966,1973.5,-2.0202,-5.4806,1973.5,-1.777
-5.9063,1973.42,-1.9328,-5.2989,1973.42,-1.937
-5.7834,1973.33,-1.9917,-5.2285,1973.33,-2.4857
-5.4094,1973.25,-2.0197,-5.2525,1973.25,-2.4194
-5.2758,1973.17,-2.3045,-5.1347,1973.17,-2.3765
-5.3201,1973.08,-2.202,-5.31,1973.08,-2.55
-5.4425,1973,-2.1468,-5.3832,1973,-2.6636
-5.5646,1972.92,-1.6134,-5.526,1972.92,-2.273
-5.7539,1972.83,-1.7415,-5.4648,1972.83,-1.9575
-5.8534,1972.75,-1.5161,-5.3843,1972.75,-1.9844
-5.9193,1972.67,-1.7376,-5.5958,1972.67,-1.8622
-5.8971,1972.58,-1.6005,-5.5709,1972.58,-1.8727
-6.007,1972.5,-1.909,-5.6201,1972.5,-2.1368
-5.871,1972.42,-1.6671,-5.6149,1972.42,-1.6195
-5.8624,1972.33,-1.775,-5.6718,1972.33,-1.4768
-5.886,1972.25,-1.8377,-5.6587,1972.25,-1.9245
-5.827,1972.17,-1.7163,-5.4885,1972.17,-1.6552
-5.9868,1972.08,-1.6169,-5.5716,1972.08,-2.3883
-6.0654,1972,-1.5407,-5.6202,1972,-2.3616
-5.9139,1971.92,-1.728,-5.6135,1971.92,-2.0844
-6.0823,1971.83,-1.374,-5.8101,1971.83,-2.0147
-5.9313,1971.75,-1.1958,-5.8038,1971.75,-2.0545
-6.0344,1971.67,-1.6054,-5.7353,1971.67,-1.7667
-6.022,1971.58,-1.6266,-5.6377,1971.58,-1.734
-5.9242,1971.5,-1.5492,-5.6684,1971.5,-1.8203
-5.909,1971.42,-1.579,-5.6383,1971.42,-1.9201
-5.7787,1971.33,-1.6141,-5.4884,1971.33,-1.1684
-5.8931,1971.25,-1.896,-5.5612,1971.25,-1.3756
-5.719,1971.17,-1.5816,-5.4741,1971.17,-1.9771
-5.8039,1971.08,-1.4737,-5.6362,1971.08,-2.2309
-5.9542,1971,-1.5896,-5.5908,1971,-2.0719
-6.0121,1970.92,-1.7702,-5.674,1970.92,-2.5118
-6.067,1970.83,-1.8374,-5.8512,1970.83,-2.223
-6.0276,1970.75,-1.9347,-5.9164,1970.75,-2.0153
-5.9984,1970.67,-1.769,-5.8546,1970.67,-1.9602
-5.8988,1970.58,-1.7647,-5.8978,1970.58,-2.1828
-6.0686,1970.5,-1.6062,-5.8502,1970.5,-2.092
-5.9643,1970.42,-1.5428,-5.7789,1970.42,-1.2556
-5.8202,1970.33,-1.8518,-5.597,1970.33,-1.74
-5.6882,1970.25,-1.9042,-5.6609,1970.25,-1.6935
-5.5865,1970.17,-1.9078,-5.4813,1970.17,-1.8774
-5.6876,1970.08,-1.5094,-5.527,1970.08,-1.9366
-5.6815,1970,-1.5382,-5.6303,1970,-1.8598
-5.6816,1969.92,-1.5546,-5.6644,1969.92,-1.345
-5.8099,1969.83,-1.9157,-5.6095,1969.83,-1.5874
-5.9298,1969.75,-1.7551,-5.574,1969.75,-1.5763
-5.9309,1969.67,-2.3043,-5.7756,1969.67,-1.7825
-5.9074,1969.58,-1.7318,-5.7473,1969.58,-1.8099
-5.8955,1969.5,-2.1056,-5.5915,1969.5,-1.3874
-5.8389,1969.42,-1.7782,-5.5547,1969.42,-1.7981
-5.5135,1969.33,-1.7358,-5.5289,1969.33,-2.1405
-5.5753,1969.25,-1.9861,-5.3813,1969.25,-2.0216
-5.4644,1969.17,-2.0139,-5.1087,1969.17,-1.929
-5.5546,1969.08,-1.6589,-5.3219,1969.08,-1.7936
-5.6642,1969,-2.2033,-5.3952,1969,-2.1583
-5.9006,1968.92,-2.0291,-5.5353,1968.92,-2.6898
-5.8027,1968.83,-2.1272,-5.6752,1968.83,-2.0067
-5.8253,1968.75,-1.8534,-5.5118,1968.75,-1.8088
-5.8031,1968.67,-1.6306,-5.6007,1968.67,-1.7153
-5.9278,1968.58,-2.1115,-5.6069,1968.58,-1.77
-5.7951,1968.5,-2.0805,-5.6433,1968.5,-1.9681
-5.791,1968.42,-1.7171,-5.5815,1968.42,-1.677
-5.5851,1968.33,-1.9777,-5.4486,1968.33,-1.9071
-5.6813,1968.25,-1.7817,-5.4594,1968.25,-2.0413
-5.5237,1968.17,-2.0767,-5.39,1968.17,-2.5431
-5.6861,1968.08,-1.9511,-5.4832,1968.08,-2.6673
-5.7079,1968,-1.6816,-5.6214,1968,-2.5454
-5.7708,1967.92,-1.5757,-5.5744,1967.92,-2.0484
-5.8196,1967.83,-1.6609,-5.6026,1967.83,-2.167
-5.7624,1967.75,-2.1284,-5.661,1967.75,-1.7621
-5.8168,1967.67,-2.0964,-5.6812,1967.67,-2.0869
-5.9372,1967.58,-2.0309,-5.567,1967.58,-1.9782
-5.8135,1967.5,-1.7742,-5.6593,1967.5,-1.6345
-5.9107,1967.42,-2.1892,-5.5046,1967.42,-1.2501
-5.8231,1967.33,-1.831,-5.5919,1967.33,-1.9472
-5.7227,1967.25,-2.0577,-5.5882,1967.25,-2.3614
-5.5701,1967.17,-2.1666,-5.3407,1967.17,-2.4687
-5.6372,1967.08,-1.9397,-5.4885,1967.08,-2.9037
-5.6388,1967,-2.3206,-5.8393,1967,-2.3387
-5.7401,1966.92,-1.8605,-5.7484,1966.92,-2.2189
-6.0868,1966.83,-1.5519,-5.9158,1966.83,-1.8622
-5.9022,1966.75,-1.7637,-5.6976,1966.75,-1.8635
-5.9399,1966.67,-1.5691,-5.7869,1966.67,-2.0641
-6.0413,1966.58,-1.5488,-5.7878,1966.58,-1.9505
-5.7539,1966.5,-1.2607,-5.6372,1966.5,-1.7614
-5.7086,1966.42,-1.4867,-5.4331,1966.42,-1.9723
-5.6163,1966.33,-1.3689,-5.393,1966.33,-2.2362
-5.6262,1966.25,-1.8546,-5.3078,1966.25,-2.369
-5.3932,1966.17,-1.7645,-5.2672,1966.17,-2.769
-5.4284,1966.08,-1.7334,-5.3885,1966.08,-2.9269
-5.6177,1966,-2.1331,-5.514,1966,-2.6349
-5.7322,1965.92,-2.1879,-5.5626,1965.92,-2.2757
-5.763,1965.83,-1.6606,-5.7066,1965.83,-2.1324
-5.8032,1965.75,-1.7666,-5.5917,1965.75,-2.0727
-5.8044,1965.67,-2.0432,-5.5317,1965.67,-1.9795
-5.8356,1965.58,-1.7627,-5.5084,1965.58,-1.9816
-5.8437,1965.5,-2.7072,-5.6402,1965.5,-2.3928
-5.9239,1965.42,-2.083,-5.5177,1965.42,-1.1735
-5.7051,1965.33,-2.0646,-5.4479,1965.33,-0.41537
-5.613,1965.25,-1.806,-5.6545,1965.25,-2.0742
-5.5691,1965.17,-1.9055,-5.3783,1965.17,-2.0938
-5.5598,1965.08,-2.2722,-5.4127,1965.08,-1.9746
-5.6694,1965,-2.0427,-5.5145,1965,-1.7333
-5.8595,1964.92,-1.9456,-5.6598,1964.92,-2.2259
-5.925,1964.83,-2.2611,-5.7229,1964.83,-2.144
-5.8189,1964.75,-1.9,-5.8365,1964.75,-1.1982
-5.8507,1964.67,-1.762,-5.7287,1964.67,-1.3771
-5.7819,1964.58,-1.7379,-5.5911,1964.58,-1.8285
-5.7486,1964.5,-1.9527,-5.6494,1964.5,-1.3714
-5.7575,1964.42,-2.1214,-5.5138,1964.42,-0.98877
-5.5749,1964.33,-1.8643,-5.3625,1964.33,-0.88733
-5.5257,1964.25,-1.7921,-5.4749,1964.25,-1.8219
-5.3789,1964.17,-1.8823,-5.2948,1964.17,-2.5023
-5.6496,1964.08,-1.7576,-5.3754,1964.08,-2.5391
-5.7395,1964,-1.8686,-5.4724,1964,-1.9684
-5.716,1963.92,-1.8294,-5.6152,1963.92,-1.8086
-5.7072,1963.83,-1.8609,-5.6001,1963.83,-1.9684
-5.6899,1963.75,-1.9051,-5.5856,1963.75,-1.988
-5.869,1963.67,-1.8938,-5.631,1963.67,-1.8694
-5.8202,1963.58,-1.7551,-5.6938,1963.58,-1.9178
-5.7983,1963.5,-1.8377,-5.609,1963.5,-1.9755
-5.7803,1963.42,-1.711,-5.6931,1963.42,-1.8588
-5.7016,1963.33,-1.5564,-5.775,1963.33,-2.089
-5.6378,1963.25,-1.5405,-5.6221,1963.25,-1.8871
-5.4909,1963.17,-1.8505,-5.5246,1963.17,-1.6583
-5.6853,1963.08,-1.7089,-5.6104,1963.08,-1.8733
-5.8029,1963,-1.8928,-5.6429,1963,-2.1011
-5.8112,1962.92,-1.8446,-5.632,1962.92,-2.3541
-5.9489,1962.83,-1.856,-5.6855,1962.83,-2.4649
-5.9005,1962.75,-1.606,-5.8007,1962.75,-2.3941
-5.9271,1962.67,-1.7328,-5.7987,1962.67,-2.1028
-5.9516,1962.58,-1.3128,-5.7239,1962.58,-1.9715
-5.8529,1962.5,-1.7882,-5.7818,1962.5,-1.9907
-5.7654,1962.42,-1.5112,-5.7813,1962.42,-1.7958
-5.6314,1962.33,-1.6625,-5.7256,1962.33,-1.6234
-5.5849,1962.25,-1.8532,-5.6077,1962.25,-1.8358
-5.5397,1962.17,-2.0386,-5.4883,1962.17,-2.0086
-5.6364,1962.08,-2.2867,-5.4983,1962.08,-2.6847
-5.692,1962,-2.2878,-5.5486,1962,-2.7468
-5.7418,1961.92,-1.9059,-5.5407,1961.92,-2.5163
-5.8052,1961.83,-2.1571,-5.5531,1961.83,-2.0944
-5.7169,1961.75,-1.7929,-5.5929,1961.75,-2.0847
-5.8,1961.67,-2.2087,-5.4773,1961.67,-2.2839
-5.7372,1961.58,-2.1495,-5.6809,1961.58,-2.2334
-5.9026,1961.5,-2.2381,-5.5876,1961.5,-2.1582
-5.8809,1961.42,-2.3624,-5.7316,1961.42,-2.1518
-5.7576,1961.33,-2.6509,-5.6094,1961.33,-1.9397
-5.6071,1961.25,-2.6659,-5.5624,1961.25,-1.5794
-5.4868,1961.17,-2.1448,-5.465,1961.17,-1.382
-5.5692,1961.08,-1.7817,-5.5905,1961.08,-2.3046
-5.6201,1961,-2.4883,-5.6178,1961,-2.3902
-5.6993,1960.92,-1.7243,-5.6647,1960.92,-1.7012
-5.9073,1960.83,-1.7066,-5.691,1960.83,-1.6641
-5.9085,1960.75,-1.9168,-5.7983,1960.75,-1.8288
-5.8821,1960.67,-2.0091,-5.6309,1960.67,-0.98749
-5.7079,1960.58,-1.5719,-5.6918,1960.58,-1.2751
-5.8585,1960.5,-1.787,-5.5819,1960.5,-1.3814
-5.5519,1960.42,-1.4586,-5.5241,1960.42,-1.3709
-5.6341,1960.33,-1.796,-5.4569,1960.33,-1.7304
-5.6465,1960.25,-1.9922,-5.5057,1960.25,-2.3942
-5.4301,1960.17,-2.238,-5.4569,1960.17,-2.2015
-5.5471,1960.08,-1.7292,-5.5753,1960.08,-2.2504
-5.6711,1960,-2.3003,-5.4874,1960,-1.8443
-5.6687,1959.92,-1.994,-5.6398,1959.92,-2.2103
-5.839,1959.83,-1.7908,-5.6478,1959.83,-2.264
-5.7298,1959.75,-2.3198,-5.5828,1959.75,-1.8672
-5.8472,1959.67,-1.7494,-5.6154,1959.67,-1.9711
-5.8717,1959.58,-1.982,-5.6231,1959.58,-2.1503
-5.8827,1959.5,-2.196,-5.6481,1959.5,-1.8917
-5.793,1959.42,-1.8968,-5.6013,1959.42,-1.7989
-5.6494,1959.33,-2.3598,-5.3549,1959.33,-1.9415
-5.6215,1959.25,-1.9612,-5.2976,1959.25,-1.9298
-5.3706,1959.17,-1.901,-5.1383,1959.17,-1.5695
-5.4226,1959.08,-1.7069,-5.4808,1959.08,-1.8525
-5.6232,1959,-2.018,-5.4989,1959,-2.0436
-5.6406,1958.92,-2.1237,-5.4905,1958.92,-1.8475
-5.8251,1958.83,-1.8369,-5.5175,1958.83,-1.699
-5.8049,1958.75,-2.1677,-5.5585,1958.75,-1.8667
-5.745,1958.67,-2.1435,-5.3381,1958.67,-1.4593
-5.7569,1958.58,-1.9564,-5.5039,1958.58,-1.4088
-5.6986,1958.5,-2.1922,-5.4506,1958.5,-1.0159
-5.7067,1958.42,-1.8866,-5.2923,1958.42,-1.5075
-5.6068,1958.33,-2.1333,-5.3499,1958.33,-1.7828
-5.439,1958.25,-2.178,-5.3076,1958.25,-1.8116
-5.3213,1958.17,-1.7699,-5.3007,1958.17,-1.8626
-5.2986,1958.08,-2.0079,-5.389,1958.08,-1.8273
-5.429,1958,-1.8341,-5.4143,1958,-1.6674
-5.4752,1957.92,-2.1005,-5.4659,1957.92,-1.4957
-5.5302,1957.83,-1.7472,-5.4588,1957.83,-1.872
-5.7845,1957.75,-2.1123,-5.4265,1957.75,-1.9988
-5.8346,1957.67,-1.8828,-5.6076,1957.67,-2.0586
-5.7662,1957.58,-2.1509,-5.6546,1957.58,-2.5229
-5.8957,1957.5,-2.408,-5.7421,1957.5,-2.0375
-5.8536,1957.42,-2.4948,-5.6222,1957.42,-2.0318
-5.6993,1957.33,-2.2931,-5.5681,1957.33,-2.3155
-5.5289,1957.25,-2.1893,-5.4956,1957.25,-2.1713
-5.4453,1957.17,-2.0243,-5.4244,1957.17,-2.1266
-5.4612,1957.08,-2.2206,-5.5112,1957.08,-2.0581
-5.5467,1957,-2.0406,-5.538,1957,-2.4088
-5.6721,1956.92,-2.3694,-5.6996,1956.92,-2.6718
-5.9479,1956.83,-2.468,-5.7726,1956.83,-2.443
-5.9619,1956.75,-2.3542,-5.7496,1956.75,-2.336
-5.9974,1956.67,-2.1104,-5.7729,1956.67,-2.0827
-5.8375,1956.58,-2.0221,-5.6734,1956.58,-2.3516
-5.9402,1956.5,-2.2475,-5.6061,1956.5,-2.3559
-5.944,1956.42,-1.9017,-5.6948,1956.42,-1.7473
-5.6253,1956.33,-2.1286,-5.6216,1956.33,-1.2909
-5.6501,1956.25,-2.373,-5.5898,1956.25,-1.854
-5.5239,1956.17,-2.2401,-5.3944,1956.17,-1.9171
-5.6543,1956.08,-2.46,-5.5308,1956.08,-1.8373
-5.7852,1956,-2.5673,-5.5532,1956,-2.1123
-5.932,1955.92,-2.5864,-5.6512,1955.92,-2.5841
-6.0425,1955.83,-2.1458,-5.6529,1955.83,-2.327
-5.9834,1955.75,-2.0895,-5.7701,1955.75,-1.6616
-6.0345,1955.67,-1.8911,-5.7689,1955.67,-1.4681
-6.0452,1955.58,-1.7438,-5.7741,1955.58,-1.5592
-5.8903,1955.5,-2.2584,-5.7035,1955.5,-1.527
-5.8592,1955.42,-2.1373,-5.4856,1955.42,-1.6223
-5.7032,1955.33,-2.3764,-5.351,1955.33,-1.7721
-5.5825,1955.25,-2.4176,-5.4202,1955.25,-1.5201
-5.5441,1955.17,-2.2754,-5.2586,1955.17,-1.6183
-5.6974,1955.08,-2.1612,-5.2859,1955.08,-1.902
-5.9076,1955,-2.382,-5.4212,1955,-2.0779
-6.0142,1954.92,-2.2322,-5.6136,1954.92,-1.9978
-5.9646,1954.83,-2.4235,-5.7114,1954.83,-2.0809
-6.0293,1954.75,-2.2685,-5.7999,1954.75,-1.8633
-6.0335,1954.67,-2.0003,-5.6136,1954.67,-1.6195
-6.0882,1954.58,-2.0682,-5.7171,1954.58,-1.6211
-6.0136,1954.5,-1.6183,-5.817,1954.5,-1.5971
-6.1619,1954.42,-1.9337,-5.7107,1954.42,-1.4894
-5.6916,1954.33,-2.4631,-5.4767,1954.33,-1.464
-5.7114,1954.25,-2.4363,-5.4753,1954.25,-1.3295
-5.5369,1954.17,-2.0473,-5.3894,1954.17,-1.3394
-5.642,1954.08,-1.9314,-5.3917,1954.08,-1.6481
-5.6911,1954,-2.0703,-5.489,1954,-1.9732
-5.7606,1953.92,-1.9394,-5.6482,1953.92,-2.1499
-6.0112,1953.83,-2.2293,-5.6618,1953.83,-1.6318
-5.8707,1953.75,-1.8888,-5.7797,1953.75,-1.3531
-5.9205,1953.67,-2.236,-5.6158,1953.67,-1.816
-5.9544,1953.58,-1.9645,-5.7325,1953.58,-1.8687
-5.9514,1953.5,-2.1676,-5.5835,1953.5,-1.2836
-5.9871,1953.42,-2.395,-5.6947,1953.42,-1.119
-5.816,1953.33,-1.9896,-5.442,1953.33,-1.3046
-5.7355,1953.25,-2.3104,-5.4249,1953.25,-1.5316
-5.5621,1953.17,-2.0526,-5.3091,1953.17,-1.4174
-5.6522,1953.08,-2.1403,-5.4031,1953.08,-1.8933
-5.8799,1953,-2.2301,-5.5421,1953,-1.5273
-5.8844,1952.92,-2.0427,-5.4915,1952.92,-1.3627
-5.9956,1952.83,-1.8516,-5.5839,1952.83,-1.3168
-5.9142,1952.75,-2.1201,-5.6114,1952.75,-1.5342
-5.9515,1952.67,-2.1678,-5.757,1952.67,-1.7127
-5.9278,1952.58,-1.7533,-5.7168,1952.58,-1.5551
-6.054,1952.5,-2.0363,-5.6883,1952.5,-1.6827
-5.8259,1952.42,-2.2075,-5.5453,1952.42,-1.5984
-5.5682,1952.33,-2.2971,-5.6207,1952.33,-1.4647
-5.5514,1952.25,-1.9675,-5.496,1952.25,-1.9271
-5.4458,1952.17,-2.1864,-5.354,1952.17,-2.2177
-5.5185,1952.08,-2.2195,-5.2097,1952.08,-2.2211
-5.6391,1952,-2.2198,-5.55,1952,-1.7164
-5.7939,1951.92,-2.1148,-5.8042,1951.92,-1.3333
-5.8631,1951.83,-2.2585,-5.6274,1951.83,-1.4653
-5.9577,1951.75,-2.1273,-5.5499,1951.75,-1.5881
-5.9412,1951.67,-2.0129,-5.6912,1951.67,-1.5429
-5.8797,1951.58,-2.1194,-5.6624,1951.58,-1.6279
-5.884,1951.5,-2.0358,-5.5553,1951.5,-1.6043
-5.8127,1951.42,-2.1175,-5.4918,1951.42,-1.4301
-5.7445,1951.33,-2.2879,-5.4851,1951.33,-1.3506
-5.7125,1951.25,-2.2761,-5.5002,1951.25,-1.4098
-5.5532,1951.17,-2.1967,-5.4911,1951.17,-1.5972
-5.6736,1951.08,-2.0997,-5.5399,1951.08,-1.6157
-5.6902,1951,-2.165,-5.5787,1951,-1.7329
-5.7863,1950.92,-2.3596,-5.5927,1950.92,-2.182
-5.8832,1950.83,-2.0767,-5.6796,1950.83,-1.9077
-6.0159,1950.75,-2.1227,-5.7649,1950.75,-1.6932
-6.0135,1950.67,-2.0991,-5.8397,1950.67,-1.7135
-6.0288,1950.58,-2.041,-5.5275,1950.58,-1.5612
-5.9038,1950.5,-2.2126,-5.5389,1950.5,-1.5533
-5.9171,1950.42,-2.1646,-5.6163,1950.42,-1.3871
-5.8712,1950.33,-2.2012,-5.5709,1950.33,-1.7231
-5.8035,1950.25,-2.2697,-5.6086,1950.25,-2.2313
-5.5792,1950.17,-2.5127,-5.4891,1950.17,-2.0984
-5.5623,1950.08,-2.622,-5.5737,1950.08,-2.0725
-5.6103,1950,-2.0631,-5.7503,1950,-2.1336
-5.7381,1949.92,-2.1855,-5.7843,1949.92,-1.9607
-5.8415,1949.83,-2.5252,-5.7177,1949.83,-1.7034
-6.1107,1949.75,-2.1771,-5.8201,1949.75,-1.7352
-6.0054,1949.67,-2.1182,-5.7954,1949.67,-1.6991
-6.0227,1949.58,-2.0362,-5.702,1949.58,-1.5222
-6.0518,1949.5,-2.346,-5.6127,1949.5,-1.5121
-5.9321,1949.42,-2.2264,-5.6479,1949.42,-1.6158
-5.931,1949.33,-2.4768,-5.5358,1949.33,-1.7093
-5.6284,1949.25,-2.095,-5.4362,1949.25,-2.3537
-5.5008,1949.17,-2.0403,-5.3827,1949.17,-2.3923
-5.6406,1949.08,-2.0001,-5.6335,1949.08,-2.5333
-5.6938,1949,-1.924,-5.651,1949,-2.4356
-5.7664,1948.92,-2.1421,-5.6563,1948.92,-2.0277
-5.7076,1948.83,-1.9195,-5.6006,1948.83,-1.9937
-5.8807,1948.75,-2.3343,-5.5536,1948.75,-2.1139
-5.9224,1948.67,-1.8578,-5.609,1948.67,-1.975
-5.8595,1948.58,-2.1302,-5.5988,1948.58,-2.0041
-5.9067,1948.5,-2.221,-5.5699,1948.5,-1.8768
-5.81,1948.42,-2.3172,-5.5128,1948.42,-1.757
-5.7388,1948.33,-2.3709,-5.4901,1948.33,-1.7428
-5.5633,1948.25,-2.2383,-5.5833,1948.25,-2.0279
-5.4884,1948.17,-2.0232,-5.4322,1948.17,-2.0472
-5.6751,1948.08,-2.2671,-5.5873,1948.08,-2.1878
-5.6106,1948,-2.2674,-5.6944,1948,-2.3856
-5.878,1947.92,-2.4606,-5.6541,1947.92,-1.8836
-5.9881,1947.83,-1.7148,-5.7678,1947.83,-1.3768
-6.1377,1947.75,-1.8806,-6.0112,1947.75,-1.4418
-6.031,1947.67,-1.9725,-5.9302,1947.67,-1.5006
-5.9563,1947.58,-2.2191,-5.8367000000000004,1947.58,-1.6517
-5.8433,1947.5,-2.2769,-5.7987,1947.5,-1.3774
-5.7387,1947.42,-2.2066,-5.5616,1947.42,-1.2385
-5.6058,1947.33,-2.1893,-5.4692,1947.33,-1.5186
-5.6294,1947.25,-2.0593,-5.7078,1947.25,-1.843
-5.5471,1947.17,-2.0194,-5.5282,1947.17,-1.8526
-5.7938,1947.08,-2.0678,-5.5401,1947.08,-1.9361
-5.8531,1947,-2.035,-5.6297,1947,-1.933
-5.9524,1946.92,-2.1385,-5.7554,1946.92,-1.344
-5.9006,1946.83,-2.1156,-5.7192,1946.83,-1.3884
-5.8693,1946.75,-2.2154,-5.6591,1946.75,-1.7888
-5.8275,1946.67,-1.7706,-5.7072,1946.67,-1.9408
-5.866,1946.58,-2.0266,-5.7013,1946.58,-2.123
-5.9961,1946.5,-2.5765,-5.8634,1946.5,-1.9822
-5.94,1946.42,-2.2859,-5.5854,1946.42,-1.411
-5.8863,1946.33,-2.3532,-5.8024,1946.33,-1.6212
-5.8514,1946.25,-2.0398,-5.8958,1946.25,-1.7213
-5.8162,1946.17,-2.2079,-5.6125,1946.17,-1.7207
-5.8922,1946.08,-2.2378,-5.8098,1946.08,-2.0608
-5.8517,1946,-2.5234,-5.8887,1946,-2.1271
-6.0181,1945.92,-2.4984,-5.9125,1945.92,-1.834
-6.0866,1945.83,-2.4323,-6.0061,1945.83,-1.692
-6.2237,1945.75,-2.365,-6.0237,1945.75,-1.9751
-6.2854,1945.67,-2.4521,-6.0026,1945.67,-1.7052
-6.1459,1945.58,-2.2418,-5.9407,1945.58,-1.7402
-5.8618,1945.5,-1.9371,-5.8,1945.5,-1.8155
-5.8464,1945.42,-2.3936,-5.8501,1945.42,-1.7752
-5.7771,1945.33,-1.6226,-5.6338,1945.33,-1.7232
-5.8244,1945.25,-2.2985,-5.687,1945.25,-1.9986
-5.6076,1945.17,-2.2069,-5.4628,1945.17,-1.988
-5.6241,1945.08,-1.7188,-5.7266,1945.08,-2.1247
-5.6861,1945,-1.8547,-5.7197,1945,-2.2108
-5.769,1944.92,-1.9926,-5.663,1944.92,-2.1363
-5.8779,1944.83,-1.6912,-5.6705,1944.83,-2.0195
-5.8687,1944.75,-1.7918,-5.6839,1944.75,-2.1036
-5.7762,1944.67,-1.8207,-5.7663,1944.67,-2.1159
-5.9416,1944.58,-2.3842,-5.7893,1944.58,-1.8631
-5.7611,1944.5,-2.2125,-5.8317,1944.5,-2.0654
-5.7756,1944.42,-2.086,-5.7412,1944.42,-1.9175
-5.8214,1944.33,-1.8546,-5.5463,1944.33,-1.5118
-5.6724,1944.25,-1.6119,-5.6732,1944.25,-1.5333
-5.4959,1944.17,-1.7805,-5.5612,1944.17,-1.6658
-5.7759,1944.08,-1.9366,-5.6844,1944.08,-2.2179
-5.9554,1944,-2.1216,-5.7088,1944,-2.6131
-5.9577,1943.92,-2.1206,-5.786,1943.92,-2.5034
-6.0908,1943.83,-1.8781,-5.9166,1943.83,-2.1549
-5.9809,1943.75,-1.8533,-6.0341,1943.75,-1.9806
-5.9507,1943.67,-2.0772,-5.745,1943.67,-1.9081
-5.9905,1943.58,-1.9948,-5.7318,1943.58,-1.9131
-5.8717,1943.5,-1.7664,-5.7461,1943.5,-1.8822
-6.0091,1943.42,-2.0089,-5.7316,1943.42,-1.715
-5.9284,1943.33,-1.877,-5.6691,1943.33,-1.5438
-5.8027,1943.25,-1.6669,-5.6287,1943.25,-1.9613
-5.7132,1943.17,-1.5988,-5.3435,1943.17,-2.179
-5.8133,1943.08,-1.5615,-5.6592,1943.08,-2.2545
-5.7921,1943,-1.6527,-5.7615,1943,-2.2896
-5.8498,1942.92,-1.6731,-5.7126,1942.92,-1.8482
-5.9035,1942.83,-1.8495,-5.8391,1942.83,-1.8563
-5.9333,1942.75,-1.6865,-5.8831,1942.75,-1.978
-5.9103,1942.67,-1.5806,-5.7707,1942.67,-2.0122
-5.9848,1942.58,-1.696,-5.7003,1942.58,-2.0746000000000002
-5.9242,1942.5,-1.5821,-5.7362,1942.5,-1.85
-5.8038,1942.42,-1.7121,-5.5735,1942.42,-1.4223
-5.7164,1942.33,-1.3779,-5.4088,1942.33,-1.6808
-5.584,1942.25,-1.6213,-5.4909,1942.25,-1.8684
-5.4856,1942.17,-1.4318,-5.3592,1942.17,-1.9594
-5.511,1942.08,-1.0304,-5.5087,1942.08,-2.082
-5.5164,1942,-1.4102,-5.5354,1942,-2.1684
-5.7199,1941.92,-1.4059,-5.5472,1941.92,-2.0256
-5.763,1941.83,-1.3998,-5.595,1941.83,-1.7579
-5.6184,1941.75,-1.4554,-5.6387,1941.75,-1.7593
-5.6401,1941.67,-1.7104,-5.6233,1941.67,-1.808
-5.7184,1941.58,-1.917,-5.5568,1941.58,-1.8835
-5.6004,1941.5,-1.7011,-5.5264,1941.5,-2.0849
-5.5456,1941.42,-1.2628,-5.6127,1941.42,-2.233
-5.5033,1941.33,-1.4349,-5.6539,1941.33,-1.835
-5.5692,1941.25,-1.4876,-5.5847,1941.25,-1.1937
-5.3926,1941.17,-1.7086,-5.4441,1941.17,-1.1855
-5.6131,1941.08,-1.7876,-5.4764,1941.08,-1.7325
-5.6165,1941,-1.8172,-5.5018,1941,-2.0461
-5.7203,1940.92,-1.7596,-5.5273,1940.92,-2.1773
-5.832,1940.83,-1.4734,-5.5519,1940.83,-1.6385
-5.655,1940.75,-1.7475,-5.67,1940.75,-1.7925
-5.6884,1940.67,-1.6087,-5.6007,1940.67,-1.912
-5.7002,1940.58,-1.7164,-5.4225,1940.58,-1.8651
-5.74,1940.5,-1.7142,-5.6535,1940.5,-2.0047
-5.6285,1940.42,-1.4334,-5.487,1940.42,-1.5271
-5.5229,1940.33,-1.143,-5.4427,1940.33,-1.1233
-5.5251,1940.25,-1.061,-5.4764,1940.25,-1.654
-5.4749,1940.17,-1.4132,-5.4444,1940.17,-2.1795
-5.5524,1940.08,-1.5239,-5.5803,1940.08,-2.0939
-5.7405,1940,-1.5771,-5.6246,1940,-1.9088
-5.5907,1939.92,-1.3037,-5.5683,1939.92,-1.7797
-5.6298,1939.83,-1.4009,-5.5007,1939.83,-2.0135
-5.674,1939.75,-1.8342,-5.7315,1939.75,-1.9162
-5.7017,1939.67,-1.5848,-5.6837,1939.67,-1.8494
-5.9012,1939.58,-1.7311,-5.6918,1939.58,-1.8168
-5.7529,1939.5,-1.7929,-5.4947,1939.5,-1.9407
-5.7429,1939.42,-1.5804,-5.6059,1939.42,-2.1401
